Species_type	Species	Order	Stat
15_Alage	3_Chloropicon_primus	ClassI:DIRS	0
15_Alage	3_Chloropicon_primus	ClassI:LINE	0
15_Alage	3_Chloropicon_primus	ClassI:LTR	149.81
15_Alage	3_Chloropicon_primus	ClassI:PLE	0
15_Alage	3_Chloropicon_primus	ClassI:SINE	0
15_Alage	3_Chloropicon_primus	ClassI:unknown	0
15_Alage	3_Chloropicon_primus	ClassII:Circular_dsDNA	0
15_Alage	3_Chloropicon_primus	ClassII:DNA_Polymerase	0
15_Alage	3_Chloropicon_primus	ClassII:Rolling_Circle	0
15_Alage	3_Chloropicon_primus	ClassII:TIR	247.36
15_Alage	3_Chloropicon_primus	Pseudogene:RNA	0
15_Alage	3_Chloropicon_primus	Satellite	0
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Low_complexity	53.1
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Satellite	0
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Simple_repeat	39.26
15_Alage	3_Chloropicon_primus	Unknown	386.66
15_Alage	4_Edaphochlamys_debaryana	ClassI:DIRS	476.96
15_Alage	4_Edaphochlamys_debaryana	ClassI:LINE	364.65
15_Alage	4_Edaphochlamys_debaryana	ClassI:LTR	437.26
15_Alage	4_Edaphochlamys_debaryana	ClassI:PLE	550.21
15_Alage	4_Edaphochlamys_debaryana	ClassI:SINE	196.83
15_Alage	4_Edaphochlamys_debaryana	ClassI:unknown	0
15_Alage	4_Edaphochlamys_debaryana	ClassII:Circular_dsDNA	0
15_Alage	4_Edaphochlamys_debaryana	ClassII:DNA_Polymerase	0
15_Alage	4_Edaphochlamys_debaryana	ClassII:Rolling_Circle	279.45
15_Alage	4_Edaphochlamys_debaryana	ClassII:TIR	275.39
15_Alage	4_Edaphochlamys_debaryana	Pseudogene:RNA	0
15_Alage	4_Edaphochlamys_debaryana	Satellite	0
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Low_complexity	56.59
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Satellite	0
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Simple_repeat	57.17
15_Alage	4_Edaphochlamys_debaryana	Unknown	197.57
15_Alage	5_Bathycoccus_prasinos	ClassI:DIRS	0
15_Alage	5_Bathycoccus_prasinos	ClassI:LINE	0
15_Alage	5_Bathycoccus_prasinos	ClassI:LTR	102.96
15_Alage	5_Bathycoccus_prasinos	ClassI:PLE	531.62
15_Alage	5_Bathycoccus_prasinos	ClassI:SINE	0
15_Alage	5_Bathycoccus_prasinos	ClassI:unknown	0
15_Alage	5_Bathycoccus_prasinos	ClassII:Circular_dsDNA	0
15_Alage	5_Bathycoccus_prasinos	ClassII:DNA_Polymerase	719.64
15_Alage	5_Bathycoccus_prasinos	ClassII:Rolling_Circle	0
15_Alage	5_Bathycoccus_prasinos	ClassII:TIR	97.77
15_Alage	5_Bathycoccus_prasinos	Pseudogene:RNA	0
15_Alage	5_Bathycoccus_prasinos	Satellite	0
15_Alage	5_Bathycoccus_prasinos	Tandem_Repeat:Low_complexity	55.5
15_Alage	5_Bathycoccus_prasinos	Tandem_Repeat:Satellite	0
15_Alage	5_Bathycoccus_prasinos	Tandem_Repeat:Simple_repeat	39.08
15_Alage	5_Bathycoccus_prasinos	Unknown	457.79
15_Alage	6_Ostreococcus_tauri	ClassI:DIRS	0
15_Alage	6_Ostreococcus_tauri	ClassI:LINE	113.5
15_Alage	6_Ostreococcus_tauri	ClassI:LTR	0
15_Alage	6_Ostreococcus_tauri	ClassI:PLE	0
15_Alage	6_Ostreococcus_tauri	ClassI:SINE	0
15_Alage	6_Ostreococcus_tauri	ClassI:unknown	0
15_Alage	6_Ostreococcus_tauri	ClassII:Circular_dsDNA	0
15_Alage	6_Ostreococcus_tauri	ClassII:DNA_Polymerase	0
15_Alage	6_Ostreococcus_tauri	ClassII:Rolling_Circle	1477.58
15_Alage	6_Ostreococcus_tauri	ClassII:TIR	306.29
15_Alage	6_Ostreococcus_tauri	Pseudogene:RNA	0
15_Alage	6_Ostreococcus_tauri	Satellite	450.75
15_Alage	6_Ostreococcus_tauri	Tandem_Repeat:Low_complexity	54.82
15_Alage	6_Ostreococcus_tauri	Tandem_Repeat:Satellite	0
15_Alage	6_Ostreococcus_tauri	Tandem_Repeat:Simple_repeat	59.93
15_Alage	6_Ostreococcus_tauri	Unknown	298.48
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:DIRS	1748.34
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:LINE	253.19
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:LTR	1954.6
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:PLE	281.14
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:SINE	0
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:unknown	0
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassII:Circular_dsDNA	880.17
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassII:DNA_Polymerase	0
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassII:Rolling_Circle	2028.04
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassII:TIR	898.81
15_Alage	7_Ostreococcus_sp._lucimarinus	Pseudogene:RNA	0
15_Alage	7_Ostreococcus_sp._lucimarinus	Satellite	0
15_Alage	7_Ostreococcus_sp._lucimarinus	Tandem_Repeat:Low_complexity	56.66
15_Alage	7_Ostreococcus_sp._lucimarinus	Tandem_Repeat:Satellite	0
15_Alage	7_Ostreococcus_sp._lucimarinus	Tandem_Repeat:Simple_repeat	59.47
15_Alage	7_Ostreococcus_sp._lucimarinus	Unknown	565.32
15_Alage	8_Micromonas	ClassI:DIRS	0
15_Alage	8_Micromonas	ClassI:LINE	0
15_Alage	8_Micromonas	ClassI:LTR	128.11
15_Alage	8_Micromonas	ClassI:PLE	0
15_Alage	8_Micromonas	ClassI:SINE	0
15_Alage	8_Micromonas	ClassI:unknown	0
15_Alage	8_Micromonas	ClassII:Circular_dsDNA	0
15_Alage	8_Micromonas	ClassII:DNA_Polymerase	0
15_Alage	8_Micromonas	ClassII:Rolling_Circle	169.94
15_Alage	8_Micromonas	ClassII:TIR	0
15_Alage	8_Micromonas	Pseudogene:RNA	0
15_Alage	8_Micromonas	Satellite	0
15_Alage	8_Micromonas	Tandem_Repeat:Low_complexity	45.3
15_Alage	8_Micromonas	Tandem_Repeat:Satellite	0
15_Alage	8_Micromonas	Tandem_Repeat:Simple_repeat	43.96
15_Alage	8_Micromonas	Unknown	109.81
15_Alage	9_Micromonas_commoda	ClassI:DIRS	0
15_Alage	9_Micromonas_commoda	ClassI:LINE	0
15_Alage	9_Micromonas_commoda	ClassI:LTR	101.57
15_Alage	9_Micromonas_commoda	ClassI:PLE	0
15_Alage	9_Micromonas_commoda	ClassI:SINE	0
15_Alage	9_Micromonas_commoda	ClassI:unknown	0
15_Alage	9_Micromonas_commoda	ClassII:Circular_dsDNA	0
15_Alage	9_Micromonas_commoda	ClassII:DNA_Polymerase	98.21
15_Alage	9_Micromonas_commoda	ClassII:Rolling_Circle	0
15_Alage	9_Micromonas_commoda	ClassII:TIR	292.55
15_Alage	9_Micromonas_commoda	Pseudogene:RNA	0
15_Alage	9_Micromonas_commoda	Satellite	0
15_Alage	9_Micromonas_commoda	Tandem_Repeat:Low_complexity	55.19
15_Alage	9_Micromonas_commoda	Tandem_Repeat:Satellite	0
15_Alage	9_Micromonas_commoda	Tandem_Repeat:Simple_repeat	50.13
15_Alage	9_Micromonas_commoda	Unknown	261.75
15_Alage	10_Micromonas_pusilla	ClassI:DIRS	0
15_Alage	10_Micromonas_pusilla	ClassI:LINE	0
15_Alage	10_Micromonas_pusilla	ClassI:LTR	241.83
15_Alage	10_Micromonas_pusilla	ClassI:PLE	0
15_Alage	10_Micromonas_pusilla	ClassI:SINE	0
15_Alage	10_Micromonas_pusilla	ClassI:unknown	0
15_Alage	10_Micromonas_pusilla	ClassII:Circular_dsDNA	75.71
15_Alage	10_Micromonas_pusilla	ClassII:DNA_Polymerase	0
15_Alage	10_Micromonas_pusilla	ClassII:Rolling_Circle	0
15_Alage	10_Micromonas_pusilla	ClassII:TIR	118.53
15_Alage	10_Micromonas_pusilla	Pseudogene:RNA	0
15_Alage	10_Micromonas_pusilla	Satellite	0
15_Alage	10_Micromonas_pusilla	Tandem_Repeat:Low_complexity	53.02
15_Alage	10_Micromonas_pusilla	Tandem_Repeat:Satellite	0
