Species_type	Species	Order	Stat
15_Alage	3_Chloropicon_primus	ClassI:DIRS	0.0
15_Alage	3_Chloropicon_primus	ClassI:LINE	0.0
15_Alage	3_Chloropicon_primus	ClassI:LTR	0.02
15_Alage	3_Chloropicon_primus	ClassI:PLE	0.0
15_Alage	3_Chloropicon_primus	ClassI:SINE	0.0
15_Alage	3_Chloropicon_primus	ClassI:unknown	0.0
15_Alage	3_Chloropicon_primus	ClassII:Circular_dsDNA	0.0
15_Alage	3_Chloropicon_primus	ClassII:DNA_Polymerase	0.0
15_Alage	3_Chloropicon_primus	ClassII:Rolling_Circle	0.0
15_Alage	3_Chloropicon_primus	ClassII:TIR	0.69
15_Alage	3_Chloropicon_primus	Pseudogene:RNA	0.0
15_Alage	3_Chloropicon_primus	Satellite	0.0
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Low_complexity	0.68
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Satellite	0.0
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Simple_repeat	3.49
15_Alage	3_Chloropicon_primus	Unknown	2.24
15_Alage	3_Chloropicon_primus	Total_repeat_percentage	7.12
15_Alage	3_Chloropicon_primus	Genome_size_percentage	100
15_Alage	4_Edaphochlamys_debaryana	ClassI:DIRS	0.04
15_Alage	4_Edaphochlamys_debaryana	ClassI:LINE	1.21
15_Alage	4_Edaphochlamys_debaryana	ClassI:LTR	0.43
15_Alage	4_Edaphochlamys_debaryana	ClassI:PLE	0.02
15_Alage	4_Edaphochlamys_debaryana	ClassI:SINE	0.02
15_Alage	4_Edaphochlamys_debaryana	ClassI:unknown	0.0
15_Alage	4_Edaphochlamys_debaryana	ClassII:Circular_dsDNA	0.0
15_Alage	4_Edaphochlamys_debaryana	ClassII:DNA_Polymerase	0.0
15_Alage	4_Edaphochlamys_debaryana	ClassII:Rolling_Circle	0.23
15_Alage	4_Edaphochlamys_debaryana	ClassII:TIR	0.17
15_Alage	4_Edaphochlamys_debaryana	Pseudogene:RNA	0.0
15_Alage	4_Edaphochlamys_debaryana	Satellite	0.0
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Low_complexity	1.01
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Satellite	0.0
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Simple_repeat	4.41
15_Alage	4_Edaphochlamys_debaryana	Unknown	4.83
15_Alage	4_Edaphochlamys_debaryana	Total_repeat_percentage	12.37
15_Alage	4_Edaphochlamys_debaryana	Genome_size_percentage	100
15_Alage	5_Bathycoccus_prasinos	ClassI:DIRS	0.0
15_Alage	5_Bathycoccus_prasinos	ClassI:LINE	0.0
15_Alage	5_Bathycoccus_prasinos	ClassI:LTR	0.11
15_Alage	5_Bathycoccus_prasinos	ClassI:PLE	0.07
15_Alage	5_Bathycoccus_prasinos	ClassI:SINE	0.0
15_Alage	5_Bathycoccus_prasinos	ClassI:unknown	0.0
15_Alage	5_Bathycoccus_prasinos	ClassII:Circular_dsDNA	0.0
15_Alage	5_Bathycoccus_prasinos	ClassII:DNA_Polymerase	0.49
15_Alage	5_Bathycoccus_prasinos	ClassII:Rolling_Circle	0.0
15_Alage	5_Bathycoccus_prasinos	ClassII:TIR	0.48
