Species_type	Species	Order	Stat
15_Alage	3_Chloropicon_primus	ClassI:DIRS	0.0
15_Alage	3_Chloropicon_primus	ClassI:LINE	0.0
15_Alage	3_Chloropicon_primus	ClassI:LTR	0.25
15_Alage	3_Chloropicon_primus	ClassI:PLE	0.0
15_Alage	3_Chloropicon_primus	ClassI:SINE	0.0
15_Alage	3_Chloropicon_primus	ClassI:unknown	0.0
15_Alage	3_Chloropicon_primus	ClassII:Circular_dsDNA	0.0
15_Alage	3_Chloropicon_primus	ClassII:DNA_Polymerase	0.0
15_Alage	3_Chloropicon_primus	ClassII:Rolling_Circle	0.0
15_Alage	3_Chloropicon_primus	ClassII:TIR	9.72
15_Alage	3_Chloropicon_primus	Pseudogene:RNA	0.0
15_Alage	3_Chloropicon_primus	Satellite	0.0
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Low_complexity	9.56
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Satellite	0.0
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Simple_repeat	49.07
15_Alage	3_Chloropicon_primus	Unknown	31.39
15_Alage	3_Chloropicon_primus	Total_repeat_percentage	100
15_Alage	4_Edaphochlamys_debaryana	ClassI:DIRS	0.33
15_Alage	4_Edaphochlamys_debaryana	ClassI:LINE	9.76
15_Alage	4_Edaphochlamys_debaryana	ClassI:LTR	3.44
15_Alage	4_Edaphochlamys_debaryana	ClassI:PLE	0.14
15_Alage	4_Edaphochlamys_debaryana	ClassI:SINE	0.14
15_Alage	4_Edaphochlamys_debaryana	ClassI:unknown	0.0
15_Alage	4_Edaphochlamys_debaryana	ClassII:Circular_dsDNA	0.0
15_Alage	4_Edaphochlamys_debaryana	ClassII:DNA_Polymerase	0.0
15_Alage	4_Edaphochlamys_debaryana	ClassII:Rolling_Circle	1.9
15_Alage	4_Edaphochlamys_debaryana	ClassII:TIR	1.39
15_Alage	4_Edaphochlamys_debaryana	Pseudogene:RNA	0.0
15_Alage	4_Edaphochlamys_debaryana	Satellite	0.0
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Low_complexity	8.15
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Satellite	0.0
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Simple_repeat	35.69
15_Alage	4_Edaphochlamys_debaryana	Unknown	39.06
15_Alage	4_Edaphochlamys_debaryana	Total_repeat_percentage	100
15_Alage	5_Bathycoccus_prasinos	ClassI:DIRS	0.0
15_Alage	5_Bathycoccus_prasinos	ClassI:LINE	0.0
15_Alage	5_Bathycoccus_prasinos	ClassI:LTR	1.52
15_Alage	5_Bathycoccus_prasinos	ClassI:PLE	0.98
15_Alage	5_Bathycoccus_prasinos	ClassI:SINE	0.0
15_Alage	5_Bathycoccus_prasinos	ClassI:unknown	0.0
15_Alage	5_Bathycoccus_prasinos	ClassII:Circular_dsDNA	0.0
15_Alage	5_Bathycoccus_prasinos	ClassII:DNA_Polymerase	6.5
15_Alage	5_Bathycoccus_prasinos	ClassII:Rolling_Circle	0.0
15_Alage	5_Bathycoccus_prasinos	ClassII:TIR	6.4
15_Alage	5_Bathycoccus_prasinos	Pseudogene:RNA	0.0
15_Alage	5_Bathycoccus_prasinos	Satellite	0.0
