Species_type	Species	Order	Stat
15_Alage	3_Chloropicon_primus	ClassI:DIRS	0
15_Alage	3_Chloropicon_primus	ClassI:LINE	0
15_Alage	3_Chloropicon_primus	ClassI:LTR	3146
15_Alage	3_Chloropicon_primus	ClassI:PLE	0
15_Alage	3_Chloropicon_primus	ClassI:SINE	0
15_Alage	3_Chloropicon_primus	ClassI:unknown	0
15_Alage	3_Chloropicon_primus	ClassII:Circular_dsDNA	0
15_Alage	3_Chloropicon_primus	ClassII:DNA_Polymerase	0
15_Alage	3_Chloropicon_primus	ClassII:Rolling_Circle	0
15_Alage	3_Chloropicon_primus	ClassII:TIR	120462
15_Alage	3_Chloropicon_primus	Pseudogene:RNA	0
15_Alage	3_Chloropicon_primus	Satellite	0
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Low_complexity	118404
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Satellite	0
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Simple_repeat	608009
15_Alage	3_Chloropicon_primus	Unknown	388980
15_Alage	3_Chloropicon_primus	Total_repeat_length	1239001
15_Alage	3_Chloropicon_primus	Genome_size_length	17400691
15_Alage	4_Edaphochlamys_debaryana	ClassI:DIRS	48650
15_Alage	4_Edaphochlamys_debaryana	ClassI:LINE	1451288
15_Alage	4_Edaphochlamys_debaryana	ClassI:LTR	512036
15_Alage	4_Edaphochlamys_debaryana	ClassI:PLE	20908
15_Alage	4_Edaphochlamys_debaryana	ClassI:SINE	20667
15_Alage	4_Edaphochlamys_debaryana	ClassI:unknown	0
15_Alage	4_Edaphochlamys_debaryana	ClassII:Circular_dsDNA	0
15_Alage	4_Edaphochlamys_debaryana	ClassII:DNA_Polymerase	0
15_Alage	4_Edaphochlamys_debaryana	ClassII:Rolling_Circle	282523
15_Alage	4_Edaphochlamys_debaryana	ClassII:TIR	206820
15_Alage	4_Edaphochlamys_debaryana	Pseudogene:RNA	0
15_Alage	4_Edaphochlamys_debaryana	Satellite	0
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Low_complexity	1212148
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Satellite	0
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Simple_repeat	5308229
15_Alage	4_Edaphochlamys_debaryana	Unknown	5809683
15_Alage	4_Edaphochlamys_debaryana	Total_repeat_length	14872952
15_Alage	4_Edaphochlamys_debaryana	Genome_size_length	120364444
15_Alage	5_Bathycoccus_prasinos	ClassI:DIRS	0
15_Alage	5_Bathycoccus_prasinos	ClassI:LINE	0
15_Alage	5_Bathycoccus_prasinos	ClassI:LTR	17297
15_Alage	5_Bathycoccus_prasinos	ClassI:PLE	11164
15_Alage	5_Bathycoccus_prasinos	ClassI:SINE	0
15_Alage	5_Bathycoccus_prasinos	ClassI:unknown	0
15_Alage	5_Bathycoccus_prasinos	ClassII:Circular_dsDNA	0
15_Alage	5_Bathycoccus_prasinos	ClassII:DNA_Polymerase	74123
15_Alage	5_Bathycoccus_prasinos	ClassII:Rolling_Circle	0
15_Alage	5_Bathycoccus_prasinos	ClassII:TIR	72934
15_Alage	5_Bathycoccus_prasinos	Pseudogene:RNA	0
15_Alage	5_Bathycoccus_prasinos	Satellite	0
15_Alage	5_Bathycoccus_prasinos	Tandem_Repeat:Low_complexity	123548
15_Alage	5_Bathycoccus_prasinos	Tandem_Repeat:Satellite	0
15_Alage	5_Bathycoccus_prasinos	Tandem_Repeat:Simple_repeat	570150
15_Alage	5_Bathycoccus_prasinos	Unknown	270555
15_Alage	5_Bathycoccus_prasinos	Total_repeat_length	1139771
15_Alage	5_Bathycoccus_prasinos	Genome_size_length	15074320
15_Alage	6_Ostreococcus_tauri	ClassI:DIRS	0
15_Alage	6_Ostreococcus_tauri	ClassI:LINE	1816
15_Alage	6_Ostreococcus_tauri	ClassI:LTR	0
15_Alage	6_Ostreococcus_tauri	ClassI:PLE	0
15_Alage	6_Ostreococcus_tauri	ClassI:SINE	0
15_Alage	6_Ostreococcus_tauri	ClassI:unknown	0
15_Alage	6_Ostreococcus_tauri	ClassII:Circular_dsDNA	0
15_Alage	6_Ostreococcus_tauri	ClassII:DNA_Polymerase	0
15_Alage	6_Ostreococcus_tauri	ClassII:Rolling_Circle	17731
15_Alage	6_Ostreococcus_tauri	ClassII:TIR	27260
15_Alage	6_Ostreococcus_tauri	Pseudogene:RNA	0
15_Alage	6_Ostreococcus_tauri	Satellite	5409
15_Alage	6_Ostreococcus_tauri	Tandem_Repeat:Low_complexity	12827
15_Alage	6_Ostreococcus_tauri	Tandem_Repeat:Satellite	0
15_Alage	6_Ostreococcus_tauri	Tandem_Repeat:Simple_repeat	472204
15_Alage	6_Ostreococcus_tauri	Unknown	289223
15_Alage	6_Ostreococcus_tauri	Total_repeat_length	826470
15_Alage	6_Ostreococcus_tauri	Genome_size_length	13032761
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:DIRS	71682
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:LINE	5317
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:LTR	107503
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:PLE	3936
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:SINE	0
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:unknown	0
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassII:Circular_dsDNA	84496
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassII:DNA_Polymerase	0
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassII:Rolling_Circle	54757
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassII:TIR	334358
15_Alage	7_Ostreococcus_sp._lucimarinus	Pseudogene:RNA	0
15_Alage	7_Ostreococcus_sp._lucimarinus	Satellite	0
15_Alage	7_Ostreococcus_sp._lucimarinus	Tandem_Repeat:Low_complexity	9972
15_Alage	7_Ostreococcus_sp._lucimarinus	Tandem_Repeat:Satellite	0
15_Alage	7_Ostreococcus_sp._lucimarinus	Tandem_Repeat:Simple_repeat	546516
15_Alage	7_Ostreococcus_sp._lucimarinus	Unknown	751316
15_Alage	7_Ostreococcus_sp._lucimarinus	Total_repeat_length	1969853
15_Alage	7_Ostreococcus_sp._lucimarinus	Genome_size_length	13204888
15_Alage	8_Micromonas	ClassI:DIRS	0
15_Alage	8_Micromonas	ClassI:LINE	0
15_Alage	8_Micromonas	ClassI:LTR	14604
15_Alage	8_Micromonas	ClassI:PLE	0
15_Alage	8_Micromonas	ClassI:SINE	0
15_Alage	8_Micromonas	ClassI:unknown	0
15_Alage	8_Micromonas	ClassII:Circular_dsDNA	0
15_Alage	8_Micromonas	ClassII:DNA_Polymerase	0
15_Alage	8_Micromonas	ClassII:Rolling_Circle	2889
15_Alage	8_Micromonas	ClassII:TIR	0
15_Alage	8_Micromonas	Pseudogene:RNA	0
15_Alage	8_Micromonas	Satellite	0
15_Alage	8_Micromonas	Tandem_Repeat:Low_complexity	20204
15_Alage	8_Micromonas	Tandem_Repeat:Satellite	0
15_Alage	8_Micromonas	Tandem_Repeat:Simple_repeat	267390
15_Alage	8_Micromonas	Unknown	1682138
15_Alage	8_Micromonas	Total_repeat_length	1987225
15_Alage	8_Micromonas	Genome_size_length	19582411
15_Alage	9_Micromonas_commoda	ClassI:DIRS	0
15_Alage	9_Micromonas_commoda	ClassI:LINE	0
15_Alage	9_Micromonas_commoda	ClassI:LTR	2336
15_Alage	9_Micromonas_commoda	ClassI:PLE	0
15_Alage	9_Micromonas_commoda	ClassI:SINE	0
15_Alage	9_Micromonas_commoda	ClassI:unknown	0
15_Alage	9_Micromonas_commoda	ClassII:Circular_dsDNA	0
15_Alage	9_Micromonas_commoda	ClassII:DNA_Polymerase	4616
15_Alage	9_Micromonas_commoda	ClassII:Rolling_Circle	0
15_Alage	9_Micromonas_commoda	ClassII:TIR	35984
15_Alage	9_Micromonas_commoda	Pseudogene:RNA	0
15_Alage	9_Micromonas_commoda	Satellite	0
15_Alage	9_Micromonas_commoda	Tandem_Repeat:Low_complexity	50335
15_Alage	9_Micromonas_commoda	Tandem_Repeat:Satellite	0
15_Alage	9_Micromonas_commoda	Tandem_Repeat:Simple_repeat	669581
15_Alage	9_Micromonas_commoda	Unknown	389745
15_Alage	9_Micromonas_commoda	Total_repeat_length	1152597
15_Alage	9_Micromonas_commoda	Genome_size_length	21109336
15_Alage	10_Micromonas_pusilla	ClassI:DIRS	0
15_Alage	10_Micromonas_pusilla	ClassI:LINE	0
