Species_type	Species	Order	Stat
15_Alage	3_Chloropicon_primus	ClassI:DIRS	0
15_Alage	3_Chloropicon_primus	ClassI:LINE	0
15_Alage	3_Chloropicon_primus	ClassI:LTR	21
15_Alage	3_Chloropicon_primus	ClassI:PLE	0
15_Alage	3_Chloropicon_primus	ClassI:SINE	0
15_Alage	3_Chloropicon_primus	ClassI:unknown	0
15_Alage	3_Chloropicon_primus	ClassII:Circular_dsDNA	0
15_Alage	3_Chloropicon_primus	ClassII:DNA_Polymerase	0
15_Alage	3_Chloropicon_primus	ClassII:Rolling_Circle	0
15_Alage	3_Chloropicon_primus	ClassII:TIR	487
15_Alage	3_Chloropicon_primus	Pseudogene:RNA	0
15_Alage	3_Chloropicon_primus	Satellite	0
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Low_complexity	2230
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Satellite	0
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Simple_repeat	15485
15_Alage	3_Chloropicon_primus	Unknown	1006
15_Alage	4_Edaphochlamys_debaryana	ClassI:DIRS	102
15_Alage	4_Edaphochlamys_debaryana	ClassI:LINE	3980
15_Alage	4_Edaphochlamys_debaryana	ClassI:LTR	1171
15_Alage	4_Edaphochlamys_debaryana	ClassI:PLE	38
15_Alage	4_Edaphochlamys_debaryana	ClassI:SINE	105
15_Alage	4_Edaphochlamys_debaryana	ClassI:unknown	0
15_Alage	4_Edaphochlamys_debaryana	ClassII:Circular_dsDNA	0
15_Alage	4_Edaphochlamys_debaryana	ClassII:DNA_Polymerase	0
15_Alage	4_Edaphochlamys_debaryana	ClassII:Rolling_Circle	1011
15_Alage	4_Edaphochlamys_debaryana	ClassII:TIR	751
15_Alage	4_Edaphochlamys_debaryana	Pseudogene:RNA	0
15_Alage	4_Edaphochlamys_debaryana	Satellite	0
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Low_complexity	21419
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Satellite	0
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Simple_repeat	92844
15_Alage	4_Edaphochlamys_debaryana	Unknown	29406
15_Alage	5_Bathycoccus_prasinos	ClassI:DIRS	0
15_Alage	5_Bathycoccus_prasinos	ClassI:LINE	0
15_Alage	5_Bathycoccus_prasinos	ClassI:LTR	168
15_Alage	5_Bathycoccus_prasinos	ClassI:PLE	21
15_Alage	5_Bathycoccus_prasinos	ClassI:SINE	0
15_Alage	5_Bathycoccus_prasinos	ClassI:unknown	0
15_Alage	5_Bathycoccus_prasinos	ClassII:Circular_dsDNA	0
15_Alage	5_Bathycoccus_prasinos	ClassII:DNA_Polymerase	103
15_Alage	5_Bathycoccus_prasinos	ClassII:Rolling_Circle	0
15_Alage	5_Bathycoccus_prasinos	ClassII:TIR	746
15_Alage	5_Bathycoccus_prasinos	Pseudogene:RNA	0
15_Alage	5_Bathycoccus_prasinos	Satellite	0
15_Alage	5_Bathycoccus_prasinos	Tandem_Repeat:Low_complexity	2226
15_Alage	5_Bathycoccus_prasinos	Tandem_Repeat:Satellite	0
15_Alage	5_Bathycoccus_prasinos	Tandem_Repeat:Simple_repeat	14588
15_Alage	5_Bathycoccus_prasinos	Unknown	591
15_Alage	6_Ostreococcus_tauri	ClassI:DIRS	0
15_Alage	6_Ostreococcus_tauri	ClassI:LINE	16
15_Alage	6_Ostreococcus_tauri	ClassI:LTR	0
15_Alage	6_Ostreococcus_tauri	ClassI:PLE	0
15_Alage	6_Ostreococcus_tauri	ClassI:SINE	0
15_Alage	6_Ostreococcus_tauri	ClassI:unknown	0
15_Alage	6_Ostreococcus_tauri	ClassII:Circular_dsDNA	0
15_Alage	6_Ostreococcus_tauri	ClassII:DNA_Polymerase	0
15_Alage	6_Ostreococcus_tauri	ClassII:Rolling_Circle	12
15_Alage	6_Ostreococcus_tauri	ClassII:TIR	89
15_Alage	6_Ostreococcus_tauri	Pseudogene:RNA	0
15_Alage	6_Ostreococcus_tauri	Satellite	12
15_Alage	6_Ostreococcus_tauri	Tandem_Repeat:Low_complexity	234
15_Alage	6_Ostreococcus_tauri	Tandem_Repeat:Satellite	0
15_Alage	6_Ostreococcus_tauri	Tandem_Repeat:Simple_repeat	7879
15_Alage	6_Ostreococcus_tauri	Unknown	969
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:DIRS	41
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:LINE	21
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:LTR	55
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:PLE	14
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:SINE	0
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassI:unknown	0
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassII:Circular_dsDNA	96
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassII:DNA_Polymerase	0
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassII:Rolling_Circle	27
15_Alage	7_Ostreococcus_sp._lucimarinus	ClassII:TIR	372
15_Alage	7_Ostreococcus_sp._lucimarinus	Pseudogene:RNA	0
15_Alage	7_Ostreococcus_sp._lucimarinus	Satellite	0
15_Alage	7_Ostreococcus_sp._lucimarinus	Tandem_Repeat:Low_complexity	176
15_Alage	7_Ostreococcus_sp._lucimarinus	Tandem_Repeat:Satellite	0
15_Alage	7_Ostreococcus_sp._lucimarinus	Tandem_Repeat:Simple_repeat	9190
15_Alage	7_Ostreococcus_sp._lucimarinus	Unknown	1329
15_Alage	8_Micromonas	ClassI:DIRS	0
15_Alage	8_Micromonas	ClassI:LINE	0
15_Alage	8_Micromonas	ClassI:LTR	114
15_Alage	8_Micromonas	ClassI:PLE	0
15_Alage	8_Micromonas	ClassI:SINE	0
15_Alage	8_Micromonas	ClassI:unknown	0
15_Alage	8_Micromonas	ClassII:Circular_dsDNA	0
15_Alage	8_Micromonas	ClassII:DNA_Polymerase	0
15_Alage	8_Micromonas	ClassII:Rolling_Circle	17
15_Alage	8_Micromonas	ClassII:TIR	0
15_Alage	8_Micromonas	Pseudogene:RNA	0
15_Alage	8_Micromonas	Satellite	0
15_Alage	8_Micromonas	Tandem_Repeat:Low_complexity	446
15_Alage	8_Micromonas	Tandem_Repeat:Satellite	0
15_Alage	8_Micromonas	Tandem_Repeat:Simple_repeat	6082
15_Alage	8_Micromonas	Unknown	15318
15_Alage	9_Micromonas_commoda	ClassI:DIRS	0
15_Alage	9_Micromonas_commoda	ClassI:LINE	0
15_Alage	9_Micromonas_commoda	ClassI:LTR	23
15_Alage	9_Micromonas_commoda	ClassI:PLE	0
15_Alage	9_Micromonas_commoda	ClassI:SINE	0
15_Alage	9_Micromonas_commoda	ClassI:unknown	0
15_Alage	9_Micromonas_commoda	ClassII:Circular_dsDNA	0
15_Alage	9_Micromonas_commoda	ClassII:DNA_Polymerase	47
15_Alage	9_Micromonas_commoda	ClassII:Rolling_Circle	0
15_Alage	9_Micromonas_commoda	ClassII:TIR	123
15_Alage	9_Micromonas_commoda	Pseudogene:RNA	0
15_Alage	9_Micromonas_commoda	Satellite	0
15_Alage	9_Micromonas_commoda	Tandem_Repeat:Low_complexity	912
15_Alage	9_Micromonas_commoda	Tandem_Repeat:Satellite	0
15_Alage	9_Micromonas_commoda	Tandem_Repeat:Simple_repeat	13358
15_Alage	9_Micromonas_commoda	Unknown	1489
15_Alage	10_Micromonas_pusilla	ClassI:DIRS	0
15_Alage	10_Micromonas_pusilla	ClassI:LINE	0
15_Alage	10_Micromonas_pusilla	ClassI:LTR	36
15_Alage	10_Micromonas_pusilla	ClassI:PLE	0
15_Alage	10_Micromonas_pusilla	ClassI:SINE	0
15_Alage	10_Micromonas_pusilla	ClassI:unknown	0
15_Alage	10_Micromonas_pusilla	ClassII:Circular_dsDNA	34
15_Alage	10_Micromonas_pusilla	ClassII:DNA_Polymerase	0
15_Alage	10_Micromonas_pusilla	ClassII:Rolling_Circle	0
15_Alage	10_Micromonas_pusilla	ClassII:TIR	115
15_Alage	10_Micromonas_pusilla	Pseudogene:RNA	0
15_Alage	10_Micromonas_pusilla	Satellite	0
15_Alage	10_Micromonas_pusilla	Tandem_Repeat:Low_complexity	1144
15_Alage	10_Micromonas_pusilla	Tandem_Repeat:Satellite	0
15_Alage	10_Micromonas_pusilla	Tandem_Repeat:Simple_repeat	35231
15_Alage	10_Micromonas_pusilla	Unknown	8908
15_Alage	11_Bathycoccus	ClassI:DIRS	24
