Species_type	Species	Order	Stat
15_Alage	3_Chloropicon_primus	ClassI:DIRS	0.0
15_Alage	3_Chloropicon_primus	ClassI:LINE	0.0
15_Alage	3_Chloropicon_primus	ClassI:LTR	0.11
15_Alage	3_Chloropicon_primus	ClassI:PLE	0.0
15_Alage	3_Chloropicon_primus	ClassI:SINE	0.0
15_Alage	3_Chloropicon_primus	ClassI:unknown	0.0
15_Alage	3_Chloropicon_primus	ClassII:Circular_dsDNA	0.0
15_Alage	3_Chloropicon_primus	ClassII:DNA_Polymerase	0.0
15_Alage	3_Chloropicon_primus	ClassII:Rolling_Circle	0.0
15_Alage	3_Chloropicon_primus	ClassII:TIR	2.53
15_Alage	3_Chloropicon_primus	Pseudogene:RNA	0.0
15_Alage	3_Chloropicon_primus	Satellite	0.0
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Low_complexity	11.6
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Satellite	0.0
15_Alage	3_Chloropicon_primus	Tandem_Repeat:Simple_repeat	80.53
15_Alage	3_Chloropicon_primus	Unknown	5.23
15_Alage	3_Chloropicon_primus	Total	100
15_Alage	4_Edaphochlamys_debaryana	ClassI:DIRS	0.07
15_Alage	4_Edaphochlamys_debaryana	ClassI:LINE	2.64
15_Alage	4_Edaphochlamys_debaryana	ClassI:LTR	0.78
15_Alage	4_Edaphochlamys_debaryana	ClassI:PLE	0.03
15_Alage	4_Edaphochlamys_debaryana	ClassI:SINE	0.07
15_Alage	4_Edaphochlamys_debaryana	ClassI:unknown	0.0
15_Alage	4_Edaphochlamys_debaryana	ClassII:Circular_dsDNA	0.0
15_Alage	4_Edaphochlamys_debaryana	ClassII:DNA_Polymerase	0.0
15_Alage	4_Edaphochlamys_debaryana	ClassII:Rolling_Circle	0.67
15_Alage	4_Edaphochlamys_debaryana	ClassII:TIR	0.5
15_Alage	4_Edaphochlamys_debaryana	Pseudogene:RNA	0.0
15_Alage	4_Edaphochlamys_debaryana	Satellite	0.0
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Low_complexity	14.2
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Satellite	0.0
15_Alage	4_Edaphochlamys_debaryana	Tandem_Repeat:Simple_repeat	61.56
15_Alage	4_Edaphochlamys_debaryana	Unknown	19.5
15_Alage	4_Edaphochlamys_debaryana	Total	100
15_Alage	5_Bathycoccus_prasinos	ClassI:DIRS	0.0
15_Alage	5_Bathycoccus_prasinos	ClassI:LINE	0.0
15_Alage	5_Bathycoccus_prasinos	ClassI:LTR	0.91
15_Alage	5_Bathycoccus_prasinos	ClassI:PLE	0.11
15_Alage	5_Bathycoccus_prasinos	ClassI:SINE	0.0
15_Alage	5_Bathycoccus_prasinos	ClassI:unknown	0.0
15_Alage	5_Bathycoccus_prasinos	ClassII:Circular_dsDNA	0.0
15_Alage	5_Bathycoccus_prasinos	ClassII:DNA_Polymerase	0.56
15_Alage	5_Bathycoccus_prasinos	ClassII:Rolling_Circle	0.0
15_Alage	5_Bathycoccus_prasinos	ClassII:TIR	4.04
15_Alage	5_Bathycoccus_prasinos	Pseudogene:RNA	0.0
15_Alage	5_Bathycoccus_prasinos	Satellite	0.0
