Species_type	Species	Order	Stat
01_Alage	3_Chloropicon_primus	Circular_dsDNA-Crypton	0
01_Alage	3_Chloropicon_primus	DNA_Polymerase-Maverick	0
01_Alage	3_Chloropicon_primus	Rolling_Circle-Helitron	0
01_Alage	3_Chloropicon_primus	Academ	0
01_Alage	3_Chloropicon_primus	CMC	0.02
01_Alage	3_Chloropicon_primus	DNA_virus	0
01_Alage	3_Chloropicon_primus	Dada	0
01_Alage	3_Chloropicon_primus	Ginger	0
01_Alage	3_Chloropicon_primus	IS3EU	0
01_Alage	3_Chloropicon_primus	Kolobok	0
01_Alage	3_Chloropicon_primus	MULE	0.64
01_Alage	3_Chloropicon_primus	Merlin	0
01_Alage	3_Chloropicon_primus	Novosib	0
01_Alage	3_Chloropicon_primus	P	0
01_Alage	3_Chloropicon_primus	PIF	0
01_Alage	3_Chloropicon_primus	PiggyBac	0
01_Alage	3_Chloropicon_primus	Sola	0
01_Alage	3_Chloropicon_primus	TcMar	0
01_Alage	3_Chloropicon_primus	Zator	0
01_Alage	3_Chloropicon_primus	Zisupton	0
01_Alage	3_Chloropicon_primus	hAT	0.04
01_Alage	3_Chloropicon_primus	unknown	0
01_Alage	4_Edaphochlamys_debaryana	Circular_dsDNA-Crypton	0
01_Alage	4_Edaphochlamys_debaryana	DNA_Polymerase-Maverick	0
01_Alage	4_Edaphochlamys_debaryana	Rolling_Circle-Helitron	0.23
01_Alage	4_Edaphochlamys_debaryana	Academ	0
01_Alage	4_Edaphochlamys_debaryana	CMC	0
01_Alage	4_Edaphochlamys_debaryana	DNA_virus	0
01_Alage	4_Edaphochlamys_debaryana	Dada	0
01_Alage	4_Edaphochlamys_debaryana	Ginger	0
01_Alage	4_Edaphochlamys_debaryana	IS3EU	0
01_Alage	4_Edaphochlamys_debaryana	Kolobok	0
01_Alage	4_Edaphochlamys_debaryana	MULE	0
01_Alage	4_Edaphochlamys_debaryana	Merlin	0
01_Alage	4_Edaphochlamys_debaryana	Novosib	0
01_Alage	4_Edaphochlamys_debaryana	P	0
01_Alage	4_Edaphochlamys_debaryana	PIF	0.01
01_Alage	4_Edaphochlamys_debaryana	PiggyBac	0
01_Alage	4_Edaphochlamys_debaryana	Sola	0
01_Alage	4_Edaphochlamys_debaryana	TcMar	0
01_Alage	4_Edaphochlamys_debaryana	Zator	0
01_Alage	4_Edaphochlamys_debaryana	Zisupton	0
01_Alage	4_Edaphochlamys_debaryana	hAT	0.06
01_Alage	4_Edaphochlamys_debaryana	unknown	0.11
01_Alage	5_Bathycoccus_prasinos	Circular_dsDNA-Crypton	0
01_Alage	5_Bathycoccus_prasinos	DNA_Polymerase-Maverick	0.49
01_Alage	5_Bathycoccus_prasinos	Rolling_Circle-Helitron	0
01_Alage	5_Bathycoccus_prasinos	Academ	0
01_Alage	5_Bathycoccus_prasinos	CMC	0.44
01_Alage	5_Bathycoccus_prasinos	DNA_virus	0
01_Alage	5_Bathycoccus_prasinos	Dada	0
01_Alage	5_Bathycoccus_prasinos	Ginger	0
01_Alage	5_Bathycoccus_prasinos	IS3EU	0
01_Alage	5_Bathycoccus_prasinos	Kolobok	0
01_Alage	5_Bathycoccus_prasinos	MULE	0
01_Alage	5_Bathycoccus_prasinos	Merlin	0
01_Alage	5_Bathycoccus_prasinos	Novosib	0
01_Alage	5_Bathycoccus_prasinos	P	0
01_Alage	5_Bathycoccus_prasinos	PIF	0
01_Alage	5_Bathycoccus_prasinos	PiggyBac	0
01_Alage	5_Bathycoccus_prasinos	Sola	0
01_Alage	5_Bathycoccus_prasinos	TcMar	0
01_Alage	5_Bathycoccus_prasinos	Zator	0
01_Alage	5_Bathycoccus_prasinos	Zisupton	0
01_Alage	5_Bathycoccus_prasinos	hAT	0.05
01_Alage	5_Bathycoccus_prasinos	unknown	0
01_Alage	6_Ostreococcus_tauri	Circular_dsDNA-Crypton	0
01_Alage	6_Ostreococcus_tauri	DNA_Polymerase-Maverick	0
01_Alage	6_Ostreococcus_tauri	Rolling_Circle-Helitron	0.14
01_Alage	6_Ostreococcus_tauri	Academ	0
01_Alage	6_Ostreococcus_tauri	CMC	0
01_Alage	6_Ostreococcus_tauri	DNA_virus	0
01_Alage	6_Ostreococcus_tauri	Dada	0
01_Alage	6_Ostreococcus_tauri	Ginger	0
01_Alage	6_Ostreococcus_tauri	IS3EU	0
01_Alage	6_Ostreococcus_tauri	Kolobok	0
01_Alage	6_Ostreococcus_tauri	MULE	0
01_Alage	6_Ostreococcus_tauri	Merlin	0
01_Alage	6_Ostreococcus_tauri	Novosib	0
01_Alage	6_Ostreococcus_tauri	P	0
01_Alage	6_Ostreococcus_tauri	PIF	0
01_Alage	6_Ostreococcus_tauri	PiggyBac	0
01_Alage	6_Ostreococcus_tauri	Sola	0
01_Alage	6_Ostreococcus_tauri	TcMar	0.17
01_Alage	6_Ostreococcus_tauri	Zator	0
01_Alage	6_Ostreococcus_tauri	Zisupton	0
01_Alage	6_Ostreococcus_tauri	hAT	0.04
01_Alage	6_Ostreococcus_tauri	unknown	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Circular_dsDNA-Crypton	0.64
01_Alage	7_Ostreococcus_sp._lucimarinus	DNA_Polymerase-Maverick	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Rolling_Circle-Helitron	0.41
01_Alage	7_Ostreococcus_sp._lucimarinus	Academ	0
01_Alage	7_Ostreococcus_sp._lucimarinus	CMC	0.85
01_Alage	7_Ostreococcus_sp._lucimarinus	DNA_virus	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Dada	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Ginger	0
01_Alage	7_Ostreococcus_sp._lucimarinus	IS3EU	0.43
01_Alage	7_Ostreococcus_sp._lucimarinus	Kolobok	0
01_Alage	7_Ostreococcus_sp._lucimarinus	MULE	0.62
01_Alage	7_Ostreococcus_sp._lucimarinus	Merlin	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Novosib	0
01_Alage	7_Ostreococcus_sp._lucimarinus	P	0
01_Alage	7_Ostreococcus_sp._lucimarinus	PIF	0
01_Alage	7_Ostreococcus_sp._lucimarinus	PiggyBac	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Sola	0
01_Alage	7_Ostreococcus_sp._lucimarinus	TcMar	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Zator	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Zisupton	0
01_Alage	7_Ostreococcus_sp._lucimarinus	hAT	0.63
01_Alage	7_Ostreococcus_sp._lucimarinus	unknown	0
01_Alage	8_Micromonas	Circular_dsDNA-Crypton	0
01_Alage	8_Micromonas	DNA_Polymerase-Maverick	0
01_Alage	8_Micromonas	Rolling_Circle-Helitron	0.01
01_Alage	8_Micromonas	Academ	0
01_Alage	8_Micromonas	CMC	0
01_Alage	8_Micromonas	DNA_virus	0
01_Alage	8_Micromonas	Dada	0
01_Alage	8_Micromonas	Ginger	0
01_Alage	8_Micromonas	IS3EU	0
01_Alage	8_Micromonas	Kolobok	0
01_Alage	8_Micromonas	MULE	0
01_Alage	8_Micromonas	Merlin	0
01_Alage	8_Micromonas	Novosib	0
01_Alage	8_Micromonas	P	0
01_Alage	8_Micromonas	PIF	0
01_Alage	8_Micromonas	PiggyBac	0
01_Alage	8_Micromonas	Sola	0
01_Alage	8_Micromonas	TcMar	0
01_Alage	8_Micromonas	Zator	0
01_Alage	8_Micromonas	Zisupton	0
01_Alage	8_Micromonas	hAT	0
01_Alage	8_Micromonas	unknown	0
01_Alage	9_Micromonas_commoda	Circular_dsDNA-Crypton	0
01_Alage	9_Micromonas_commoda	DNA_Polymerase-Maverick	0.02
01_Alage	9_Micromonas_commoda	Rolling_Circle-Helitron	0
01_Alage	9_Micromonas_commoda	Academ	0
01_Alage	9_Micromonas_commoda	CMC	0
01_Alage	9_Micromonas_commoda	DNA_virus	0
01_Alage	9_Micromonas_commoda	Dada	0
01_Alage	9_Micromonas_commoda	Ginger	0
01_Alage	9_Micromonas_commoda	IS3EU	0
01_Alage	9_Micromonas_commoda	Kolobok	0.01
01_Alage	9_Micromonas_commoda	MULE	0.11
01_Alage	9_Micromonas_commoda	Merlin	0
01_Alage	9_Micromonas_commoda	Novosib	0
01_Alage	9_Micromonas_commoda	P	0
01_Alage	9_Micromonas_commoda	PIF	0
01_Alage	9_Micromonas_commoda	PiggyBac	0
01_Alage	9_Micromonas_commoda	Sola	0
01_Alage	9_Micromonas_commoda	TcMar	0
01_Alage	9_Micromonas_commoda	Zator	0
01_Alage	9_Micromonas_commoda	Zisupton	0
01_Alage	9_Micromonas_commoda	hAT	0.05
01_Alage	9_Micromonas_commoda	unknown	0
01_Alage	10_Micromonas_pusilla	Circular_dsDNA-Crypton	0.01
01_Alage	10_Micromonas_pusilla	DNA_Polymerase-Maverick	0
01_Alage	10_Micromonas_pusilla	Rolling_Circle-Helitron	0
01_Alage	10_Micromonas_pusilla	Academ	0
01_Alage	10_Micromonas_pusilla	CMC	0.04
01_Alage	10_Micromonas_pusilla	DNA_virus	0
01_Alage	10_Micromonas_pusilla	Dada	0
01_Alage	10_Micromonas_pusilla	Ginger	0
01_Alage	10_Micromonas_pusilla	IS3EU	0
01_Alage	10_Micromonas_pusilla	Kolobok	0
01_Alage	10_Micromonas_pusilla	MULE	0
01_Alage	10_Micromonas_pusilla	Merlin	0
01_Alage	10_Micromonas_pusilla	Novosib	0
01_Alage	10_Micromonas_pusilla	P	0
01_Alage	10_Micromonas_pusilla	PIF	0
01_Alage	10_Micromonas_pusilla	PiggyBac	0
01_Alage	10_Micromonas_pusilla	Sola	0
01_Alage	10_Micromonas_pusilla	TcMar	0
01_Alage	10_Micromonas_pusilla	Zator	0
01_Alage	10_Micromonas_pusilla	Zisupton	0
01_Alage	10_Micromonas_pusilla	hAT	0.02
01_Alage	10_Micromonas_pusilla	unknown	0
01_Alage	11_Bathycoccus	Circular_dsDNA-Crypton	0.13
01_Alage	11_Bathycoccus	DNA_Polymerase-Maverick	0.14
01_Alage	11_Bathycoccus	Rolling_Circle-Helitron	0
01_Alage	11_Bathycoccus	Academ	0
01_Alage	11_Bathycoccus	CMC	0.38
01_Alage	11_Bathycoccus	DNA_virus	0
01_Alage	11_Bathycoccus	Dada	0
