Species_type	Species	Order	Stat
01_Alage	3_Chloropicon_primus	CR1	0
01_Alage	3_Chloropicon_primus	CRE	0
01_Alage	3_Chloropicon_primus	Dong	0
01_Alage	3_Chloropicon_primus	Dualen	0
01_Alage	3_Chloropicon_primus	I	0
01_Alage	3_Chloropicon_primus	L1	0
01_Alage	3_Chloropicon_primus	L2	0
01_Alage	3_Chloropicon_primus	Proto1	0
01_Alage	3_Chloropicon_primus	Proto2	0
01_Alage	3_Chloropicon_primus	R1	0
01_Alage	3_Chloropicon_primus	R2	0
01_Alage	3_Chloropicon_primus	RTE	0
01_Alage	3_Chloropicon_primus	Rex	0
01_Alage	3_Chloropicon_primus	Tad1	0
01_Alage	3_Chloropicon_primus	unknown	0
01_Alage	4_Edaphochlamys_debaryana	CR1	0
01_Alage	4_Edaphochlamys_debaryana	CRE	0
01_Alage	4_Edaphochlamys_debaryana	Dong	0
01_Alage	4_Edaphochlamys_debaryana	Dualen	0.51
01_Alage	4_Edaphochlamys_debaryana	I	0.02
01_Alage	4_Edaphochlamys_debaryana	L1	0.62
01_Alage	4_Edaphochlamys_debaryana	L2	0
01_Alage	4_Edaphochlamys_debaryana	Proto1	0
01_Alage	4_Edaphochlamys_debaryana	Proto2	0
01_Alage	4_Edaphochlamys_debaryana	R1	0
01_Alage	4_Edaphochlamys_debaryana	R2	0
01_Alage	4_Edaphochlamys_debaryana	RTE	0.06
01_Alage	4_Edaphochlamys_debaryana	Rex	0
01_Alage	4_Edaphochlamys_debaryana	Tad1	0
01_Alage	4_Edaphochlamys_debaryana	unknown	0
01_Alage	5_Bathycoccus_prasinos	CR1	0
01_Alage	5_Bathycoccus_prasinos	CRE	0
01_Alage	5_Bathycoccus_prasinos	Dong	0
01_Alage	5_Bathycoccus_prasinos	Dualen	0
01_Alage	5_Bathycoccus_prasinos	I	0
01_Alage	5_Bathycoccus_prasinos	L1	0
01_Alage	5_Bathycoccus_prasinos	L2	0
01_Alage	5_Bathycoccus_prasinos	Proto1	0
01_Alage	5_Bathycoccus_prasinos	Proto2	0
01_Alage	5_Bathycoccus_prasinos	R1	0
01_Alage	5_Bathycoccus_prasinos	R2	0
01_Alage	5_Bathycoccus_prasinos	RTE	0
01_Alage	5_Bathycoccus_prasinos	Rex	0
01_Alage	5_Bathycoccus_prasinos	Tad1	0
01_Alage	5_Bathycoccus_prasinos	unknown	0
01_Alage	6_Ostreococcus_tauri	CR1	0
01_Alage	6_Ostreococcus_tauri	CRE	0
01_Alage	6_Ostreococcus_tauri	Dong	0
01_Alage	6_Ostreococcus_tauri	Dualen	0
01_Alage	6_Ostreococcus_tauri	I	0
01_Alage	6_Ostreococcus_tauri	L1	0.01
01_Alage	6_Ostreococcus_tauri	L2	0
01_Alage	6_Ostreococcus_tauri	Proto1	0
01_Alage	6_Ostreococcus_tauri	Proto2	0
01_Alage	6_Ostreococcus_tauri	R1	0
01_Alage	6_Ostreococcus_tauri	R2	0
01_Alage	6_Ostreococcus_tauri	RTE	0
01_Alage	6_Ostreococcus_tauri	Rex	0
01_Alage	6_Ostreococcus_tauri	Tad1	0
01_Alage	6_Ostreococcus_tauri	unknown	0
01_Alage	7_Ostreococcus_sp._lucimarinus	CR1	0
01_Alage	7_Ostreococcus_sp._lucimarinus	CRE	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Dong	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Dualen	0
01_Alage	7_Ostreococcus_sp._lucimarinus	I	0
01_Alage	7_Ostreococcus_sp._lucimarinus	L1	0.04
01_Alage	7_Ostreococcus_sp._lucimarinus	L2	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Proto1	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Proto2	0
01_Alage	7_Ostreococcus_sp._lucimarinus	R1	0
01_Alage	7_Ostreococcus_sp._lucimarinus	R2	0
01_Alage	7_Ostreococcus_sp._lucimarinus	RTE	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Rex	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Tad1	0
01_Alage	7_Ostreococcus_sp._lucimarinus	unknown	0
01_Alage	8_Micromonas	CR1	0
01_Alage	8_Micromonas	CRE	0
01_Alage	8_Micromonas	Dong	0
01_Alage	8_Micromonas	Dualen	0
01_Alage	8_Micromonas	I	0
01_Alage	8_Micromonas	L1	0
01_Alage	8_Micromonas	L2	0
01_Alage	8_Micromonas	Proto1	0
01_Alage	8_Micromonas	Proto2	0
01_Alage	8_Micromonas	R1	0
01_Alage	8_Micromonas	R2	0
01_Alage	8_Micromonas	RTE	0
01_Alage	8_Micromonas	Rex	0
01_Alage	8_Micromonas	Tad1	0
01_Alage	8_Micromonas	unknown	0
01_Alage	9_Micromonas_commoda	CR1	0
01_Alage	9_Micromonas_commoda	CRE	0
01_Alage	9_Micromonas_commoda	Dong	0
01_Alage	9_Micromonas_commoda	Dualen	0
01_Alage	9_Micromonas_commoda	I	0
01_Alage	9_Micromonas_commoda	L1	0
01_Alage	9_Micromonas_commoda	L2	0
01_Alage	9_Micromonas_commoda	Proto1	0
01_Alage	9_Micromonas_commoda	Proto2	0
01_Alage	9_Micromonas_commoda	R1	0
01_Alage	9_Micromonas_commoda	R2	0
01_Alage	9_Micromonas_commoda	RTE	0
01_Alage	9_Micromonas_commoda	Rex	0
01_Alage	9_Micromonas_commoda	Tad1	0
01_Alage	9_Micromonas_commoda	unknown	0
01_Alage	10_Micromonas_pusilla	CR1	0
01_Alage	10_Micromonas_pusilla	CRE	0
01_Alage	10_Micromonas_pusilla	Dong	0
01_Alage	10_Micromonas_pusilla	Dualen	0
01_Alage	10_Micromonas_pusilla	I	0
01_Alage	10_Micromonas_pusilla	L1	0
01_Alage	10_Micromonas_pusilla	L2	0
01_Alage	10_Micromonas_pusilla	Proto1	0
