Species_type	Species	Order	Stat
01_Alage	3_Chloropicon_primus	Cassandra	0
01_Alage	3_Chloropicon_primus	Caulimovirus	0
01_Alage	3_Chloropicon_primus	Copia	0
01_Alage	3_Chloropicon_primus	ERV	0
01_Alage	3_Chloropicon_primus	ERV1	0
01_Alage	3_Chloropicon_primus	ERV4	0
01_Alage	3_Chloropicon_primus	ERVK	0
01_Alage	3_Chloropicon_primus	ERVL	0
01_Alage	3_Chloropicon_primus	Gypsy	0.02
01_Alage	3_Chloropicon_primus	Pao	0
01_Alage	3_Chloropicon_primus	TRIM	0
01_Alage	3_Chloropicon_primus	unknown	0
01_Alage	4_Edaphochlamys_debaryana	Cassandra	0
01_Alage	4_Edaphochlamys_debaryana	Caulimovirus	0
01_Alage	4_Edaphochlamys_debaryana	Copia	0.05
01_Alage	4_Edaphochlamys_debaryana	ERV	0
01_Alage	4_Edaphochlamys_debaryana	ERV1	0
01_Alage	4_Edaphochlamys_debaryana	ERV4	0
01_Alage	4_Edaphochlamys_debaryana	ERVK	0
01_Alage	4_Edaphochlamys_debaryana	ERVL	0
01_Alage	4_Edaphochlamys_debaryana	Gypsy	0.36
01_Alage	4_Edaphochlamys_debaryana	Pao	0
01_Alage	4_Edaphochlamys_debaryana	TRIM	0.02
01_Alage	4_Edaphochlamys_debaryana	unknown	0
01_Alage	5_Bathycoccus_prasinos	Cassandra	0
01_Alage	5_Bathycoccus_prasinos	Caulimovirus	0
01_Alage	5_Bathycoccus_prasinos	Copia	0
01_Alage	5_Bathycoccus_prasinos	ERV	0
01_Alage	5_Bathycoccus_prasinos	ERV1	0
01_Alage	5_Bathycoccus_prasinos	ERV4	0
01_Alage	5_Bathycoccus_prasinos	ERVK	0
01_Alage	5_Bathycoccus_prasinos	ERVL	0
01_Alage	5_Bathycoccus_prasinos	Gypsy	0.11
01_Alage	5_Bathycoccus_prasinos	Pao	0
01_Alage	5_Bathycoccus_prasinos	TRIM	0
01_Alage	5_Bathycoccus_prasinos	unknown	0
01_Alage	6_Ostreococcus_tauri	Cassandra	0
01_Alage	6_Ostreococcus_tauri	Caulimovirus	0
01_Alage	6_Ostreococcus_tauri	Copia	0
01_Alage	6_Ostreococcus_tauri	ERV	0
01_Alage	6_Ostreococcus_tauri	ERV1	0
01_Alage	6_Ostreococcus_tauri	ERV4	0
01_Alage	6_Ostreococcus_tauri	ERVK	0
01_Alage	6_Ostreococcus_tauri	ERVL	0
01_Alage	6_Ostreococcus_tauri	Gypsy	0
01_Alage	6_Ostreococcus_tauri	Pao	0
01_Alage	6_Ostreococcus_tauri	TRIM	0
01_Alage	6_Ostreococcus_tauri	unknown	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Cassandra	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Caulimovirus	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Copia	0.41
01_Alage	7_Ostreococcus_sp._lucimarinus	ERV	0
01_Alage	7_Ostreococcus_sp._lucimarinus	ERV1	0
01_Alage	7_Ostreococcus_sp._lucimarinus	ERV4	0
01_Alage	7_Ostreococcus_sp._lucimarinus	ERVK	0
01_Alage	7_Ostreococcus_sp._lucimarinus	ERVL	0
01_Alage	7_Ostreococcus_sp._lucimarinus	Gypsy	0.4
01_Alage	7_Ostreococcus_sp._lucimarinus	Pao	0
01_Alage	7_Ostreococcus_sp._lucimarinus	TRIM	0
01_Alage	7_Ostreococcus_sp._lucimarinus	unknown	0
01_Alage	8_Micromonas	Cassandra	0
01_Alage	8_Micromonas	Caulimovirus	0
01_Alage	8_Micromonas	Copia	0
01_Alage	8_Micromonas	ERV	0
01_Alage	8_Micromonas	ERV1	0
01_Alage	8_Micromonas	ERV4	0
01_Alage	8_Micromonas	ERVK	0
01_Alage	8_Micromonas	ERVL	0
01_Alage	8_Micromonas	Gypsy	0.07
01_Alage	8_Micromonas	Pao	0
