Species_type	Species	Order	Stat
01_Alage	3_Chloropicon_primus	5S	0
01_Alage	3_Chloropicon_primus	7SL	0
01_Alage	3_Chloropicon_primus	Alu	0
01_Alage	3_Chloropicon_primus	B2	0
01_Alage	3_Chloropicon_primus	B4	0
01_Alage	3_Chloropicon_primus	ID	0
01_Alage	3_Chloropicon_primus	MIR	0
01_Alage	3_Chloropicon_primus	RTE	0
01_Alage	3_Chloropicon_primus	U	0
01_Alage	3_Chloropicon_primus	like	0
01_Alage	3_Chloropicon_primus	tRNA	0
01_Alage	3_Chloropicon_primus	unknown	0
01_Alage	4_Edaphochlamys_debaryana	5S	0
01_Alage	4_Edaphochlamys_debaryana	7SL	0
01_Alage	4_Edaphochlamys_debaryana	Alu	0
01_Alage	4_Edaphochlamys_debaryana	B2	0
01_Alage	4_Edaphochlamys_debaryana	B4	0
01_Alage	4_Edaphochlamys_debaryana	ID	0
01_Alage	4_Edaphochlamys_debaryana	MIR	0
01_Alage	4_Edaphochlamys_debaryana	RTE	0
01_Alage	4_Edaphochlamys_debaryana	U	0
01_Alage	4_Edaphochlamys_debaryana	like	0.01
01_Alage	4_Edaphochlamys_debaryana	tRNA	0.01
01_Alage	4_Edaphochlamys_debaryana	unknown	0
01_Alage	5_Bathycoccus_prasinos	5S	0
01_Alage	5_Bathycoccus_prasinos	7SL	0
01_Alage	5_Bathycoccus_prasinos	Alu	0
01_Alage	5_Bathycoccus_prasinos	B2	0
01_Alage	5_Bathycoccus_prasinos	B4	0
01_Alage	5_Bathycoccus_prasinos	ID	0
01_Alage	5_Bathycoccus_prasinos	MIR	0
01_Alage	5_Bathycoccus_prasinos	RTE	0
01_Alage	5_Bathycoccus_prasinos	U	0
01_Alage	5_Bathycoccus_prasinos	like	0
01_Alage	5_Bathycoccus_prasinos	tRNA	0
01_Alage	5_Bathycoccus_prasinos	unknown	0
01_Alage	6_Ostreococcus_tauri	5S	0
01_Alage	6_Ostreococcus_tauri	7SL	0
01_Alage	6_Ostreococcus_tauri	Alu	0
