Species_type	Species	Order	Stat
01_Alage	3_Chloropicon_primus	ClassI:DIRS-DIRS	0
01_Alage	3_Chloropicon_primus	ClassI:DIRS-Ngaro	0
01_Alage	3_Chloropicon_primus	ClassI:DIRS-Viper	0
01_Alage	3_Chloropicon_primus	ClassI:LINE-CR1	0
01_Alage	3_Chloropicon_primus	ClassI:LINE-CRE	0
01_Alage	3_Chloropicon_primus	ClassI:LINE-Dong	0
01_Alage	3_Chloropicon_primus	ClassI:LINE-Dualen	0
01_Alage	3_Chloropicon_primus	ClassI:LINE-I	0
01_Alage	3_Chloropicon_primus	ClassI:LINE-L1	0
01_Alage	3_Chloropicon_primus	ClassI:LINE-L2	0
01_Alage	3_Chloropicon_primus	ClassI:LINE-Proto1	0
01_Alage	3_Chloropicon_primus	ClassI:LINE-Proto2	0
01_Alage	3_Chloropicon_primus	ClassI:LINE-R1	0
01_Alage	3_Chloropicon_primus	ClassI:LINE-R2	0
01_Alage	3_Chloropicon_primus	ClassI:LINE-RTE	0
01_Alage	3_Chloropicon_primus	ClassI:LINE-Rex	0
01_Alage	3_Chloropicon_primus	ClassI:LINE-Tad1	0
01_Alage	3_Chloropicon_primus	ClassI:LINE-unknown	0
01_Alage	3_Chloropicon_primus	ClassI:LTR-Cassandra	0
01_Alage	3_Chloropicon_primus	ClassI:LTR-Caulimovirus	0
01_Alage	3_Chloropicon_primus	ClassI:LTR-Copia	0
01_Alage	3_Chloropicon_primus	ClassI:LTR-ERV	0
01_Alage	3_Chloropicon_primus	ClassI:LTR-ERV1	0
01_Alage	3_Chloropicon_primus	ClassI:LTR-ERV4	0
01_Alage	3_Chloropicon_primus	ClassI:LTR-ERVK	0
01_Alage	3_Chloropicon_primus	ClassI:LTR-ERVL	0
01_Alage	3_Chloropicon_primus	ClassI:LTR-Gypsy	149.81
01_Alage	3_Chloropicon_primus	ClassI:LTR-Pao	0
01_Alage	3_Chloropicon_primus	ClassI:LTR-TRIM	0
01_Alage	3_Chloropicon_primus	ClassI:LTR-unknown	0
01_Alage	3_Chloropicon_primus	ClassI:PLE-Penelope	0
01_Alage	3_Chloropicon_primus	ClassI:Retroposon/L1-dep	0
01_Alage	3_Chloropicon_primus	ClassI:Retroposon/L1-derived	0
01_Alage	3_Chloropicon_primus	ClassI:Retroposon_nonLTR	0
01_Alage	3_Chloropicon_primus	ClassI:Retroposon_nonLTR-SVA	0
01_Alage	3_Chloropicon_primus	ClassI:SINE-5S	0
01_Alage	3_Chloropicon_primus	ClassI:SINE-7SL	0
01_Alage	3_Chloropicon_primus	ClassI:SINE-Alu	0
01_Alage	3_Chloropicon_primus	ClassI:SINE-B2	0
01_Alage	3_Chloropicon_primus	ClassI:SINE-B4	0
01_Alage	3_Chloropicon_primus	ClassI:SINE-ID	0
01_Alage	3_Chloropicon_primus	ClassI:SINE-MIR	0
01_Alage	3_Chloropicon_primus	ClassI:SINE-RTE	0
01_Alage	3_Chloropicon_primus	ClassI:SINE-U	0
01_Alage	3_Chloropicon_primus	ClassI:SINE-like	0
01_Alage	3_Chloropicon_primus	ClassI:SINE-tRNA	0
01_Alage	3_Chloropicon_primus	ClassI:SINE-unknown	0
01_Alage	3_Chloropicon_primus	ClassII:Circular_dsDNA-Crypton	0
01_Alage	3_Chloropicon_primus	ClassII:DNA_Polymerase-Maverick	0
01_Alage	3_Chloropicon_primus	ClassII:Rolling_Circle-Helitron	0
01_Alage	3_Chloropicon_primus	ClassII:TIR-Academ	0
01_Alage	3_Chloropicon_primus	ClassII:TIR-CMC	163.82
01_Alage	3_Chloropicon_primus	ClassII:TIR-DNA_virus	0
01_Alage	3_Chloropicon_primus	ClassII:TIR-Dada	0
01_Alage	3_Chloropicon_primus	ClassII:TIR-Ginger	0
01_Alage	3_Chloropicon_primus	ClassII:TIR-IS3EU	0
