Species_type	Species	Order	Stat
01_Alage	3_Chloropicon_primus	ClassI:DIRS-DIRS	0.0
01_Alage	3_Chloropicon_primus	ClassI:DIRS-Ngaro	0.0
01_Alage	3_Chloropicon_primus	ClassI:DIRS-Viper	0.0
01_Alage	3_Chloropicon_primus	ClassI:LINE-CR1	0.0
01_Alage	3_Chloropicon_primus	ClassI:LINE-CRE	0.0
01_Alage	3_Chloropicon_primus	ClassI:LINE-Dong	0.0
01_Alage	3_Chloropicon_primus	ClassI:LINE-Dualen	0.0
01_Alage	3_Chloropicon_primus	ClassI:LINE-I	0.0
01_Alage	3_Chloropicon_primus	ClassI:LINE-L1	0.0
01_Alage	3_Chloropicon_primus	ClassI:LINE-L2	0.0
01_Alage	3_Chloropicon_primus	ClassI:LINE-Proto1	0.0
01_Alage	3_Chloropicon_primus	ClassI:LINE-Proto2	0.0
01_Alage	3_Chloropicon_primus	ClassI:LINE-R1	0.0
01_Alage	3_Chloropicon_primus	ClassI:LINE-R2	0.0
01_Alage	3_Chloropicon_primus	ClassI:LINE-RTE	0.0
01_Alage	3_Chloropicon_primus	ClassI:LINE-Rex	0.0
01_Alage	3_Chloropicon_primus	ClassI:LINE-Tad1	0.0
01_Alage	3_Chloropicon_primus	ClassI:LINE-unknown	0.0
01_Alage	3_Chloropicon_primus	ClassI:LTR-Cassandra	0.0
01_Alage	3_Chloropicon_primus	ClassI:LTR-Caulimovirus	0.0
01_Alage	3_Chloropicon_primus	ClassI:LTR-Copia	0.0
01_Alage	3_Chloropicon_primus	ClassI:LTR-ERV	0.0
01_Alage	3_Chloropicon_primus	ClassI:LTR-ERV1	0.0
01_Alage	3_Chloropicon_primus	ClassI:LTR-ERV4	0.0
01_Alage	3_Chloropicon_primus	ClassI:LTR-ERVK	0.0
01_Alage	3_Chloropicon_primus	ClassI:LTR-ERVL	0.0
01_Alage	3_Chloropicon_primus	ClassI:LTR-Gypsy	0.11
01_Alage	3_Chloropicon_primus	ClassI:LTR-Pao	0.0
01_Alage	3_Chloropicon_primus	ClassI:LTR-TRIM	0.0
01_Alage	3_Chloropicon_primus	ClassI:LTR-unknown	0.0
01_Alage	3_Chloropicon_primus	ClassI:PLE-Penelope	0.0
01_Alage	3_Chloropicon_primus	ClassI:Retroposon/L1-dep	0.0
01_Alage	3_Chloropicon_primus	ClassI:Retroposon/L1-derived	0.0
01_Alage	3_Chloropicon_primus	ClassI:Retroposon_nonLTR	0.0
01_Alage	3_Chloropicon_primus	ClassI:Retroposon_nonLTR-SVA	0.0
01_Alage	3_Chloropicon_primus	ClassI:SINE-5S	0.0
01_Alage	3_Chloropicon_primus	ClassI:SINE-7SL	0.0
01_Alage	3_Chloropicon_primus	ClassI:SINE-Alu	0.0
01_Alage	3_Chloropicon_primus	ClassI:SINE-B2	0.0
01_Alage	3_Chloropicon_primus	ClassI:SINE-B4	0.0
01_Alage	3_Chloropicon_primus	ClassI:SINE-ID	0.0
01_Alage	3_Chloropicon_primus	ClassI:SINE-MIR	0.0
01_Alage	3_Chloropicon_primus	ClassI:SINE-RTE	0.0
01_Alage	3_Chloropicon_primus	ClassI:SINE-U	0.0
01_Alage	3_Chloropicon_primus	ClassI:SINE-like	0.0
01_Alage	3_Chloropicon_primus	ClassI:SINE-tRNA	0.0
01_Alage	3_Chloropicon_primus	ClassI:SINE-unknown	0.0
01_Alage	3_Chloropicon_primus	ClassII:Circular_dsDNA-Crypton	0.0
01_Alage	3_Chloropicon_primus	ClassII:DNA_Polymerase-Maverick	0.0
01_Alage	3_Chloropicon_primus	ClassII:Rolling_Circle-Helitron	0.0
01_Alage	3_Chloropicon_primus	ClassII:TIR-Academ	0.0
01_Alage	3_Chloropicon_primus	ClassII:TIR-CMC	0.09
01_Alage	3_Chloropicon_primus	ClassII:TIR-DNA_virus	0.0
01_Alage	3_Chloropicon_primus	ClassII:TIR-Dada	0.0
01_Alage	3_Chloropicon_primus	ClassII:TIR-Ginger	0.0
01_Alage	3_Chloropicon_primus	ClassII:TIR-IS3EU	0.0
01_Alage	3_Chloropicon_primus	ClassII:TIR-Kolobok	0.0
01_Alage	3_Chloropicon_primus	ClassII:TIR-MULE	2.25
01_Alage	3_Chloropicon_primus	ClassII:TIR-Merlin	0.0
01_Alage	3_Chloropicon_primus	ClassII:TIR-Novosib	0.0
01_Alage	3_Chloropicon_primus	ClassII:TIR-P	0.0
01_Alage	3_Chloropicon_primus	ClassII:TIR-PIF	0.0
01_Alage	3_Chloropicon_primus	ClassII:TIR-PiggyBac	0.0
01_Alage	3_Chloropicon_primus	ClassII:TIR-Sola	0.0
01_Alage	3_Chloropicon_primus	ClassII:TIR-TcMar	0.0
01_Alage	3_Chloropicon_primus	ClassII:TIR-Zator	0.0
01_Alage	3_Chloropicon_primus	ClassII:TIR-Zisupton	0.0
01_Alage	3_Chloropicon_primus	ClassII:TIR-hAT	0.19
01_Alage	3_Chloropicon_primus	ClassII:TIR-unknown	0.0
01_Alage	3_Chloropicon_primus	Pseudogene:RNA-rRNA	0.0
01_Alage	3_Chloropicon_primus	Pseudogene:RNA-snRNA	0.0
01_Alage	3_Chloropicon_primus	Tandem_Repeat:Low_complexity	11.6
01_Alage	3_Chloropicon_primus	Tandem_Repeat:Satellite	0.0
01_Alage	3_Chloropicon_primus	Tandem_Repeat:Satellite:W-chromosome	0.0
01_Alage	3_Chloropicon_primus	Tandem_Repeat:Satellite:Y-chromosome	0.0
01_Alage	3_Chloropicon_primus	Tandem_Repeat:Satellite:acro	0.0
01_Alage	3_Chloropicon_primus	Tandem_Repeat:Satellite:centr	0.0
01_Alage	3_Chloropicon_primus	Tandem_Repeat:Satellite:macro	0.0
01_Alage	3_Chloropicon_primus	Tandem_Repeat:Satellite:subtelo	0.0
01_Alage	3_Chloropicon_primus	Tandem_Repeat:Simple_repeat	80.53
01_Alage	3_Chloropicon_primus	Unknown	5.23
01_Alage	3_Chloropicon_primus	Total	100
01_Alage	4_Edaphochlamys_debaryana	ClassI:DIRS-DIRS	0.03
01_Alage	4_Edaphochlamys_debaryana	ClassI:DIRS-Ngaro	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:DIRS-Viper	0.04
01_Alage	4_Edaphochlamys_debaryana	ClassI:LINE-CR1	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LINE-CRE	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LINE-Dong	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LINE-Dualen	0.95
01_Alage	4_Edaphochlamys_debaryana	ClassI:LINE-I	0.08
01_Alage	4_Edaphochlamys_debaryana	ClassI:LINE-L1	1.31
01_Alage	4_Edaphochlamys_debaryana	ClassI:LINE-L2	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LINE-Proto1	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LINE-Proto2	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LINE-R1	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LINE-R2	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LINE-RTE	0.31
01_Alage	4_Edaphochlamys_debaryana	ClassI:LINE-Rex	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LINE-Tad1	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LINE-unknown	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LTR-Cassandra	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LTR-Caulimovirus	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LTR-Copia	0.08
01_Alage	4_Edaphochlamys_debaryana	ClassI:LTR-ERV	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LTR-ERV1	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LTR-ERV4	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LTR-ERVK	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LTR-ERVL	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LTR-Gypsy	0.62
01_Alage	4_Edaphochlamys_debaryana	ClassI:LTR-Pao	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:LTR-TRIM	0.08
01_Alage	4_Edaphochlamys_debaryana	ClassI:LTR-unknown	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:PLE-Penelope	0.03
01_Alage	4_Edaphochlamys_debaryana	ClassI:Retroposon/L1-dep	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:Retroposon/L1-derived	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:Retroposon_nonLTR	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:Retroposon_nonLTR-SVA	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:SINE-5S	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:SINE-7SL	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:SINE-Alu	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:SINE-B2	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:SINE-B4	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:SINE-ID	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:SINE-MIR	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:SINE-RTE	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:SINE-U	0.0
01_Alage	4_Edaphochlamys_debaryana	ClassI:SINE-like	0.03
01_Alage	4_Edaphochlamys_debaryana	ClassI:SINE-tRNA	0.04
01_Alage	4_Edaphochlamys_debaryana	ClassI:SINE-unknown	0.0
