Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46
Simple_repeat	0.318	0.002	0.014	0.035	0.06	0.042	0.017	0.029	0.037	0.038	0.027	0.025	0.032	0.039	0.029	0.023	0.025	0.021	0.023	0.022	0.021	0.02	0.017	0.015	0.015	0.011	0.009	0.008	0.007	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0
Unknown	0.002	0.003	0.004	0.007	0.011	0.015	0.019	0.023	0.027	0.031	0.033	0.036	0.039	0.044	0.045	0.05	0.052	0.054	0.055	0.054	0.057	0.055	0.052	0.049	0.043	0.038	0.031	0.024	0.017	0.012	0.008	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassII:TIR	0.001	0.003	0.009	0.008	0.009	0.014	0.019	0.023	0.026	0.035	0.034	0.031	0.034	0.036	0.039	0.041	0.044	0.045	0.049	0.049	0.052	0.053	0.053	0.052	0.047	0.044	0.039	0.03	0.024	0.02	0.014	0.009	0.006	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.001	0.004	0.009	0.014	0.019	0.025	0.029	0.031	0.033	0.033	0.034	0.035	0.038	0.038	0.039	0.041	0.042	0.044	0.044	0.043	0.046	0.045	0.044	0.042	0.04	0.038	0.034	0.031	0.025	0.019	0.015	0.009	0.007	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0
ClassI:LINE	0.002	0.001	0.003	0.003	0.007	0.01	0.011	0.015	0.017	0.021	0.026	0.029	0.03	0.035	0.037	0.041	0.044	0.049	0.05	0.05	0.055	0.054	0.054	0.055	0.055	0.055	0.05	0.046	0.034	0.024	0.016	0.011	0.006	0.003	0.002	0.001	0.0	0.0	0	0.0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.003	0.001	0.002	0.006	0.009	0.01	0.012	0.018	0.025	0.034	0.031	0.042	0.072	0.08	0.065	0.071	0.065	0.063	0.061	0.056	0.048	0.047	0.037	0.029	0.027	0.02	0.018	0.014	0.012	0.007	0.006	0.004	0.003	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0
Satellite	0.0	0	0	0.0	0.001	0.0	0.005	0.008	0.021	0.02	0.027	0.035	0.046	0.041	0.05	0.058	0.06	0.054	0.05	0.055	0.063	0.055	0.049	0.051	0.056	0.051	0.036	0.035	0.025	0.017	0.008	0.008	0.006	0.003	0.003	0.001	0.001	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.0	0	0.001	0.004	0.004	0.009	0.017	0.025	0.041	0.049	0.051	0.048	0.061	0.06	0.062	0.065	0.064	0.062	0.049	0.047	0.047	0.049	0.039	0.034	0.027	0.028	0.02	0.013	0.007	0.007	0.005	0.002	0.003	0.001	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0	0.001	0.006	0.008	0.008	0.009	0.014	0.019	0.018	0.022	0.017	0.016	0.025	0.036	0.034	0.053	0.045	0.044	0.039	0.051	0.053	0.056	0.055	0.058	0.059	0.046	0.045	0.037	0.025	0.024	0.02	0.02	0.017	0.009	0.005	0.002	0.001	0.001	0	0	0	0	0	0	0
ClassI:PLE	0.015	0.003	0.016	0.011	0.011	0.026	0.045	0.035	0.043	0.036	0.054	0.042	0.051	0.057	0.051	0.057	0.068	0.064	0.06	0.056	0.044	0.035	0.027	0.021	0.019	0.022	0.015	0.009	0.003	0.003	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.004	0	0.011	0.013	0.01	0.023	0.023	0.017	0.021	0.032	0.04	0.031	0.054	0.049	0.072	0.058	0.06	0.055	0.062	0.063	0.051	0.048	0.046	0.042	0.023	0.03	0.022	0.018	0.009	0.004	0.004	0.002	0	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.016	0.04	0.032	0.04	0.016	0.016	0.032	0.024	0.016	0.04	0.04	0.048	0.048	0.135	0.048	0.079	0.048	0.063	0.04	0.056	0.032	0.032	0.016	0.032	0.008	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0.002	0.024	0.016	0.009	0.005	0.005	0.002	0.015	0.015	0.02	0.026	0.04	0.064	0.11	0.068	0.082	0.059	0.077	0.049	0.057	0.07	0.046	0.031	0.027	0.031	0.013	0.007	0.011	0.015	0.002	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0.05	0.1	0.05	0.05	0.05	0	0	0.15	0.1	0	0	0	0.05	0	0.1	0	0	0	0	0	0.1	0.1	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
