Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	46-47
ClassI:LINE	0	0	0.009	0.014	0.012	0.024	0.01	0.012	0.02	0.021	0.019	0.031	0.026	0.036	0.04	0.034	0.033	0.033	0.029	0.038	0.035	0.041	0.036	0.038	0.037	0.038	0.037	0.047	0.048	0.051	0.049	0.035	0.02	0.02	0.016	0.009	0.002	0.001	0	0	0	0	0	0	0	0
ClassI:LTR	0.001	0.001	0.002	0.005	0.011	0.011	0.011	0.013	0.014	0.019	0.022	0.021	0.027	0.026	0.028	0.029	0.032	0.036	0.035	0.038	0.04	0.043	0.046	0.05	0.053	0.06	0.059	0.056	0.052	0.047	0.035	0.025	0.02	0.013	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0
Simple_repeat	0.345	0.014	0.042	0.046	0.057	0.037	0.023	0.029	0.034	0.032	0.025	0.024	0.027	0.029	0.024	0.021	0.02	0.018	0.018	0.016	0.017	0.016	0.013	0.012	0.013	0.01	0.008	0.007	0.006	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0
Unknown	0.001	0.001	0.004	0.007	0.009	0.012	0.016	0.017	0.02	0.025	0.027	0.033	0.035	0.039	0.04	0.041	0.044	0.048	0.048	0.049	0.05	0.047	0.051	0.05	0.048	0.049	0.043	0.039	0.033	0.024	0.018	0.011	0.007	0.005	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:TIR	0.004	0.002	0.005	0.007	0.02	0.032	0.024	0.022	0.025	0.027	0.027	0.024	0.022	0.022	0.026	0.033	0.032	0.039	0.05	0.045	0.049	0.046	0.048	0.055	0.049	0.042	0.044	0.042	0.033	0.031	0.024	0.019	0.012	0.008	0.006	0.002	0.001	0.0	0.001	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.001	0.001	0.005	0.008	0.011	0.013	0.025	0.03	0.04	0.049	0.056	0.076	0.075	0.067	0.072	0.065	0.061	0.05	0.053	0.043	0.038	0.033	0.026	0.026	0.019	0.014	0.011	0.011	0.007	0.004	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0	0	0	0	0
ClassI:PLE	0	0	0.004	0.016	0.024	0.016	0.024	0.02	0.032	0.032	0.048	0.04	0.056	0.069	0.048	0.044	0.069	0.052	0.06	0.028	0.04	0.044	0.024	0.032	0.012	0.044	0.024	0.032	0.016	0.016	0.012	0.008	0.004	0	0.004	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.148	0.007	0.134	0.007	0.034	0.074	0.047	0.107	0.047	0.04	0.054	0.013	0.013	0.013	0.027	0.04	0.02	0.034	0.02	0.034	0.013	0	0	0.027	0.007	0.02	0.007	0	0.007	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0.006	0	0	0.011	0.006	0.017	0.029	0.023	0.063	0.052	0.098	0.069	0.063	0.052	0.04	0.046	0.052	0.034	0.006	0.063	0.034	0.023	0.023	0.006	0.029	0.011	0.046	0.017	0.017	0.017	0.011	0.006	0.017	0.006	0.006	0	0	0	0	0	0	0	0	0	0
Satellite	0.021	0.031	0.015	0.015	0.036	0.077	0.056	0.067	0.051	0.077	0.077	0.123	0.077	0.067	0.041	0.031	0.021	0.01	0	0.021	0.005	0.015	0.015	0	0.01	0	0.005	0.005	0.005	0.01	0.01	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0
