Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	46-47	47-48
ClassI:LTR	0.004	0.006	0.014	0.024	0.033	0.033	0.037	0.038	0.037	0.033	0.031	0.031	0.029	0.031	0.034	0.034	0.036	0.039	0.041	0.04	0.043	0.043	0.043	0.043	0.043	0.041	0.037	0.03	0.023	0.018	0.011	0.007	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0	0	0.0	0	0	0
ClassII:TIR	0.005	0.016	0.03	0.03	0.032	0.035	0.039	0.045	0.049	0.05	0.05	0.052	0.051	0.053	0.049	0.05	0.046	0.043	0.041	0.036	0.033	0.029	0.026	0.023	0.019	0.017	0.015	0.011	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0
Unknown	0.01	0.015	0.024	0.031	0.035	0.039	0.046	0.048	0.048	0.047	0.047	0.048	0.049	0.049	0.049	0.046	0.043	0.042	0.041	0.039	0.037	0.033	0.029	0.024	0.02	0.017	0.013	0.01	0.008	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Simple_repeat	0.124	0.002	0.013	0.025	0.042	0.027	0.02	0.028	0.036	0.037	0.028	0.032	0.041	0.042	0.037	0.04	0.039	0.038	0.04	0.037	0.038	0.038	0.033	0.031	0.029	0.025	0.018	0.016	0.013	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Low_complexity	0.0	0	0.001	0.003	0.001	0.001	0.006	0.009	0.012	0.014	0.019	0.03	0.037	0.03	0.047	0.058	0.066	0.058	0.064	0.065	0.067	0.068	0.058	0.05	0.048	0.042	0.035	0.033	0.023	0.02	0.013	0.01	0.006	0.003	0.002	0.002	0.001	0.001	0.0	0	0.0	0.0	0.0	0	0
ClassI:LINE	0.006	0.013	0.023	0.032	0.038	0.033	0.033	0.031	0.029	0.03	0.028	0.03	0.032	0.032	0.033	0.032	0.031	0.033	0.035	0.036	0.035	0.034	0.037	0.035	0.033	0.038	0.035	0.035	0.033	0.029	0.023	0.016	0.012	0.007	0.004	0.002	0.001	0.0	0	0.0	0	0	0	0	0
ClassI:SINE	0.01	0.041	0.041	0.015	0.015	0.036	0.036	0.026	0.031	0.041	0.021	0.036	0.041	0.052	0.021	0.041	0.052	0.046	0.052	0.041	0.026	0.067	0.041	0.021	0.026	0.057	0.026	0.015	0.005	0.005	0.01	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.029	0.021	0.025	0.05	0.046	0.034	0.034	0.059	0.017	0.042	0.038	0.038	0.021	0.055	0.021	0.013	0.059	0.088	0.038	0.042	0.029	0.034	0.038	0.046	0.017	0.034	0.021	0.008	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.02	0.041	0.061	0.061	0	0	0.01	0.02	0	0.02	0.01	0.031	0.01	0.01	0.051	0	0	0.01	0	0	0.01	0.01	0.031	0	0.01	0.02	0.051	0.092	0.051	0.102	0.112	0.092	0.031	0.031	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.062	0.034	0.034	0.028	0.077	0.034	0.02	0.017	0.009	0.026	0.037	0.017	0.048	0.048	0.02	0.031	0.031	0.028	0.034	0.031	0.031	0.04	0.023	0.014	0.026	0.048	0.06	0.034	0.028	0.02	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.002	0	0.01	0.01	0.007	0	0.007	0	0.005	0.005	0.015	0.048	0.031	0.044	0.036	0.048	0.061	0.024	0.053	0.077	0.126	0.126	0.126	0.058	0.029	0.031	0.005	0.005	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
