Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	49-50	50-51	51-52	52-53	54-55	55-56
Unknown	0.003	0.003	0.009	0.013	0.017	0.023	0.028	0.033	0.037	0.037	0.039	0.039	0.043	0.044	0.045	0.047	0.049	0.051	0.05	0.046	0.047	0.044	0.041	0.039	0.034	0.032	0.027	0.022	0.017	0.013	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.002	0.006	0.012	0.018	0.021	0.03	0.039	0.046	0.054	0.058	0.061	0.056	0.05	0.043	0.037	0.035	0.035	0.035	0.034	0.033	0.033	0.032	0.031	0.03	0.03	0.028	0.026	0.023	0.019	0.014	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.324	0.007	0.018	0.027	0.04	0.026	0.015	0.023	0.029	0.031	0.025	0.024	0.031	0.037	0.028	0.026	0.028	0.025	0.028	0.026	0.026	0.025	0.024	0.021	0.019	0.015	0.012	0.011	0.008	0.007	0.005	0.003	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
Satellite	0.001	0	0	0.001	0.002	0.003	0.004	0.006	0.011	0.014	0.036	0.063	0.084	0.083	0.076	0.084	0.072	0.065	0.049	0.05	0.041	0.038	0.028	0.025	0.032	0.039	0.031	0.015	0.017	0.012	0.01	0.002	0.003	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.001	0.002	0.005	0.008	0.008	0.011	0.02	0.023	0.033	0.03	0.039	0.06	0.071	0.062	0.068	0.066	0.067	0.066	0.058	0.053	0.051	0.042	0.033	0.03	0.026	0.017	0.014	0.012	0.008	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0
ClassII:TIR	0.003	0.003	0.007	0.014	0.021	0.024	0.026	0.027	0.029	0.033	0.036	0.038	0.038	0.04	0.043	0.049	0.049	0.053	0.054	0.052	0.049	0.047	0.045	0.041	0.037	0.032	0.027	0.022	0.018	0.014	0.011	0.007	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.03	0	0.028	0.065	0.068	0.065	0.042	0.03	0.033	0.031	0.024	0.03	0.044	0.052	0.041	0.048	0.066	0.046	0.035	0.035	0.035	0.041	0.026	0.022	0.022	0.022	0.009	0.006	0.004	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.0	0.0	0.001	0.001	0.001	0.002	0.002	0.003	0.004	0.005	0.006	0.009	0.01	0.012	0.013	0.018	0.02	0.022	0.029	0.039	0.048	0.058	0.077	0.082	0.083	0.085	0.077	0.068	0.063	0.051	0.04	0.029	0.018	0.011	0.005	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0	0	0	0	0	0	0	0	0	0	0.004	0.004	0.002	0.013	0.014	0.02	0.03	0.023	0.025	0.023	0.063	0.082	0.102	0.113	0.106	0.079	0.057	0.054	0.072	0.048	0.032	0.013	0.013	0.007	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.09	0.012	0.1	0.007	0.055	0.052	0.045	0.048	0.069	0.037	0.063	0.042	0.03	0.036	0.027	0.034	0.036	0.027	0.021	0.034	0.036	0.022	0.018	0.015	0.01	0.007	0.004	0.004	0	0.007	0.004	0.001	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.012	0.025	0.042	0.049	0.05	0.055	0.07	0.043	0.056	0.068	0.049	0.047	0.038	0.034	0.038	0.035	0.04	0.033	0.022	0.028	0.019	0.016	0.011	0.014	0.016	0.017	0.019	0.012	0.016	0.013	0.007	0.004	0.005	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0.001	0.003	0.004	0.011	0.025	0.028	0.027	0.027	0.022	0.026	0.032	0.031	0.031	0.043	0.039	0.034	0.039	0.043	0.034	0.037	0.038	0.038	0.046	0.034	0.029	0.028	0.03	0.03	0.038	0.035	0.039	0.034	0.022	0.014	0.004	0.004	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0	0	0.014	0.064	0.043	0.135	0.071	0.064	0.021	0.035	0.014	0.035	0.028	0.057	0.028	0.064	0.071	0.028	0.064	0.071	0.035	0.035	0.014	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
