Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	50-51
ClassII:TIR	0.001	0.001	0.004	0.006	0.011	0.012	0.01	0.012	0.013	0.014	0.016	0.02	0.021	0.019	0.021	0.026	0.028	0.034	0.049	0.124	0.119	0.073	0.059	0.047	0.039	0.035	0.032	0.032	0.031	0.026	0.022	0.015	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0
Simple_repeat	0.156	0.004	0.025	0.033	0.043	0.04	0.027	0.038	0.048	0.052	0.043	0.043	0.043	0.043	0.028	0.023	0.024	0.023	0.028	0.028	0.027	0.024	0.021	0.019	0.018	0.015	0.014	0.013	0.011	0.009	0.008	0.006	0.006	0.005	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0
Unknown	0.002	0.003	0.006	0.008	0.01	0.013	0.015	0.017	0.017	0.019	0.022	0.026	0.028	0.035	0.038	0.043	0.049	0.053	0.057	0.057	0.059	0.06	0.054	0.049	0.043	0.04	0.034	0.03	0.026	0.022	0.018	0.014	0.01	0.008	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0
ClassI:LTR	0.002	0.004	0.009	0.016	0.016	0.014	0.012	0.009	0.011	0.011	0.014	0.015	0.017	0.019	0.02	0.023	0.025	0.03	0.031	0.034	0.04	0.044	0.05	0.058	0.066	0.07	0.071	0.063	0.052	0.041	0.032	0.025	0.018	0.014	0.01	0.007	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0
ClassI:DIRS	0	0.002	0.001	0.008	0.021	0.034	0.049	0.042	0.045	0.037	0.055	0.047	0.022	0.025	0.022	0.069	0.094	0.085	0.065	0.057	0.049	0.042	0.038	0.027	0.027	0.017	0.012	0.002	0.001	0.002	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.006	0.003	0.008	0.021	0.027	0.037	0.079	0.123	0.075	0.031	0.014	0.008	0.012	0.011	0.017	0.015	0.014	0.012	0.017	0.018	0.021	0.026	0.036	0.04	0.054	0.056	0.052	0.048	0.035	0.031	0.022	0.012	0.007	0.005	0.002	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.004	0.011	0.041	0.089	0.122	0.089	0.08	0.073	0.035	0.023	0.015	0.024	0.02	0.021	0.022	0.019	0.018	0.027	0.021	0.023	0.03	0.025	0.04	0.026	0.011	0.014	0.01	0.008	0.012	0.013	0.013	0.008	0.005	0.005	0.003	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.001	0.002	0.004	0.01	0.007	0.012	0.018	0.025	0.032	0.031	0.042	0.063	0.065	0.059	0.07	0.069	0.065	0.061	0.057	0.051	0.05	0.044	0.033	0.031	0.025	0.018	0.015	0.01	0.009	0.006	0.004	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0
ClassI:SINE	0.01	0.014	0.033	0.086	0.304	0.159	0.062	0.025	0.025	0.017	0.019	0.02	0.017	0.019	0.017	0.012	0.014	0.013	0.015	0.024	0.015	0.015	0.013	0.012	0.008	0.01	0.005	0.009	0.003	0.002	0.002	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.014	0.009	0.015	0.045	0.144	0.114	0.035	0.019	0.015	0.011	0.007	0.012	0.008	0.008	0.013	0.01	0.013	0.019	0.019	0.018	0.023	0.029	0.031	0.032	0.043	0.046	0.038	0.045	0.042	0.036	0.032	0.023	0.017	0.007	0.002	0.004	0.001	0	0.0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.014	0.013	0.033	0.034	0.029	0.037	0.096	0.189	0.099	0.057	0.032	0.014	0.014	0.021	0.018	0.016	0.013	0.016	0.011	0.014	0.021	0.014	0.016	0.016	0.018	0.018	0.035	0.022	0.01	0.011	0.011	0.016	0.008	0.007	0.005	0.002	0.002	0	0.001	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0.003	0.002	0	0.002	0.002	0.008	0.008	0.008	0.005	0.007	0.01	0.012	0.013	0.012	0.06	0.113	0.101	0.106	0.116	0.078	0.041	0.035	0.038	0.023	0.025	0.02	0.023	0.03	0.026	0.023	0.04	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
