Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	47-48	48-49	49-50
Unknown	0.003	0.003	0.006	0.008	0.01	0.013	0.017	0.019	0.021	0.023	0.026	0.028	0.031	0.035	0.039	0.044	0.05	0.054	0.059	0.061	0.065	0.06	0.056	0.05	0.043	0.039	0.033	0.027	0.022	0.017	0.013	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LTR	0.004	0.005	0.008	0.01	0.012	0.016	0.02	0.025	0.027	0.029	0.03	0.036	0.039	0.042	0.044	0.044	0.046	0.045	0.045	0.045	0.05	0.051	0.05	0.051	0.045	0.043	0.035	0.028	0.021	0.018	0.013	0.01	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.385	0.015	0.025	0.031	0.044	0.035	0.016	0.024	0.03	0.031	0.023	0.022	0.029	0.034	0.026	0.02	0.022	0.019	0.022	0.02	0.019	0.018	0.016	0.014	0.014	0.01	0.008	0.008	0.006	0.004	0.003	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.001	0.0	0.002	0.004	0.007	0.009	0.011	0.016	0.023	0.029	0.03	0.038	0.077	0.089	0.068	0.077	0.071	0.069	0.066	0.056	0.046	0.047	0.037	0.028	0.024	0.02	0.015	0.012	0.009	0.006	0.005	0.003	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LINE	0.004	0.002	0.004	0.004	0.003	0.004	0.006	0.006	0.006	0.007	0.011	0.014	0.018	0.022	0.029	0.033	0.038	0.042	0.053	0.052	0.066	0.065	0.065	0.066	0.065	0.066	0.06	0.048	0.04	0.033	0.023	0.018	0.01	0.008	0.004	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.002	0.006	0.008	0.012	0.017	0.021	0.022	0.023	0.024	0.025	0.03	0.034	0.037	0.041	0.045	0.051	0.055	0.058	0.061	0.064	0.06	0.056	0.05	0.044	0.038	0.031	0.025	0.019	0.014	0.01	0.007	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.001	0.002	0.002	0.002	0.002	0.004	0.01	0.01	0.012	0.011	0.017	0.019	0.021	0.032	0.033	0.038	0.044	0.052	0.054	0.06	0.054	0.064	0.055	0.058	0.062	0.056	0.048	0.047	0.036	0.027	0.022	0.018	0.012	0.006	0.003	0.001	0.001	0	0.0	0.0	0	0	0.0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.003	0.009	0.01	0.02	0.042	0.044	0.07	0.071	0.053	0.055	0.048	0.05	0.048	0.036	0.033	0.038	0.035	0.037	0.046	0.045	0.038	0.026	0.024	0.019	0.018	0.014	0.009	0.008	0.008	0.012	0.01	0.008	0.006	0.003	0.002	0	0	0.0	0	0	0	0	0	0	0	0	0	0
Satellite	0.002	0.001	0.004	0.003	0.003	0.004	0.008	0.01	0.008	0.012	0.017	0.011	0.021	0.023	0.024	0.037	0.042	0.067	0.06	0.05	0.058	0.062	0.052	0.074	0.066	0.058	0.056	0.05	0.047	0.026	0.023	0.016	0.004	0.001	0.004	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.002	0.015	0.018	0.015	0.016	0.013	0.008	0.017	0.007	0.012	0.017	0.026	0.032	0.039	0.062	0.056	0.082	0.088	0.073	0.061	0.05	0.037	0.044	0.04	0.028	0.045	0.029	0.019	0.016	0.01	0.013	0.004	0.003	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0.004	0	0.037	0.033	0.041	0	0.004	0.033	0.012	0.02	0.012	0.029	0.065	0.073	0.098	0.065	0.078	0.045	0.053	0.041	0.049	0.053	0.049	0.02	0.041	0.029	0.012	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.07	0.025	0.025	0.056	0.064	0.056	0.045	0.047	0.042	0.031	0.017	0.025	0.022	0.036	0.025	0.031	0.047	0.042	0.025	0.042	0.036	0.02	0.031	0.025	0.028	0.017	0.025	0.003	0.017	0.008	0.006	0.008	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0	0	0	0	0	0	0.009	0.018	0.018	0.018	0.053	0.053	0.044	0.149	0.07	0.132	0.044	0.096	0.079	0.035	0.079	0.053	0.009	0.009	0.018	0	0.009	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
