Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46
Simple_repeat	0.226	0.006	0.024	0.03	0.042	0.03	0.019	0.028	0.03	0.03	0.024	0.024	0.029	0.034	0.03	0.029	0.03	0.031	0.032	0.032	0.033	0.033	0.03	0.026	0.026	0.02	0.016	0.014	0.011	0.008	0.006	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LINE	0.003	0.005	0.008	0.009	0.009	0.011	0.011	0.011	0.011	0.013	0.015	0.016	0.02	0.022	0.027	0.03	0.034	0.041	0.05	0.055	0.066	0.072	0.072	0.072	0.065	0.058	0.047	0.037	0.032	0.022	0.019	0.013	0.008	0.007	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0
ClassII:TIR	0.001	0.002	0.006	0.012	0.018	0.022	0.021	0.019	0.021	0.021	0.026	0.029	0.032	0.037	0.042	0.044	0.047	0.052	0.054	0.054	0.057	0.055	0.054	0.052	0.044	0.041	0.034	0.027	0.021	0.016	0.013	0.009	0.007	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0
Unknown	0.002	0.003	0.008	0.012	0.016	0.019	0.022	0.024	0.027	0.032	0.034	0.036	0.037	0.04	0.043	0.047	0.053	0.056	0.06	0.059	0.061	0.054	0.05	0.043	0.035	0.032	0.025	0.02	0.015	0.011	0.008	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0
ClassI:LTR	0.001	0.001	0.002	0.003	0.005	0.009	0.011	0.014	0.015	0.018	0.022	0.025	0.028	0.03	0.034	0.037	0.04	0.042	0.045	0.047	0.054	0.056	0.057	0.057	0.054	0.054	0.048	0.043	0.036	0.03	0.025	0.019	0.013	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.001	0.002	0.005	0.01	0.009	0.013	0.019	0.025	0.033	0.031	0.043	0.054	0.061	0.059	0.072	0.065	0.063	0.066	0.059	0.052	0.053	0.042	0.034	0.032	0.023	0.017	0.013	0.01	0.006	0.005	0.004	0.003	0.003	0.003	0.002	0.001	0.001	0.001	0.001	0.0	0.0	0.0
ClassII:Rolling_Circle	0	0.001	0.016	0.011	0.029	0.037	0.021	0.01	0.019	0.009	0.022	0.017	0.015	0.013	0.009	0.017	0.019	0.032	0.033	0.061	0.051	0.06	0.062	0.078	0.068	0.065	0.054	0.045	0.043	0.033	0.03	0.015	0.005	0.002	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.049	0.006	0.047	0.029	0.041	0.054	0.047	0.032	0.055	0.043	0.055	0.048	0.042	0.038	0.02	0.033	0.025	0.018	0.025	0.027	0.049	0.037	0.042	0.029	0.019	0.029	0.013	0.011	0.011	0.01	0.008	0.001	0.004	0.004	0.001	0.001	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0.004	0.006	0.019	0.041	0.08	0.089	0.089	0.128	0.096	0.087	0.069	0.057	0.035	0.031	0.031	0.02	0.02	0.022	0.009	0.015	0.015	0.011	0.002	0.007	0.006	0.004	0.002	0.002	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0.014	0.006	0.01	0.01	0.009	0.025	0.016	0.042	0.089	0.105	0.08	0.06	0.038	0.052	0.048	0.039	0.043	0.042	0.042	0.052	0.058	0.035	0.039	0.026	0.009	0.009	0	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.002	0.002	0.021	0.016	0.027	0.023	0.037	0.032	0.041	0.082	0.094	0.073	0.071	0.078	0.064	0.069	0.087	0.066	0.064	0.043	0.005	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0	0	0	0	0.001	0	0.003	0.002	0.001	0.002	0.005	0.012	0.017	0.013	0.027	0.037	0.042	0.052	0.071	0.078	0.086	0.089	0.075	0.088	0.082	0.057	0.048	0.032	0.027	0.026	0.016	0.009	0.001	0.002	0	0	0	0	0	0	0	0	0	0	0
