Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	47-48	48-49	49-50	50-51	51-52
Low_complexity	0.0	0.0	0.001	0.002	0.001	0.002	0.005	0.009	0.011	0.014	0.02	0.027	0.036	0.034	0.044	0.065	0.075	0.063	0.07	0.068	0.062	0.063	0.056	0.048	0.047	0.037	0.03	0.028	0.023	0.016	0.013	0.009	0.007	0.005	0.003	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0
Simple_repeat	0.239	0.003	0.015	0.026	0.042	0.034	0.016	0.025	0.033	0.036	0.028	0.026	0.035	0.044	0.033	0.029	0.033	0.029	0.032	0.03	0.029	0.029	0.026	0.022	0.022	0.018	0.014	0.012	0.01	0.008	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.001	0.0	0.001	0.001	0.002	0.004	0.006	0.009	0.014	0.02	0.023	0.023	0.027	0.031	0.037	0.039	0.047	0.053	0.058	0.058	0.06	0.058	0.055	0.055	0.053	0.051	0.045	0.038	0.033	0.027	0.021	0.016	0.012	0.009	0.006	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
Unknown	0.001	0.001	0.002	0.003	0.006	0.011	0.014	0.015	0.02	0.028	0.037	0.041	0.041	0.044	0.044	0.046	0.047	0.048	0.051	0.05	0.051	0.049	0.049	0.048	0.045	0.042	0.036	0.03	0.025	0.02	0.016	0.012	0.009	0.007	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.001	0.0	0.002	0.003	0.004	0.008	0.012	0.015	0.019	0.027	0.041	0.056	0.06	0.058	0.054	0.049	0.046	0.046	0.047	0.046	0.046	0.044	0.043	0.041	0.036	0.033	0.029	0.026	0.023	0.019	0.016	0.013	0.01	0.009	0.007	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Satellite	0.001	0.0	0.001	0.001	0.001	0.001	0.002	0.002	0.003	0.004	0.011	0.02	0.032	0.042	0.05	0.057	0.06	0.062	0.065	0.06	0.068	0.063	0.059	0.045	0.039	0.036	0.033	0.034	0.034	0.025	0.024	0.018	0.016	0.012	0.008	0.005	0.003	0.001	0.001	0.0	0	0.0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0	0	0.0	0	0	0.001	0.001	0.004	0.003	0.003	0.006	0.006	0.011	0.019	0.026	0.041	0.044	0.05	0.067	0.072	0.075	0.089	0.083	0.091	0.081	0.064	0.053	0.04	0.032	0.02	0.011	0.004	0.002	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.0	0.0	0.001	0.0	0.001	0.002	0.001	0.004	0.004	0.008	0.009	0.013	0.009	0.012	0.013	0.015	0.016	0.021	0.02	0.023	0.027	0.033	0.036	0.043	0.053	0.061	0.073	0.08	0.084	0.083	0.074	0.058	0.042	0.029	0.022	0.014	0.008	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0	0	0	0	0	0	0	0	0.001	0.001	0.003	0.001	0.006	0.006	0.011	0.022	0.029	0.044	0.07	0.096	0.097	0.101	0.104	0.078	0.079	0.062	0.036	0.033	0.026	0.028	0.02	0.013	0.011	0.009	0.007	0.003	0.001	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0	0	0	0	0	0.001	0.002	0.006	0.009	0.013	0.016	0.02	0.016	0.017	0.021	0.035	0.03	0.044	0.038	0.061	0.09	0.103	0.111	0.115	0.097	0.08	0.041	0.015	0.011	0.005	0.002	0	0.003	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0	0	0	0	0	0	0	0	0.001	0.001	0.003	0.001	0.004	0.008	0.008	0.012	0.015	0.018	0.031	0.039	0.042	0.065	0.075	0.083	0.083	0.079	0.077	0.086	0.07	0.074	0.054	0.04	0.019	0.009	0.003	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
