Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	41-42	42-43
Low_complexity	0	0	0.001	0.002	0	0.004	0.004	0.005	0.006	0.01	0.02	0.023	0.036	0.033	0.043	0.058	0.08	0.063	0.067	0.057	0.059	0.073	0.053	0.05	0.049	0.033	0.032	0.03	0.025	0.022	0.017	0.017	0.011	0.006	0.006	0.001	0.003	0	0.002	0.001	0.001	0
Simple_repeat	0.375	0.004	0.021	0.035	0.048	0.037	0.019	0.025	0.03	0.03	0.021	0.02	0.028	0.031	0.027	0.021	0.024	0.019	0.018	0.019	0.018	0.019	0.016	0.015	0.015	0.012	0.009	0.009	0.008	0.006	0.005	0.004	0.003	0.003	0.001	0.001	0.002	0.0	0.0	0.0	0	0.0
ClassII:TIR	0.054	0.022	0.013	0.01	0.005	0.017	0.02	0.017	0.022	0.033	0.029	0.036	0.041	0.044	0.055	0.06	0.056	0.075	0.075	0.038	0.066	0.05	0.046	0.025	0.03	0.019	0.018	0.011	0.007	0.004	0.001	0.001	0.001	0	0	0.001	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0.031	0.023	0.008	0	0.031	0.039	0.023	0.031	0.039	0.07	0.093	0.101	0.109	0.078	0.07	0.062	0.008	0.039	0.023	0.047	0.047	0.016	0.008	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0.03	0.058	0.049	0.041	0.047	0.052	0.047	0.077	0.044	0.038	0.03	0.041	0.052	0.052	0.036	0.033	0.014	0.027	0.027	0.027	0.016	0.027	0.027	0.025	0.025	0.014	0.008	0.011	0.014	0.005	0.003	0	0	0	0.003	0	0	0	0	0	0	0
ClassI:SINE	0.053	0	0.04	0	0	0	0	0	0.013	0.013	0.027	0.013	0.053	0.04	0.067	0.053	0.12	0.053	0.04	0.053	0.067	0.08	0.08	0.08	0.013	0.013	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.109	0	0.01	0.02	0	0.04	0	0.01	0	0	0.04	0.02	0.03	0.02	0.03	0.02	0.04	0.05	0.089	0.059	0.059	0.04	0.069	0.02	0.089	0.03	0.01	0.02	0.02	0.02	0.02	0	0	0	0.02	0	0	0	0	0	0	0
ClassI:LINE	0.057	0	0.033	0.066	0.008	0	0.008	0.025	0.057	0.016	0.008	0.049	0	0.033	0.041	0.074	0.033	0.057	0.049	0.033	0.066	0.066	0.049	0.008	0.008	0.025	0.041	0.041	0.033	0.008	0	0	0.008	0	0	0	0	0	0	0	0	0
Satellite	0.278	0	0	0	0	0	0.056	0.056	0.056	0	0.056	0.056	0	0.056	0	0	0.111	0	0.056	0	0.111	0	0.056	0.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.258	0	0.065	0.032	0	0	0	0	0	0.032	0.032	0	0	0	0	0.129	0.032	0.097	0	0	0.097	0.097	0.032	0.065	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.224	0	0	0	0	0	0	0.02	0	0.061	0	0.082	0.02	0	0.02	0.041	0.082	0.102	0	0.041	0.082	0.061	0.041	0.041	0.041	0	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154	0	0.038	0	0.115	0	0.192	0.038	0	0.038	0	0.077	0.038	0.077	0.077	0.038	0.038	0.038	0.038	0	0	0	0	0	0	0	0	0
