Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	47-48
ClassI:LTR	0.006	0.002	0.007	0.008	0.012	0.019	0.026	0.036	0.044	0.049	0.051	0.049	0.046	0.045	0.043	0.043	0.042	0.041	0.041	0.041	0.043	0.043	0.043	0.04	0.037	0.032	0.027	0.023	0.018	0.014	0.01	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0
ClassII:TIR	0.002	0.002	0.005	0.007	0.01	0.015	0.019	0.023	0.028	0.03	0.035	0.038	0.042	0.047	0.049	0.053	0.055	0.055	0.056	0.054	0.056	0.053	0.049	0.045	0.038	0.035	0.028	0.022	0.017	0.012	0.008	0.006	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassI:LINE	0.001	0.0	0.002	0.003	0.005	0.008	0.01	0.014	0.017	0.019	0.025	0.026	0.029	0.031	0.033	0.037	0.037	0.04	0.037	0.039	0.045	0.049	0.051	0.053	0.051	0.053	0.05	0.051	0.046	0.042	0.033	0.024	0.016	0.011	0.005	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.001	0.005	0.005	0.011	0.018	0.02	0.025	0.033	0.038	0.046	0.048	0.048	0.046	0.048	0.051	0.053	0.062	0.067	0.065	0.07	0.057	0.046	0.038	0.028	0.022	0.014	0.009	0.007	0.004	0.003	0.004	0.002	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0
Simple_repeat	0.161	0.003	0.013	0.026	0.04	0.026	0.016	0.027	0.033	0.032	0.027	0.028	0.032	0.038	0.034	0.034	0.036	0.033	0.037	0.034	0.035	0.035	0.032	0.029	0.03	0.026	0.021	0.019	0.016	0.013	0.01	0.007	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
Unknown	0.005	0.002	0.007	0.008	0.012	0.019	0.023	0.031	0.035	0.039	0.043	0.043	0.046	0.049	0.049	0.051	0.052	0.053	0.053	0.052	0.052	0.048	0.044	0.04	0.033	0.03	0.023	0.018	0.014	0.01	0.007	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.001	0.002	0.007	0.012	0.015	0.02	0.024	0.03	0.041	0.039	0.047	0.059	0.062	0.059	0.066	0.062	0.063	0.058	0.054	0.046	0.047	0.039	0.031	0.028	0.024	0.018	0.014	0.01	0.007	0.005	0.003	0.002	0.001	0.0	0.001	0.0	0.0	0.0	0	0	0.0
Satellite	0.001	0	0.001	0.003	0.001	0.009	0.01	0.019	0.036	0.027	0.023	0.033	0.06	0.075	0.066	0.049	0.079	0.056	0.063	0.052	0.056	0.057	0.062	0.042	0.042	0.034	0.019	0.014	0.004	0.001	0.001	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0.001	0.001	0.001	0.004	0.003	0.002	0.006	0.012	0.017	0.027	0.039	0.043	0.051	0.054	0.043	0.044	0.036	0.035	0.032	0.039	0.039	0.05	0.052	0.055	0.054	0.054	0.049	0.046	0.036	0.029	0.02	0.012	0.007	0.004	0.003	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:SINE	0.007	0.004	0.007	0.012	0.02	0.024	0.035	0.033	0.039	0.034	0.029	0.039	0.031	0.035	0.031	0.041	0.045	0.049	0.05	0.06	0.076	0.069	0.055	0.047	0.041	0.031	0.023	0.014	0.009	0.004	0.003	0.001	0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.001	0.004	0.013	0.025	0.027	0.032	0.021	0.027	0.046	0.047	0.05	0.045	0.039	0.046	0.051	0.072	0.046	0.055	0.043	0.048	0.038	0.038	0.042	0.032	0.028	0.015	0.025	0.013	0.011	0.01	0.004	0.002	0.001	0.003	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.039	0.016	0.018	0.032	0.032	0.058	0.055	0.041	0.044	0.037	0.028	0.046	0.016	0.041	0.035	0.021	0.035	0.046	0.044	0.035	0.032	0.025	0.039	0.035	0.028	0.018	0.018	0.005	0.009	0.028	0.005	0.023	0.007	0.007	0	0.002	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.009	0.004	0.004	0.044	0.044	0.04	0.106	0.111	0.075	0.124	0.084	0.053	0.035	0.058	0.031	0.027	0.027	0.031	0.009	0.013	0.013	0.013	0.004	0.018	0.004	0.009	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
