Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	48-49
Unknown	0.003	0.004	0.009	0.01	0.015	0.024	0.026	0.034	0.039	0.042	0.045	0.044	0.046	0.046	0.049	0.048	0.049	0.049	0.05	0.049	0.05	0.046	0.045	0.037	0.029	0.029	0.021	0.018	0.014	0.01	0.007	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0
ClassI:LTR	0.005	0.006	0.012	0.015	0.02	0.025	0.03	0.034	0.037	0.038	0.041	0.043	0.042	0.043	0.044	0.046	0.045	0.047	0.047	0.045	0.047	0.045	0.042	0.039	0.035	0.032	0.025	0.02	0.016	0.012	0.008	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0
ClassI:SINE	0.001	0.0	0.005	0.006	0.007	0.011	0.021	0.022	0.033	0.032	0.042	0.033	0.041	0.037	0.036	0.04	0.048	0.054	0.051	0.05	0.053	0.05	0.048	0.046	0.04	0.04	0.033	0.034	0.027	0.023	0.017	0.008	0.006	0.004	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:TIR	0.001	0.001	0.003	0.004	0.007	0.01	0.013	0.016	0.023	0.027	0.034	0.04	0.044	0.048	0.053	0.058	0.061	0.062	0.064	0.063	0.063	0.058	0.053	0.046	0.039	0.033	0.024	0.017	0.012	0.009	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0.0	0	0	0
ClassII:Rolling_Circle	0.001	0.0	0.002	0.005	0.004	0.008	0.011	0.014	0.019	0.027	0.034	0.044	0.052	0.058	0.057	0.067	0.069	0.074	0.072	0.063	0.066	0.059	0.049	0.039	0.028	0.025	0.016	0.011	0.008	0.007	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0
Low_complexity	0	0	0	0.002	0.001	0.002	0.008	0.011	0.013	0.014	0.025	0.03	0.041	0.034	0.052	0.061	0.07	0.059	0.066	0.058	0.061	0.06	0.054	0.045	0.047	0.037	0.032	0.032	0.023	0.018	0.012	0.012	0.007	0.005	0.003	0.002	0.002	0.001	0.001	0.0	0	0.0	0	0
Simple_repeat	0.111	0.001	0.005	0.018	0.045	0.028	0.013	0.027	0.036	0.036	0.03	0.028	0.038	0.044	0.037	0.037	0.038	0.036	0.041	0.036	0.038	0.037	0.032	0.029	0.033	0.026	0.023	0.022	0.018	0.016	0.012	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LINE	0.002	0.001	0.004	0.005	0.006	0.009	0.011	0.014	0.017	0.022	0.027	0.027	0.029	0.033	0.039	0.043	0.045	0.049	0.049	0.044	0.049	0.05	0.048	0.049	0.05	0.056	0.053	0.052	0.043	0.032	0.019	0.013	0.006	0.004	0.001	0.0	0.0	0	0.0	0.0	0	0	0	0
Retroposon/L1	0.001	0.002	0.001	0.003	0.004	0.004	0.007	0.005	0.007	0.007	0.013	0.015	0.024	0.022	0.035	0.047	0.052	0.057	0.065	0.062	0.067	0.066	0.061	0.073	0.059	0.06	0.055	0.037	0.031	0.024	0.012	0.008	0.007	0.004	0.002	0.001	0.001	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0	0	0.019	0.019	0.019	0.111	0.111	0.074	0.278	0.278	0.037	0.019	0.019	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0	0	0	0	0	0	0.029	0.059	0.118	0.147	0.118	0.029	0.059	0.029	0.029	0.059	0.029	0.059	0	0.059	0.088	0.059	0	0	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
