Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48
Simple_repeat	0.155	0.001	0.007	0.026	0.05	0.033	0.014	0.028	0.038	0.038	0.029	0.029	0.038	0.041	0.036	0.033	0.035	0.033	0.037	0.032	0.032	0.032	0.029	0.027	0.027	0.023	0.019	0.018	0.015	0.012	0.01	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0
ClassII:Rolling_Circle	0.002	0.003	0.008	0.014	0.015	0.023	0.024	0.031	0.039	0.045	0.051	0.054	0.054	0.057	0.055	0.055	0.057	0.056	0.054	0.051	0.051	0.046	0.038	0.032	0.024	0.02	0.014	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.002	0.005	0.008	0.012	0.018	0.024	0.029	0.034	0.038	0.04	0.042	0.044	0.046	0.048	0.052	0.054	0.057	0.058	0.056	0.056	0.052	0.047	0.042	0.035	0.029	0.022	0.017	0.011	0.008	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.006	0.007	0.015	0.022	0.026	0.035	0.046	0.049	0.05	0.047	0.048	0.045	0.044	0.043	0.042	0.043	0.041	0.041	0.04	0.038	0.038	0.035	0.035	0.032	0.027	0.025	0.02	0.017	0.013	0.01	0.007	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0.001	0.001	0.002	0.003	0.006	0.015	0.017	0.022	0.021	0.023	0.027	0.028	0.033	0.037	0.035	0.032	0.042	0.053	0.053	0.05	0.058	0.055	0.052	0.054	0.055	0.051	0.042	0.034	0.033	0.024	0.016	0.01	0.005	0.003	0.004	0.002	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.001	0.003	0.001	0.002	0.006	0.011	0.012	0.014	0.024	0.037	0.041	0.041	0.05	0.062	0.071	0.06	0.061	0.062	0.062	0.058	0.054	0.048	0.045	0.038	0.028	0.029	0.019	0.016	0.013	0.009	0.008	0.006	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0
ClassI:LINE	0.002	0.001	0.004	0.005	0.007	0.013	0.013	0.02	0.022	0.024	0.035	0.035	0.041	0.041	0.047	0.046	0.046	0.053	0.05	0.05	0.051	0.047	0.05	0.045	0.047	0.048	0.038	0.035	0.027	0.021	0.013	0.009	0.006	0.004	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0
Unknown	0.006	0.007	0.014	0.014	0.016	0.022	0.034	0.042	0.034	0.035	0.037	0.031	0.031	0.035	0.034	0.038	0.04	0.038	0.044	0.042	0.045	0.048	0.044	0.044	0.04	0.038	0.034	0.029	0.02	0.018	0.015	0.01	0.008	0.005	0.003	0.003	0.001	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.001	0.004	0.006	0.008	0.015	0.019	0.025	0.024	0.035	0.036	0.033	0.037	0.041	0.046	0.05	0.052	0.049	0.052	0.053	0.054	0.05	0.048	0.045	0.041	0.042	0.031	0.029	0.023	0.016	0.013	0.008	0.006	0.004	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0.002	0.003	0.002	0.003	0.005	0.012	0.035	0.035	0.021	0.017	0.011	0.011	0.024	0.041	0.066	0.07	0.093	0.114	0.09	0.099	0.066	0.066	0.044	0.026	0.026	0.011	0.005	0.002	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0	0	0	0.034	0.017	0	0.017	0.052	0.103	0.103	0.069	0.052	0.069	0.052	0.086	0.034	0.069	0	0.052	0.069	0.052	0	0.017	0.017	0	0	0.017	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
