Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	46-47	48-49
ClassI:LTR	0.008	0.009	0.017	0.027	0.031	0.038	0.039	0.042	0.041	0.039	0.042	0.04	0.04	0.039	0.039	0.041	0.038	0.035	0.034	0.037	0.037	0.036	0.037	0.034	0.034	0.031	0.027	0.023	0.02	0.015	0.011	0.008	0.005	0.004	0.002	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0
ClassII:TIR	0.001	0.0	0.001	0.002	0.003	0.007	0.012	0.02	0.026	0.032	0.037	0.043	0.047	0.052	0.057	0.059	0.062	0.064	0.064	0.061	0.062	0.056	0.051	0.045	0.036	0.03	0.022	0.016	0.011	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Unknown	0.003	0.002	0.004	0.007	0.012	0.015	0.019	0.027	0.028	0.03	0.038	0.044	0.046	0.053	0.055	0.059	0.059	0.059	0.059	0.056	0.057	0.049	0.045	0.037	0.032	0.028	0.023	0.016	0.012	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.0	0.0	0.001	0.001	0.001	0.003	0.005	0.008	0.012	0.017	0.023	0.03	0.039	0.051	0.067	0.079	0.089	0.096	0.092	0.084	0.076	0.062	0.047	0.037	0.026	0.019	0.014	0.008	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:LINE	0.002	0.001	0.005	0.004	0.009	0.016	0.015	0.017	0.022	0.026	0.031	0.031	0.037	0.039	0.044	0.042	0.038	0.042	0.047	0.043	0.047	0.044	0.052	0.055	0.049	0.051	0.043	0.04	0.033	0.027	0.017	0.016	0.009	0.003	0.003	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Simple_repeat	0.178	0.001	0.007	0.027	0.055	0.032	0.015	0.029	0.039	0.038	0.029	0.029	0.036	0.043	0.035	0.033	0.035	0.032	0.034	0.031	0.031	0.031	0.027	0.025	0.026	0.02	0.017	0.016	0.013	0.011	0.008	0.006	0.004	0.003	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
Low_complexity	0.0	0	0.001	0.002	0.0	0.002	0.006	0.013	0.012	0.016	0.025	0.03	0.037	0.041	0.048	0.067	0.069	0.062	0.067	0.064	0.06	0.06	0.051	0.044	0.046	0.035	0.029	0.03	0.023	0.015	0.011	0.01	0.007	0.005	0.003	0.003	0.001	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0	0.0
ClassI:SINE	0.001	0.0	0.004	0.006	0.008	0.008	0.014	0.021	0.025	0.034	0.051	0.052	0.055	0.057	0.052	0.064	0.065	0.055	0.052	0.054	0.051	0.038	0.037	0.033	0.026	0.029	0.022	0.021	0.021	0.013	0.009	0.008	0.006	0.003	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0.001	0.004	0.006	0.006	0.019	0.022	0.02	0.033	0.05	0.031	0.029	0.037	0.036	0.046	0.036	0.034	0.046	0.045	0.034	0.043	0.046	0.039	0.037	0.031	0.028	0.036	0.033	0.034	0.037	0.022	0.035	0.014	0.014	0.006	0.004	0	0.004	0.001	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0	0.004	0.004	0	0.004	0.013	0.027	0.027	0.022	0.097	0.049	0.08	0.119	0.088	0.093	0.08	0.084	0.066	0.049	0.044	0.009	0.022	0.013	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
