Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	46-47	47-48	48-49
ClassI:LTR	0.005	0.009	0.017	0.022	0.03	0.039	0.045	0.046	0.049	0.051	0.048	0.048	0.046	0.045	0.042	0.042	0.041	0.04	0.037	0.038	0.038	0.035	0.032	0.03	0.027	0.024	0.019	0.016	0.013	0.01	0.007	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:TIR	0.001	0.002	0.005	0.009	0.014	0.02	0.025	0.028	0.034	0.037	0.039	0.042	0.044	0.047	0.048	0.05	0.053	0.057	0.057	0.056	0.056	0.051	0.047	0.041	0.034	0.029	0.022	0.017	0.012	0.009	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LINE	0.002	0.001	0.002	0.005	0.006	0.012	0.013	0.019	0.023	0.027	0.035	0.037	0.042	0.044	0.044	0.051	0.05	0.051	0.046	0.043	0.049	0.044	0.046	0.044	0.044	0.044	0.041	0.036	0.03	0.025	0.018	0.012	0.007	0.004	0.002	0.001	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.001	0.005	0.006	0.011	0.021	0.025	0.029	0.036	0.037	0.042	0.045	0.049	0.052	0.055	0.059	0.061	0.064	0.065	0.057	0.056	0.05	0.043	0.035	0.028	0.022	0.015	0.011	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.173	0.003	0.009	0.024	0.047	0.031	0.015	0.026	0.034	0.034	0.027	0.027	0.034	0.039	0.035	0.032	0.033	0.032	0.035	0.031	0.032	0.033	0.029	0.027	0.029	0.024	0.02	0.019	0.016	0.013	0.01	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
Low_complexity	0.0	0	0.001	0.002	0.001	0.002	0.006	0.01	0.01	0.015	0.024	0.035	0.04	0.037	0.046	0.067	0.065	0.06	0.061	0.06	0.066	0.063	0.051	0.045	0.047	0.038	0.029	0.029	0.022	0.016	0.016	0.011	0.008	0.005	0.003	0.002	0.002	0.001	0.0	0.001	0.0	0	0.0	0.0	0.0	0	0	0.0
ClassI:SINE	0.003	0.002	0.006	0.007	0.012	0.019	0.021	0.031	0.033	0.042	0.044	0.045	0.045	0.05	0.051	0.05	0.042	0.043	0.048	0.045	0.05	0.049	0.044	0.04	0.032	0.036	0.027	0.027	0.019	0.014	0.009	0.006	0.004	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0.001	0.0	0.002	0.002	0.002	0.004	0.005	0.011	0.016	0.022	0.022	0.029	0.031	0.029	0.04	0.041	0.05	0.052	0.051	0.058	0.065	0.054	0.063	0.067	0.055	0.057	0.046	0.034	0.026	0.021	0.016	0.011	0.007	0.006	0.003	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0
Unknown	0.003	0.004	0.01	0.008	0.014	0.027	0.028	0.031	0.031	0.027	0.032	0.037	0.043	0.041	0.042	0.042	0.046	0.045	0.043	0.044	0.04	0.042	0.044	0.048	0.038	0.039	0.033	0.028	0.026	0.016	0.016	0.01	0.009	0.007	0.003	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0	0.14	0.093	0.023	0.047	0.023	0.023	0.023	0.023	0.07	0	0	0.047	0	0.023	0.047	0.023	0.023	0.023	0.023	0.047	0	0.047	0.023	0.093	0	0	0.093	0	0	0	0.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0.03	0.02	0.01	0.069	0.089	0.129	0.119	0.069	0.099	0.089	0.04	0.02	0	0.04	0.05	0.02	0.04	0.01	0.01	0.01	0.03	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0.006	0	0	0	0	0.006	0.013	0.006	0.013	0.032	0.006	0.019	0.057	0.038	0.032	0.051	0.083	0.07	0.07	0.07	0.089	0.057	0.051	0.038	0.032	0.045	0.025	0.006	0.006	0.019	0.032	0	0.013	0.006	0.006	0	0	0	0	0	0	0	0	0	0
