Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49
Unknown	0.024	0.018	0.03	0.032	0.035	0.04	0.04	0.04	0.042	0.042	0.042	0.041	0.042	0.042	0.043	0.042	0.042	0.042	0.039	0.039	0.037	0.034	0.031	0.028	0.025	0.022	0.018	0.014	0.011	0.008	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
Simple_repeat	0.182	0.009	0.03	0.037	0.046	0.041	0.031	0.034	0.037	0.037	0.031	0.03	0.035	0.036	0.034	0.032	0.031	0.03	0.031	0.025	0.028	0.025	0.022	0.019	0.02	0.016	0.013	0.013	0.009	0.008	0.007	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LTR	0.011	0.01	0.017	0.021	0.025	0.027	0.025	0.03	0.03	0.029	0.031	0.04	0.034	0.04	0.043	0.044	0.042	0.046	0.044	0.044	0.041	0.041	0.037	0.036	0.036	0.034	0.032	0.029	0.023	0.02	0.013	0.011	0.007	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.007	0.004	0.007	0.014	0.016	0.021	0.022	0.031	0.037	0.036	0.04	0.038	0.036	0.038	0.04	0.048	0.043	0.052	0.051	0.053	0.052	0.05	0.046	0.041	0.037	0.032	0.028	0.022	0.021	0.011	0.01	0.006	0.005	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.001	0.003	0.001	0.003	0.007	0.011	0.009	0.014	0.023	0.028	0.037	0.033	0.038	0.062	0.074	0.064	0.067	0.066	0.06	0.058	0.048	0.049	0.053	0.032	0.026	0.027	0.021	0.017	0.014	0.014	0.012	0.007	0.006	0.004	0.003	0.003	0.002	0.001	0	0.0	0.001	0	0.0	0	0	0	0
ClassII:Rolling_Circle	0.01	0.015	0.038	0.043	0.033	0.038	0.013	0.045	0.03	0.063	0.04	0.025	0.04	0.04	0.038	0.035	0.058	0.068	0.038	0.03	0.033	0.023	0.043	0.025	0.018	0.038	0.015	0.01	0.018	0.008	0.005	0.008	0.008	0.003	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.007	0.004	0.012	0.018	0.026	0.036	0.037	0.037	0.045	0.037	0.04	0.04	0.038	0.051	0.046	0.047	0.044	0.043	0.04	0.039	0.036	0.036	0.033	0.03	0.025	0.024	0.022	0.019	0.021	0.021	0.018	0.01	0.008	0.005	0.003	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.006	0.016	0.02	0.035	0.037	0.045	0.041	0.045	0.041	0.045	0.045	0.028	0.047	0.029	0.031	0.031	0.031	0.031	0.053	0.045	0.055	0.047	0.047	0.033	0.026	0.018	0.014	0.008	0.016	0.01	0.006	0.006	0.002	0.002	0.002	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.002	0.003	0.005	0.004	0.01	0.011	0.013	0.014	0.014	0.019	0.023	0.024	0.028	0.032	0.034	0.037	0.035	0.036	0.04	0.041	0.045	0.046	0.043	0.057	0.057	0.058	0.06	0.053	0.044	0.04	0.03	0.018	0.013	0.007	0.004	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.023	0.019	0.026	0.027	0.051	0.059	0.057	0.065	0.069	0.039	0.04	0.034	0.023	0.022	0.024	0.016	0.038	0.031	0.034	0.04	0.055	0.051	0.036	0.019	0.027	0.03	0.027	0.009	0.007	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.003	0	0.005	0.014	0.021	0.031	0.033	0.05	0.048	0.067	0.05	0.059	0.031	0.043	0.029	0.052	0.028	0.033	0.033	0.034	0.05	0.047	0.048	0.04	0.04	0.04	0.019	0.014	0.019	0.009	0.005	0.003	0	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.005	0.005	0.041	0.02	0.02	0.036	0.02	0.041	0.01	0.015	0.041	0.005	0.01	0.046	0.036	0.051	0.056	0.041	0.041	0.051	0.051	0.061	0.056	0.031	0.056	0.031	0.051	0.01	0.031	0.005	0.02	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0.007	0	0.007	0.037	0.037	0.037	0.037	0.044	0.074	0.037	0.059	0.051	0.037	0.051	0.051	0.037	0.044	0.059	0.029	0.029	0.015	0.015	0.029	0.022	0.007	0.037	0.022	0.029	0.022	0.015	0.022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
