Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	57-58
Simple_repeat	0.174	0.001	0.013	0.024	0.045	0.029	0.016	0.026	0.032	0.033	0.028	0.028	0.035	0.04	0.037	0.035	0.036	0.035	0.036	0.033	0.034	0.034	0.029	0.027	0.028	0.023	0.019	0.017	0.014	0.01	0.008	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Retroposon/L1	0.001	0.0	0.005	0.004	0.006	0.008	0.011	0.018	0.02	0.023	0.029	0.03	0.032	0.032	0.036	0.039	0.041	0.047	0.052	0.056	0.061	0.063	0.06	0.059	0.052	0.051	0.043	0.035	0.026	0.02	0.015	0.01	0.006	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.01	0.004	0.006	0.007	0.008	0.011	0.013	0.013	0.016	0.016	0.015	0.017	0.019	0.022	0.025	0.029	0.035	0.04	0.046	0.052	0.059	0.062	0.059	0.057	0.052	0.051	0.049	0.047	0.044	0.039	0.031	0.022	0.013	0.007	0.003	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Unknown	0.007	0.003	0.01	0.012	0.017	0.024	0.03	0.033	0.038	0.038	0.042	0.043	0.046	0.047	0.047	0.048	0.049	0.049	0.048	0.047	0.048	0.044	0.041	0.037	0.032	0.028	0.023	0.018	0.014	0.011	0.008	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:TIR	0.004	0.003	0.009	0.011	0.017	0.025	0.033	0.038	0.044	0.045	0.047	0.049	0.05	0.051	0.051	0.051	0.05	0.048	0.047	0.045	0.045	0.041	0.037	0.033	0.028	0.025	0.02	0.016	0.012	0.009	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0
ClassI:LTR	0.004	0.003	0.007	0.009	0.013	0.02	0.026	0.033	0.042	0.049	0.055	0.058	0.059	0.059	0.058	0.057	0.055	0.052	0.049	0.045	0.042	0.037	0.033	0.029	0.024	0.02	0.016	0.013	0.01	0.007	0.006	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.003	0.001	0.003	0.007	0.004	0.011	0.022	0.017	0.029	0.037	0.037	0.038	0.048	0.053	0.054	0.056	0.051	0.051	0.05	0.05	0.057	0.059	0.065	0.064	0.052	0.035	0.022	0.012	0.006	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.001	0.002	0.007	0.01	0.012	0.014	0.024	0.029	0.04	0.039	0.045	0.06	0.06	0.055	0.067	0.063	0.061	0.061	0.056	0.049	0.052	0.039	0.033	0.028	0.023	0.017	0.014	0.011	0.009	0.004	0.003	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0
ClassI:SINE	0.006	0.01	0.016	0.02	0.029	0.039	0.043	0.048	0.057	0.05	0.045	0.04	0.034	0.036	0.036	0.032	0.033	0.043	0.044	0.04	0.044	0.043	0.039	0.036	0.033	0.026	0.021	0.018	0.013	0.009	0.007	0.004	0.002	0.002	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.002	0.001	0.006	0.01	0.017	0.029	0.038	0.051	0.06	0.055	0.05	0.033	0.027	0.031	0.026	0.025	0.032	0.032	0.042	0.047	0.057	0.062	0.06	0.057	0.045	0.032	0.025	0.016	0.012	0.009	0.005	0.004	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0	0	0.004	0.004	0.004	0.004	0.014	0.007	0.032	0.039	0.018	0.025	0.046	0.053	0.063	0.07	0.053	0.105	0.091	0.105	0.07	0.084	0.063	0.032	0.007	0.004	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
