Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	50-51	55-56	62-63
Unknown	0.009	0.012	0.024	0.036	0.043	0.053	0.051	0.051	0.049	0.048	0.046	0.043	0.044	0.039	0.038	0.036	0.036	0.035	0.035	0.035	0.035	0.032	0.031	0.027	0.023	0.02	0.017	0.014	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.003	0.004	0.014	0.035	0.059	0.075	0.075	0.071	0.066	0.062	0.055	0.049	0.043	0.042	0.04	0.036	0.034	0.03	0.027	0.024	0.022	0.02	0.019	0.017	0.015	0.014	0.011	0.009	0.008	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.226	0.007	0.027	0.035	0.042	0.03	0.018	0.025	0.032	0.028	0.024	0.023	0.029	0.033	0.03	0.028	0.031	0.029	0.032	0.029	0.03	0.03	0.027	0.025	0.025	0.021	0.017	0.016	0.013	0.01	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0
ClassII:TIR	0.004	0.007	0.019	0.036	0.05	0.057	0.059	0.054	0.054	0.051	0.047	0.045	0.042	0.043	0.043	0.041	0.04	0.039	0.035	0.034	0.034	0.032	0.029	0.026	0.021	0.017	0.012	0.009	0.006	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.003	0.014	0.027	0.014	0.013	0.014	0.015	0.013	0.013	0.014	0.019	0.019	0.022	0.025	0.026	0.028	0.027	0.027	0.031	0.033	0.042	0.046	0.048	0.05	0.049	0.055	0.054	0.052	0.05	0.046	0.038	0.03	0.02	0.012	0.006	0.003	0.001	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0
Satellite	0.0	0.0	0.001	0.004	0.014	0.043	0.073	0.086	0.076	0.044	0.049	0.065	0.055	0.038	0.03	0.023	0.024	0.023	0.014	0.014	0.019	0.022	0.021	0.023	0.019	0.022	0.018	0.025	0.032	0.03	0.034	0.024	0.018	0.01	0.004	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.001	0.002	0.001	0.003	0.006	0.014	0.013	0.015	0.025	0.033	0.04	0.04	0.047	0.056	0.062	0.058	0.062	0.06	0.06	0.06	0.051	0.048	0.049	0.039	0.032	0.029	0.025	0.018	0.014	0.011	0.007	0.006	0.004	0.003	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0
ClassI:SINE	0.004	0.006	0.017	0.028	0.032	0.038	0.051	0.045	0.061	0.05	0.06	0.04	0.044	0.043	0.033	0.042	0.035	0.041	0.035	0.035	0.04	0.036	0.032	0.028	0.026	0.027	0.024	0.011	0.02	0.007	0.004	0.003	0.0	0.001	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.006	0.003	0.019	0.029	0.055	0.072	0.056	0.052	0.056	0.048	0.047	0.053	0.054	0.052	0.042	0.043	0.041	0.039	0.032	0.027	0.029	0.025	0.022	0.018	0.013	0.015	0.013	0.012	0.01	0.007	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0.0	0	0.003	0.001	0.003	0.005	0.003	0.007	0.007	0.008	0.014	0.021	0.022	0.036	0.035	0.039	0.04	0.043	0.048	0.053	0.063	0.066	0.07	0.066	0.061	0.061	0.053	0.045	0.037	0.03	0.024	0.016	0.01	0.006	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.002	0.002	0.008	0.018	0.048	0.039	0.141	0.145	0.104	0.076	0.038	0.021	0.018	0.013	0.015	0.031	0.019	0.079	0.041	0.026	0.027	0.021	0.019	0.023	0.009	0.007	0.004	0.002	0.002	0.0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.008	0.041	0.364	0.165	0.139	0.121	0.065	0.039	0.024	0.011	0.008	0.003	0.004	0.003	0.003	0.001	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
