Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	46-47
ClassI:LTR	0.005	0.005	0.009	0.02	0.03	0.041	0.051	0.056	0.058	0.058	0.056	0.052	0.047	0.044	0.042	0.04	0.039	0.037	0.036	0.034	0.033	0.03	0.027	0.025	0.021	0.02	0.018	0.015	0.013	0.011	0.009	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Unknown	0.019	0.009	0.021	0.025	0.029	0.046	0.046	0.05	0.052	0.046	0.048	0.047	0.045	0.044	0.041	0.04	0.039	0.037	0.035	0.033	0.033	0.031	0.03	0.029	0.026	0.023	0.02	0.017	0.014	0.01	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassII:TIR	0.001	0.001	0.004	0.007	0.012	0.02	0.023	0.024	0.025	0.026	0.029	0.032	0.034	0.036	0.038	0.041	0.045	0.047	0.05	0.052	0.055	0.057	0.055	0.055	0.048	0.045	0.038	0.03	0.023	0.016	0.012	0.008	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
Simple_repeat	0.238	0.004	0.013	0.024	0.045	0.035	0.018	0.027	0.031	0.031	0.024	0.024	0.029	0.035	0.031	0.028	0.031	0.029	0.032	0.028	0.031	0.031	0.026	0.024	0.026	0.021	0.017	0.016	0.013	0.01	0.008	0.006	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LINE	0.014	0.007	0.013	0.018	0.02	0.019	0.016	0.016	0.016	0.016	0.017	0.02	0.019	0.023	0.025	0.026	0.029	0.028	0.031	0.032	0.037	0.037	0.042	0.045	0.052	0.058	0.059	0.063	0.058	0.051	0.038	0.026	0.014	0.008	0.004	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.0	0.001	0.003	0.002	0.005	0.008	0.01	0.015	0.019	0.032	0.034	0.045	0.055	0.063	0.07	0.073	0.08	0.079	0.073	0.068	0.055	0.045	0.034	0.029	0.023	0.016	0.014	0.012	0.008	0.007	0.005	0.006	0.004	0.003	0.002	0.0	0.0	0	0	0	0	0	0	0	0
Retroposon/L1	0.001	0	0	0	0.001	0.003	0.004	0.003	0.007	0.007	0.011	0.016	0.017	0.041	0.039	0.043	0.042	0.052	0.065	0.057	0.053	0.053	0.051	0.056	0.063	0.049	0.055	0.056	0.047	0.031	0.027	0.017	0.014	0.01	0.006	0.002	0.001	0.001	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.003	0.001	0.002	0.007	0.012	0.01	0.013	0.023	0.029	0.039	0.036	0.049	0.062	0.072	0.057	0.068	0.06	0.067	0.06	0.052	0.051	0.048	0.037	0.032	0.03	0.024	0.017	0.012	0.01	0.008	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0
Pseudogene:RNA	0.007	0.013	0.015	0.048	0.067	0.054	0.067	0.057	0.054	0.04	0.046	0.048	0.025	0.028	0.016	0.022	0.028	0.034	0.043	0.019	0.055	0.037	0.036	0.021	0.022	0.019	0.019	0.012	0.01	0.013	0.006	0.006	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.03	0.012	0.005	0.008	0.008	0.006	0.005	0.006	0.008	0.009	0.011	0.019	0.019	0.032	0.038	0.043	0.061	0.07	0.07	0.071	0.077	0.07	0.07	0.054	0.045	0.039	0.031	0.027	0.022	0.012	0.009	0.004	0.003	0.002	0.001	0	0.0	0.0	0	0	0	0	0	0	0	0
Satellite	0.015	0.004	0.009	0.032	0.038	0.094	0.13	0.147	0.13	0.085	0.071	0.06	0.028	0.043	0.032	0.03	0.013	0.009	0.015	0	0.002	0.002	0.002	0.002	0.002	0.002	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0
