Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	46-47
ClassII:TIR	0.001	0.001	0.003	0.005	0.009	0.013	0.016	0.018	0.02	0.023	0.025	0.031	0.033	0.038	0.041	0.044	0.048	0.051	0.054	0.054	0.06	0.059	0.058	0.058	0.051	0.048	0.038	0.031	0.024	0.017	0.011	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassI:LTR	0.007	0.012	0.014	0.023	0.032	0.044	0.052	0.058	0.061	0.058	0.055	0.054	0.05	0.047	0.043	0.039	0.037	0.034	0.032	0.031	0.03	0.028	0.026	0.023	0.02	0.018	0.015	0.013	0.012	0.009	0.007	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
Simple_repeat	0.237	0.003	0.014	0.025	0.046	0.033	0.013	0.023	0.03	0.031	0.024	0.024	0.031	0.037	0.031	0.029	0.031	0.03	0.032	0.028	0.031	0.031	0.027	0.025	0.026	0.021	0.018	0.016	0.013	0.01	0.008	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unknown	0.004	0.006	0.011	0.017	0.023	0.028	0.03	0.031	0.033	0.037	0.041	0.044	0.049	0.048	0.047	0.046	0.045	0.045	0.044	0.042	0.044	0.039	0.039	0.037	0.033	0.03	0.026	0.022	0.018	0.014	0.01	0.007	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassI:SINE	0.001	0.002	0.005	0.008	0.01	0.012	0.015	0.015	0.028	0.028	0.031	0.043	0.044	0.054	0.061	0.058	0.064	0.07	0.052	0.051	0.061	0.054	0.049	0.045	0.034	0.029	0.02	0.018	0.014	0.009	0.004	0.006	0.001	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.001	0.002	0.005	0.012	0.012	0.013	0.024	0.028	0.041	0.034	0.045	0.064	0.075	0.057	0.071	0.063	0.062	0.063	0.052	0.046	0.047	0.041	0.031	0.027	0.022	0.017	0.011	0.011	0.006	0.006	0.003	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0.0
ClassI:LINE	0.001	0.001	0.004	0.004	0.006	0.008	0.008	0.013	0.016	0.019	0.023	0.025	0.027	0.029	0.033	0.034	0.039	0.04	0.044	0.045	0.049	0.049	0.052	0.054	0.061	0.062	0.056	0.051	0.043	0.036	0.027	0.018	0.01	0.006	0.003	0.001	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.0	0.003	0.004	0.009	0.017	0.019	0.02	0.03	0.03	0.046	0.055	0.06	0.066	0.074	0.073	0.065	0.064	0.052	0.045	0.046	0.038	0.031	0.029	0.027	0.021	0.017	0.015	0.01	0.009	0.009	0.005	0.004	0.003	0.002	0.0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0	0	0	0	0	0.006	0.002	0.012	0.045	0.047	0.047	0.043	0.035	0.047	0.059	0.053	0.098	0.134	0.122	0.091	0.061	0.033	0.026	0.024	0.004	0.002	0.006	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0.001	0	0.002	0.002	0.003	0.006	0.006	0.006	0.012	0.011	0.018	0.012	0.022	0.019	0.026	0.02	0.04	0.035	0.031	0.031	0.045	0.051	0.059	0.064	0.063	0.069	0.068	0.06	0.055	0.054	0.04	0.023	0.012	0.015	0.009	0.004	0.002	0.001	0	0	0	0	0	0	0
Satellite	0.005	0.005	0	0.014	0.036	0.018	0.041	0.041	0.086	0.018	0.032	0.014	0.036	0.077	0.077	0.081	0.054	0.086	0.05	0.077	0.086	0.027	0.005	0.018	0.005	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
