Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	44-45	46-47
Simple_repeat	0.236	0.004	0.013	0.034	0.059	0.04	0.015	0.029	0.036	0.039	0.026	0.025	0.033	0.042	0.031	0.027	0.029	0.026	0.027	0.024	0.027	0.026	0.022	0.021	0.021	0.017	0.014	0.014	0.01	0.008	0.006	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:SINE	0.004	0.006	0.014	0.008	0.011	0.013	0.023	0.033	0.041	0.039	0.045	0.054	0.053	0.048	0.07	0.058	0.057	0.063	0.052	0.053	0.042	0.041	0.04	0.028	0.021	0.022	0.015	0.015	0.012	0.006	0.004	0.004	0.003	0.003	0.0	0.001	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.003	0.004	0.008	0.015	0.013	0.017	0.015	0.018	0.023	0.034	0.034	0.046	0.051	0.071	0.068	0.062	0.07	0.072	0.064	0.056	0.052	0.04	0.038	0.033	0.023	0.015	0.012	0.011	0.006	0.009	0.006	0.006	0.003	0.002	0.001	0.0	0.0	0	0.0	0	0	0	0	0	0
Unknown	0.027	0.014	0.017	0.023	0.024	0.025	0.029	0.029	0.041	0.047	0.063	0.067	0.058	0.068	0.061	0.049	0.048	0.041	0.038	0.035	0.033	0.03	0.027	0.024	0.021	0.018	0.013	0.01	0.007	0.004	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassII:TIR	0.002	0.005	0.006	0.008	0.01	0.013	0.013	0.016	0.021	0.025	0.031	0.035	0.037	0.042	0.047	0.048	0.053	0.054	0.058	0.059	0.06	0.056	0.053	0.048	0.04	0.038	0.032	0.025	0.019	0.015	0.011	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassI:LINE	0.01	0.004	0.01	0.01	0.013	0.014	0.018	0.022	0.032	0.033	0.033	0.032	0.038	0.039	0.037	0.042	0.042	0.043	0.041	0.04	0.049	0.045	0.051	0.046	0.044	0.047	0.044	0.033	0.03	0.019	0.014	0.01	0.005	0.004	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0
Low_complexity	0	0	0.0	0.002	0.001	0.002	0.007	0.01	0.015	0.015	0.021	0.029	0.042	0.032	0.049	0.067	0.08	0.068	0.071	0.065	0.066	0.065	0.049	0.039	0.046	0.033	0.024	0.025	0.019	0.017	0.01	0.011	0.007	0.005	0.003	0.001	0.001	0.001	0.0	0.0	0.001	0	0.0	0	0
ClassI:LTR	0.004	0.007	0.012	0.028	0.039	0.044	0.046	0.046	0.045	0.045	0.045	0.042	0.041	0.04	0.042	0.039	0.043	0.042	0.037	0.034	0.048	0.034	0.031	0.028	0.025	0.022	0.019	0.017	0.014	0.012	0.009	0.006	0.005	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0
Pseudogene:RNA	0.179	0.03	0.022	0.03	0.03	0.022	0.03	0.015	0.045	0.03	0.022	0.045	0.06	0.015	0.037	0.015	0.045	0.037	0.022	0.007	0.037	0.03	0.015	0.022	0.022	0.015	0.015	0.045	0.007	0.015	0	0.015	0.007	0.015	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0.025	0.012	0	0.025	0.012	0.074	0.012	0.074	0.012	0.037	0.086	0.074	0.037	0.123	0.037	0.086	0.074	0.049	0.037	0.037	0.025	0.037	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
