Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	45-46
Unknown	0.008	0.01	0.013	0.012	0.015	0.021	0.022	0.025	0.03	0.032	0.033	0.034	0.036	0.04	0.042	0.047	0.048	0.051	0.05	0.051	0.052	0.047	0.045	0.041	0.038	0.034	0.029	0.025	0.019	0.013	0.011	0.008	0.006	0.004	0.003	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0
Simple_repeat	0.253	0.005	0.013	0.026	0.048	0.032	0.014	0.024	0.029	0.032	0.024	0.023	0.029	0.036	0.03	0.027	0.03	0.029	0.03	0.028	0.03	0.03	0.027	0.023	0.027	0.02	0.017	0.017	0.012	0.01	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.003	0.006	0.01	0.013	0.017	0.023	0.027	0.03	0.031	0.031	0.033	0.038	0.04	0.041	0.041	0.043	0.046	0.049	0.05	0.05	0.053	0.05	0.049	0.045	0.041	0.036	0.029	0.023	0.017	0.012	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LTR	0.005	0.009	0.014	0.02	0.026	0.03	0.034	0.034	0.038	0.04	0.04	0.041	0.04	0.041	0.039	0.042	0.042	0.039	0.042	0.042	0.044	0.041	0.04	0.035	0.03	0.026	0.022	0.02	0.017	0.015	0.014	0.012	0.009	0.007	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0
ClassI:LINE	0.002	0.001	0.005	0.004	0.006	0.008	0.012	0.016	0.017	0.023	0.027	0.027	0.032	0.034	0.037	0.04	0.04	0.043	0.046	0.047	0.048	0.049	0.051	0.05	0.052	0.053	0.053	0.046	0.045	0.032	0.023	0.016	0.008	0.004	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0
ClassI:PLE	0.009	0.006	0.058	0.088	0.093	0.065	0.081	0.074	0.037	0.044	0.031	0.042	0.054	0.032	0.05	0.045	0.037	0.015	0.026	0.016	0.017	0.015	0.009	0.01	0.014	0.012	0.008	0.003	0.004	0.002	0	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.003	0.001	0.001	0.006	0.009	0.01	0.012	0.021	0.025	0.036	0.039	0.047	0.069	0.079	0.059	0.071	0.065	0.06	0.065	0.054	0.044	0.05	0.037	0.029	0.028	0.024	0.014	0.013	0.009	0.008	0.005	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0
ClassI:SINE	0.003	0.017	0.034	0.049	0.047	0.043	0.048	0.049	0.052	0.057	0.056	0.053	0.053	0.05	0.043	0.044	0.043	0.038	0.038	0.033	0.034	0.028	0.023	0.018	0.016	0.011	0.008	0.004	0.003	0.002	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.001	0.003	0.005	0.01	0.014	0.024	0.026	0.029	0.038	0.043	0.051	0.053	0.05	0.046	0.042	0.045	0.045	0.049	0.049	0.054	0.047	0.043	0.043	0.036	0.033	0.025	0.023	0.015	0.009	0.011	0.01	0.009	0.006	0.005	0.003	0.002	0.001	0.0	0.0	0	0	0	0	0
Retroposon/L1	0.001	0	0.003	0.001	0.004	0.006	0.003	0.009	0.013	0.01	0.007	0.015	0.015	0.024	0.027	0.035	0.036	0.041	0.057	0.071	0.077	0.081	0.086	0.077	0.076	0.071	0.057	0.038	0.026	0.017	0.012	0.003	0.001	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0	0	0.03	0	0	0.03	0.015	0.045	0.03	0.045	0.134	0.09	0.03	0.045	0.03	0.075	0.075	0.075	0.045	0.09	0.015	0.045	0	0.015	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
