Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47
Simple_repeat	0.224	0.001	0.008	0.021	0.052	0.034	0.012	0.025	0.033	0.035	0.025	0.026	0.033	0.04	0.033	0.03	0.034	0.031	0.034	0.03	0.031	0.031	0.028	0.024	0.027	0.021	0.016	0.016	0.013	0.01	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0
Unknown	0.005	0.003	0.008	0.01	0.014	0.02	0.025	0.028	0.032	0.035	0.041	0.044	0.046	0.049	0.05	0.052	0.052	0.056	0.055	0.053	0.053	0.047	0.043	0.04	0.033	0.029	0.023	0.017	0.013	0.009	0.007	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.01	0.007	0.019	0.015	0.022	0.036	0.039	0.045	0.049	0.046	0.047	0.042	0.041	0.04	0.04	0.04	0.041	0.038	0.038	0.038	0.039	0.037	0.036	0.032	0.03	0.028	0.024	0.021	0.017	0.014	0.01	0.008	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0
ClassII:TIR	0.003	0.002	0.007	0.011	0.018	0.026	0.029	0.034	0.038	0.038	0.039	0.041	0.041	0.043	0.044	0.049	0.049	0.051	0.05	0.051	0.052	0.048	0.045	0.04	0.034	0.032	0.024	0.02	0.014	0.01	0.007	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.004	0.001	0.002	0.007	0.01	0.013	0.015	0.023	0.034	0.041	0.038	0.048	0.07	0.072	0.062	0.067	0.063	0.061	0.06	0.05	0.045	0.044	0.035	0.029	0.025	0.02	0.017	0.012	0.01	0.008	0.005	0.003	0.003	0.002	0.001	0	0.0	0.0	0	0.0	0.0	0.0	0	0
ClassII:Rolling_Circle	0.002	0.001	0.004	0.006	0.011	0.018	0.023	0.026	0.033	0.038	0.042	0.05	0.054	0.057	0.054	0.056	0.054	0.051	0.052	0.058	0.058	0.046	0.045	0.035	0.026	0.022	0.016	0.015	0.008	0.008	0.006	0.006	0.005	0.004	0.004	0.004	0.002	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:LINE	0.002	0.002	0.006	0.006	0.008	0.012	0.013	0.019	0.022	0.024	0.031	0.031	0.034	0.036	0.038	0.04	0.04	0.044	0.043	0.045	0.048	0.049	0.049	0.047	0.047	0.051	0.048	0.043	0.034	0.03	0.021	0.017	0.009	0.005	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.003	0.002	0.011	0.013	0.018	0.025	0.038	0.045	0.052	0.052	0.052	0.054	0.052	0.051	0.051	0.049	0.049	0.049	0.053	0.043	0.044	0.036	0.033	0.028	0.023	0.02	0.017	0.011	0.009	0.008	0.004	0.002	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0.001	0	0.001	0.001	0.002	0.003	0.007	0.006	0.008	0.015	0.016	0.024	0.03	0.027	0.032	0.038	0.043	0.045	0.047	0.051	0.062	0.065	0.063	0.072	0.075	0.07	0.063	0.048	0.032	0.021	0.014	0.01	0.004	0.002	0.001	0.001	0	0.0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.009	0.009	0.009	0.018	0.045	0.027	0.055	0.045	0.082	0.064	0.073	0.082	0.055	0.027	0.045	0.009	0.027	0.036	0.082	0.027	0.055	0.018	0.009	0.027	0.036	0.018	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
