Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46
ClassI:LTR	0.002	0.004	0.006	0.008	0.01	0.015	0.019	0.025	0.032	0.036	0.044	0.047	0.049	0.049	0.048	0.045	0.045	0.044	0.045	0.045	0.045	0.044	0.041	0.038	0.035	0.033	0.028	0.025	0.022	0.018	0.015	0.013	0.009	0.006	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassII:TIR	0.0	0.0	0.001	0.003	0.005	0.008	0.011	0.013	0.018	0.022	0.028	0.035	0.042	0.047	0.054	0.059	0.062	0.066	0.066	0.064	0.065	0.059	0.057	0.049	0.04	0.035	0.026	0.02	0.014	0.01	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Simple_repeat	0.219	0.003	0.008	0.021	0.046	0.033	0.011	0.023	0.032	0.034	0.025	0.025	0.034	0.04	0.033	0.031	0.033	0.029	0.034	0.029	0.032	0.032	0.027	0.025	0.029	0.021	0.018	0.017	0.014	0.011	0.008	0.007	0.005	0.003	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Low_complexity	0.0	0	0.0	0.003	0.001	0.002	0.005	0.011	0.008	0.013	0.02	0.029	0.035	0.035	0.049	0.061	0.072	0.061	0.072	0.063	0.061	0.064	0.055	0.048	0.052	0.038	0.031	0.028	0.021	0.016	0.015	0.009	0.009	0.004	0.003	0.002	0.001	0.0	0.001	0.0	0	0.0	0.0	0	0	0
ClassI:LINE	0.003	0.001	0.005	0.006	0.008	0.014	0.017	0.022	0.021	0.02	0.027	0.027	0.027	0.035	0.035	0.034	0.04	0.04	0.043	0.038	0.045	0.045	0.046	0.046	0.051	0.053	0.051	0.048	0.04	0.036	0.028	0.022	0.014	0.006	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0
Unknown	0.001	0.002	0.002	0.002	0.004	0.007	0.01	0.014	0.018	0.022	0.029	0.035	0.04	0.046	0.05	0.055	0.06	0.064	0.065	0.062	0.063	0.059	0.053	0.047	0.04	0.036	0.029	0.025	0.021	0.014	0.01	0.007	0.004	0.003	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.0	0.0	0.001	0.001	0.002	0.002	0.004	0.005	0.011	0.013	0.019	0.025	0.036	0.043	0.053	0.066	0.075	0.082	0.085	0.083	0.081	0.071	0.058	0.049	0.038	0.031	0.022	0.015	0.009	0.006	0.004	0.003	0.002	0.002	0.001	0.0	0	0.0	0	0.0	0	0	0	0	0	0
ClassI:SINE	0.001	0	0.002	0.002	0.004	0.008	0.009	0.015	0.024	0.034	0.046	0.058	0.064	0.07	0.075	0.074	0.061	0.059	0.056	0.05	0.051	0.049	0.039	0.032	0.029	0.026	0.023	0.012	0.011	0.006	0.003	0.002	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0.005	0.03	0.019	0.023	0.015	0.011	0.017	0.029	0.031	0.04	0.038	0.063	0.053	0.067	0.078	0.1	0.107	0.074	0.055	0.06	0.037	0.029	0.009	0.006	0.002	0.001	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0.002	0.001	0.003	0	0.003	0.003	0.003	0.007	0.006	0.013	0.017	0.016	0.022	0.031	0.045	0.063	0.067	0.081	0.077	0.069	0.088	0.068	0.072	0.066	0.051	0.031	0.032	0.027	0.016	0.009	0.006	0.003	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0.018	0	0	0	0.013	0.009	0.004	0.013	0.031	0.022	0.009	0.004	0.036	0.027	0.036	0.04	0.067	0.067	0.049	0.045	0.071	0.076	0.027	0.062	0.071	0.049	0.045	0.04	0.009	0.009	0.04	0.009	0	0	0	0	0	0	0	0	0	0	0	0
