Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45
Unknown	0.001	0.001	0.002	0.003	0.004	0.007	0.011	0.017	0.023	0.028	0.034	0.04	0.044	0.048	0.052	0.056	0.058	0.059	0.059	0.058	0.061	0.055	0.051	0.046	0.039	0.036	0.028	0.024	0.018	0.013	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassII:TIR	0.0	0.0	0.001	0.002	0.004	0.006	0.01	0.013	0.018	0.023	0.029	0.036	0.043	0.051	0.056	0.061	0.065	0.068	0.067	0.065	0.066	0.06	0.054	0.049	0.04	0.034	0.025	0.018	0.013	0.009	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.001	0.002	0.003	0.003	0.006	0.008	0.012	0.014	0.019	0.027	0.035	0.042	0.053	0.066	0.07	0.076	0.08	0.085	0.081	0.069	0.06	0.053	0.037	0.028	0.023	0.015	0.012	0.007	0.005	0.002	0.002	0.001	0.001	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LTR	0.002	0.005	0.008	0.01	0.011	0.013	0.017	0.024	0.033	0.041	0.048	0.05	0.05	0.049	0.047	0.046	0.044	0.046	0.043	0.041	0.041	0.04	0.041	0.042	0.038	0.035	0.03	0.026	0.023	0.018	0.014	0.01	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0
Simple_repeat	0.219	0.003	0.009	0.02	0.046	0.033	0.011	0.023	0.032	0.034	0.025	0.024	0.033	0.04	0.033	0.032	0.034	0.03	0.033	0.029	0.033	0.033	0.027	0.025	0.029	0.022	0.018	0.017	0.013	0.011	0.007	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LINE	0.004	0.001	0.005	0.006	0.007	0.011	0.014	0.018	0.019	0.021	0.023	0.026	0.027	0.036	0.035	0.035	0.04	0.043	0.043	0.04	0.042	0.047	0.051	0.052	0.06	0.065	0.058	0.048	0.045	0.031	0.023	0.013	0.007	0.003	0.001	0.001	0	0.0	0.0	0	0	0	0	0	0
Low_complexity	0.001	0	0.001	0.002	0.001	0.002	0.006	0.009	0.011	0.013	0.021	0.029	0.04	0.035	0.046	0.06	0.07	0.06	0.07	0.063	0.067	0.057	0.056	0.05	0.048	0.038	0.027	0.03	0.023	0.018	0.017	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0
ClassI:SINE	0.001	0.003	0.002	0.005	0.003	0.008	0.011	0.019	0.025	0.036	0.046	0.061	0.07	0.07	0.071	0.069	0.057	0.063	0.052	0.043	0.044	0.046	0.041	0.031	0.027	0.029	0.023	0.015	0.011	0.008	0.005	0.002	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0.001	0.005	0.007	0.01	0.016	0.025	0.029	0.046	0.065	0.074	0.126	0.203	0.12	0.051	0.035	0.02	0.018	0.017	0.015	0.014	0.014	0.017	0.033	0.023	0.008	0.002	0.002	0.003	0.002	0	0.001	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0	0.002	0	0.014	0	0.005	0.021	0.016	0.019	0.035	0.039	0.044	0.042	0.053	0.074	0.065	0.065	0.081	0.063	0.077	0.056	0.081	0.039	0.042	0.019	0.019	0.016	0.002	0.002	0.002	0.005	0.002	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0.008	0.017	0.025	0.1	0.092	0.067	0.083	0.042	0.042	0.025	0.033	0.042	0.033	0.05	0.008	0.05	0.033	0.008	0.017	0.008	0.025	0	0	0.017	0.017	0.025	0.033	0.05	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0
