Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	45-46
ClassI:LTR	0.006	0.006	0.016	0.027	0.039	0.049	0.057	0.061	0.062	0.061	0.055	0.051	0.045	0.04	0.037	0.035	0.033	0.032	0.032	0.031	0.029	0.028	0.026	0.024	0.021	0.018	0.014	0.013	0.012	0.009	0.008	0.007	0.006	0.005	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0
Unknown	0.035	0.013	0.022	0.02	0.026	0.038	0.039	0.036	0.037	0.032	0.033	0.038	0.046	0.054	0.055	0.049	0.048	0.046	0.045	0.038	0.036	0.033	0.029	0.028	0.024	0.025	0.019	0.015	0.012	0.008	0.006	0.004	0.003	0.003	0.003	0.002	0.001	0.0	0.0	0.0	0	0.0	0	0	0
Simple_repeat	0.217	0.004	0.018	0.033	0.048	0.029	0.02	0.029	0.035	0.033	0.027	0.027	0.035	0.037	0.032	0.03	0.031	0.03	0.031	0.028	0.03	0.029	0.025	0.023	0.025	0.019	0.015	0.015	0.012	0.01	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.003	0.009	0.015	0.018	0.018	0.024	0.027	0.032	0.035	0.034	0.036	0.038	0.041	0.045	0.047	0.051	0.052	0.052	0.051	0.048	0.048	0.045	0.042	0.038	0.031	0.027	0.021	0.018	0.015	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0
ClassI:LINE	0.011	0.014	0.012	0.006	0.005	0.007	0.006	0.009	0.011	0.013	0.015	0.02	0.026	0.026	0.03	0.034	0.031	0.031	0.031	0.033	0.036	0.04	0.039	0.042	0.05	0.057	0.072	0.067	0.061	0.049	0.04	0.03	0.02	0.013	0.007	0.003	0.001	0.0	0.0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.001	0.003	0.001	0.003	0.007	0.012	0.014	0.019	0.026	0.037	0.044	0.045	0.052	0.06	0.067	0.059	0.065	0.058	0.061	0.063	0.05	0.045	0.042	0.034	0.027	0.028	0.021	0.016	0.014	0.008	0.005	0.005	0.003	0.002	0.001	0.001	0.0	0.001	0.0	0	0.0	0.0	0
ClassII:Rolling_Circle	0.004	0.003	0.015	0.024	0.024	0.024	0.022	0.024	0.028	0.029	0.035	0.036	0.041	0.047	0.051	0.049	0.051	0.058	0.055	0.046	0.054	0.049	0.044	0.04	0.032	0.031	0.024	0.019	0.013	0.009	0.007	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0	0
ClassI:SINE	0.015	0.001	0.025	0.008	0.021	0.047	0.027	0.035	0.041	0.031	0.04	0.038	0.036	0.042	0.038	0.037	0.043	0.036	0.045	0.034	0.044	0.038	0.04	0.04	0.033	0.027	0.026	0.028	0.016	0.017	0.015	0.007	0.006	0.005	0.007	0.005	0.005	0.001	0	0	0	0	0	0	0
Retroposon/L1	0.003	0.003	0.005	0.019	0.034	0.066	0.119	0.146	0.074	0.05	0.027	0.011	0.008	0.019	0.013	0.029	0.027	0.013	0.021	0.027	0.034	0.021	0.029	0.045	0.027	0.019	0.027	0.021	0.019	0.011	0.016	0.008	0.011	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.017	0.02	0.035	0.061	0.044	0.079	0.041	0.022	0.028	0.024	0.022	0.022	0.026	0.007	0.048	0.055	0.02	0.057	0.024	0	0.024	0.013	0.024	0.017	0.039	0.035	0.017	0.068	0.02	0.046	0.011	0.024	0.007	0	0	0	0.004	0	0	0	0	0	0	0	0
