Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	49-50	50-51	51-52	54-55	55-56	58-59	60-61
Low_complexity	0.0	0	0.0	0.003	0.001	0.002	0.007	0.012	0.012	0.013	0.024	0.032	0.042	0.038	0.048	0.06	0.069	0.06	0.067	0.063	0.065	0.061	0.053	0.047	0.046	0.039	0.029	0.028	0.022	0.017	0.012	0.011	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
Unknown	0.005	0.005	0.009	0.012	0.017	0.021	0.025	0.027	0.03	0.034	0.038	0.041	0.046	0.049	0.052	0.054	0.053	0.054	0.053	0.051	0.051	0.046	0.042	0.037	0.032	0.028	0.023	0.019	0.015	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:LTR	0.004	0.004	0.006	0.01	0.016	0.023	0.032	0.041	0.048	0.052	0.055	0.056	0.056	0.055	0.053	0.052	0.05	0.048	0.045	0.043	0.04	0.036	0.032	0.028	0.023	0.021	0.017	0.014	0.011	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0.0	0.0	0
Simple_repeat	0.186	0.002	0.01	0.024	0.042	0.026	0.017	0.028	0.034	0.035	0.029	0.029	0.036	0.04	0.036	0.035	0.036	0.034	0.037	0.032	0.032	0.032	0.029	0.025	0.027	0.022	0.018	0.016	0.013	0.01	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0	0
ClassII:TIR	0.003	0.003	0.006	0.011	0.017	0.023	0.027	0.029	0.029	0.031	0.035	0.039	0.042	0.048	0.051	0.055	0.057	0.057	0.056	0.054	0.054	0.05	0.045	0.04	0.034	0.029	0.022	0.017	0.012	0.009	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0
ClassI:SINE	0.048	0.057	0.051	0.053	0.041	0.034	0.036	0.026	0.029	0.027	0.029	0.03	0.033	0.03	0.035	0.039	0.039	0.036	0.04	0.037	0.036	0.037	0.029	0.03	0.027	0.023	0.02	0.015	0.012	0.008	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.005	0.007	0.013	0.016	0.022	0.022	0.022	0.022	0.024	0.023	0.028	0.029	0.033	0.034	0.036	0.038	0.039	0.041	0.042	0.04	0.041	0.04	0.042	0.044	0.047	0.048	0.049	0.044	0.036	0.029	0.019	0.013	0.007	0.004	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.002	0.004	0.007	0.01	0.014	0.018	0.023	0.03	0.036	0.043	0.047	0.053	0.058	0.063	0.063	0.064	0.062	0.058	0.055	0.05	0.044	0.038	0.032	0.027	0.024	0.017	0.015	0.012	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0.001	0.001	0.003	0.002	0.005	0.005	0.006	0.012	0.014	0.023	0.028	0.036	0.045	0.049	0.063	0.066	0.06	0.057	0.06	0.057	0.05	0.053	0.05	0.049	0.048	0.035	0.032	0.03	0.023	0.018	0.008	0.005	0.003	0.002	0.001	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0.001	0.0	0.001	0.005	0.011	0.025	0.045	0.069	0.092	0.119	0.119	0.112	0.109	0.118	0.07	0.041	0.034	0.012	0.007	0.003	0.002	0.0	0.001	0.001	0.0	0.0	0.0	0.001	0.001	0.001	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
