Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	48-49
ClassI:LTR	0.003	0.005	0.011	0.021	0.032	0.037	0.038	0.039	0.039	0.036	0.037	0.039	0.04	0.042	0.044	0.046	0.046	0.045	0.045	0.044	0.042	0.04	0.037	0.033	0.029	0.026	0.022	0.018	0.015	0.013	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
Unknown	0.007	0.01	0.012	0.012	0.014	0.016	0.015	0.019	0.021	0.025	0.03	0.032	0.036	0.039	0.043	0.048	0.049	0.052	0.054	0.055	0.056	0.054	0.051	0.048	0.042	0.037	0.029	0.024	0.019	0.014	0.012	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:SINE	0.019	0.03	0.018	0.019	0.013	0.011	0.011	0.017	0.021	0.027	0.034	0.034	0.04	0.047	0.044	0.052	0.054	0.053	0.045	0.044	0.045	0.046	0.046	0.041	0.034	0.038	0.032	0.022	0.021	0.014	0.011	0.009	0.005	0.003	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.006	0.012	0.018	0.022	0.025	0.026	0.031	0.035	0.036	0.04	0.042	0.045	0.047	0.049	0.051	0.052	0.055	0.054	0.053	0.051	0.047	0.041	0.036	0.03	0.026	0.02	0.015	0.011	0.008	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0
Simple_repeat	0.207	0.004	0.009	0.024	0.042	0.024	0.015	0.027	0.031	0.033	0.027	0.028	0.034	0.038	0.034	0.033	0.034	0.033	0.036	0.032	0.033	0.033	0.028	0.027	0.027	0.021	0.018	0.016	0.013	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0
ClassI:LINE	0.007	0.012	0.015	0.011	0.009	0.012	0.012	0.012	0.017	0.017	0.023	0.023	0.025	0.03	0.033	0.032	0.039	0.046	0.047	0.045	0.049	0.046	0.049	0.049	0.049	0.052	0.051	0.052	0.041	0.035	0.025	0.015	0.009	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.002	0.007	0.01	0.01	0.015	0.021	0.027	0.034	0.043	0.05	0.052	0.058	0.064	0.064	0.064	0.064	0.059	0.055	0.048	0.049	0.042	0.034	0.029	0.024	0.02	0.014	0.01	0.008	0.005	0.003	0.004	0.003	0.003	0.001	0.001	0.001	0.0	0.0	0	0.0	0	0	0	0	0	0
ClassI:DIRS	0.93	0.036	0.008	0.003	0.003	0.003	0.006	0	0.006	0.003	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.001	0.0	0.002	0.001	0.002	0.007	0.012	0.013	0.014	0.025	0.031	0.039	0.035	0.046	0.059	0.069	0.059	0.063	0.058	0.065	0.066	0.054	0.05	0.051	0.04	0.031	0.029	0.021	0.015	0.011	0.01	0.008	0.005	0.003	0.002	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0
Retroposon/L1	0	0	0.001	0	0.001	0.002	0.004	0.003	0.008	0.007	0.012	0.016	0.018	0.024	0.031	0.04	0.041	0.055	0.054	0.051	0.069	0.075	0.071	0.051	0.066	0.067	0.067	0.045	0.038	0.038	0.018	0.012	0.007	0.004	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0
Satellite	0.002	0.036	0.152	0.156	0.09	0.047	0.036	0.032	0.021	0.015	0.021	0.028	0.021	0.026	0.009	0.03	0.026	0.051	0.073	0.026	0.019	0.024	0.039	0.009	0.002	0.002	0.002	0	0.002	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.172	0.009	0.078	0.026	0.009	0.017	0.009	0.009	0.017	0.009	0.017	0.009	0.026	0.034	0.043	0.017	0.026	0.017	0.034	0.043	0.052	0.026	0.052	0.026	0.086	0.043	0.043	0.026	0.017	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
