Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48
Low_complexity	0.0	0.0	0.0	0.004	0.001	0.002	0.009	0.012	0.013	0.018	0.025	0.033	0.045	0.041	0.048	0.068	0.066	0.058	0.067	0.062	0.059	0.057	0.052	0.045	0.045	0.039	0.031	0.027	0.02	0.017	0.011	0.008	0.007	0.003	0.002	0.002	0.0	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Simple_repeat	0.199	0.005	0.016	0.033	0.045	0.042	0.02	0.027	0.031	0.031	0.027	0.027	0.033	0.035	0.033	0.032	0.033	0.031	0.033	0.03	0.031	0.031	0.029	0.024	0.026	0.021	0.016	0.015	0.011	0.01	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LTR	0.002	0.004	0.009	0.021	0.036	0.05	0.056	0.056	0.056	0.053	0.05	0.049	0.046	0.046	0.044	0.042	0.039	0.036	0.034	0.033	0.032	0.029	0.028	0.025	0.022	0.019	0.018	0.015	0.013	0.01	0.008	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
Satellite	0.02	0.01	0.024	0.031	0.035	0.028	0.023	0.033	0.053	0.063	0.078	0.108	0.088	0.063	0.072	0.064	0.047	0.037	0.023	0.029	0.017	0.012	0.017	0.006	0.003	0.006	0.005	0.002	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0.002	0.003	0.005	0.007	0.014	0.023	0.03	0.033	0.038	0.043	0.048	0.052	0.052	0.051	0.048	0.048	0.048	0.049	0.048	0.043	0.041	0.037	0.034	0.031	0.029	0.027	0.024	0.022	0.018	0.014	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassI:LINE	0.0	0.0	0.004	0.004	0.004	0.006	0.011	0.012	0.013	0.019	0.025	0.027	0.027	0.03	0.036	0.042	0.04	0.045	0.038	0.033	0.035	0.035	0.038	0.047	0.054	0.059	0.062	0.064	0.053	0.043	0.031	0.024	0.015	0.01	0.007	0.003	0.001	0.001	0.0	0	0.0	0	0	0	0	0	0	0
ClassII:TIR	0.004	0.01	0.017	0.023	0.025	0.028	0.029	0.033	0.035	0.036	0.036	0.038	0.038	0.044	0.045	0.047	0.05	0.051	0.051	0.048	0.047	0.043	0.039	0.036	0.029	0.027	0.022	0.017	0.013	0.011	0.009	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.008	0.006	0.008	0.014	0.017	0.03	0.043	0.05	0.062	0.066	0.07	0.064	0.059	0.057	0.056	0.051	0.052	0.046	0.04	0.035	0.035	0.025	0.022	0.018	0.014	0.013	0.009	0.007	0.005	0.005	0.004	0.003	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.0	0.003	0.005	0.007	0.021	0.022	0.027	0.037	0.051	0.058	0.068	0.069	0.074	0.075	0.071	0.064	0.058	0.051	0.042	0.04	0.034	0.028	0.024	0.019	0.014	0.014	0.007	0.007	0.003	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0	0.001	0	0.001	0.004	0.002	0.011	0.014	0.02	0.019	0.036	0.043	0.046	0.064	0.061	0.067	0.088	0.075	0.094	0.078	0.061	0.062	0.043	0.04	0.021	0.019	0.01	0.011	0.005	0.001	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
