Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45
ClassI:LTR	0.003	0.004	0.011	0.02	0.032	0.044	0.052	0.056	0.058	0.057	0.055	0.051	0.046	0.041	0.039	0.037	0.035	0.034	0.034	0.031	0.031	0.031	0.03	0.029	0.027	0.024	0.02	0.017	0.015	0.012	0.009	0.006	0.005	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassI:SINE	0.002	0.009	0.018	0.017	0.018	0.03	0.031	0.048	0.061	0.065	0.06	0.052	0.046	0.047	0.041	0.039	0.044	0.046	0.044	0.04	0.044	0.038	0.033	0.024	0.022	0.022	0.015	0.012	0.011	0.007	0.007	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassII:TIR	0.005	0.013	0.02	0.025	0.031	0.034	0.035	0.036	0.036	0.037	0.036	0.037	0.04	0.041	0.041	0.041	0.043	0.045	0.047	0.046	0.047	0.043	0.04	0.036	0.031	0.029	0.023	0.018	0.014	0.01	0.008	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
Unknown	0.008	0.011	0.021	0.024	0.031	0.034	0.037	0.04	0.042	0.044	0.048	0.047	0.045	0.047	0.047	0.045	0.045	0.043	0.041	0.041	0.041	0.038	0.033	0.03	0.027	0.024	0.019	0.015	0.011	0.007	0.006	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0
Retroposon/L1	0	0.0	0.007	0.033	0.035	0.027	0.02	0.019	0.019	0.024	0.025	0.028	0.04	0.038	0.046	0.056	0.069	0.05	0.057	0.048	0.057	0.051	0.052	0.047	0.029	0.023	0.023	0.019	0.018	0.013	0.011	0.006	0.004	0.002	0.002	0.001	0	0.0	0	0	0	0	0	0	0
Simple_repeat	0.134	0.006	0.011	0.023	0.039	0.027	0.017	0.028	0.031	0.033	0.028	0.027	0.037	0.039	0.037	0.036	0.037	0.036	0.04	0.037	0.038	0.037	0.034	0.029	0.03	0.027	0.022	0.02	0.015	0.012	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0
Low_complexity	0.001	0.0	0.0	0.002	0.001	0.002	0.005	0.013	0.013	0.015	0.023	0.031	0.038	0.037	0.049	0.057	0.067	0.06	0.065	0.06	0.064	0.057	0.059	0.049	0.048	0.039	0.035	0.03	0.019	0.017	0.015	0.007	0.008	0.004	0.004	0.003	0.001	0.001	0.0	0	0.0	0.0	0.0	0.0	0.0
Satellite	0	0	0.006	0.015	0.012	0.012	0.019	0.015	0.028	0.018	0.034	0.028	0.095	0.081	0.156	0.095	0.091	0.126	0.057	0.026	0.021	0.015	0.01	0.015	0.006	0.004	0.009	0	0.001	0.004	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.007	0.006	0.005	0.008	0.008	0.013	0.011	0.018	0.021	0.025	0.027	0.029	0.028	0.031	0.033	0.031	0.031	0.033	0.033	0.031	0.035	0.039	0.044	0.045	0.046	0.051	0.053	0.054	0.054	0.049	0.04	0.027	0.016	0.01	0.005	0.002	0.001	0.0	0	0.0	0	0	0	0	0
ClassII:Rolling_Circle	0.005	0.003	0.005	0.01	0.024	0.04	0.031	0.027	0.033	0.038	0.041	0.051	0.053	0.052	0.053	0.052	0.051	0.055	0.052	0.045	0.047	0.042	0.032	0.031	0.024	0.022	0.015	0.011	0.013	0.009	0.01	0.008	0.006	0.004	0.002	0.001	0.001	0.0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0.007	0	0.188	0.167	0.058	0.094	0.058	0.065	0.08	0.058	0.065	0.051	0.014	0.007	0.043	0.014	0	0	0.007	0.014	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.122	0.105	0.068	0.114	0.042	0.059	0.068	0.034	0.021	0.013	0.021	0	0.008	0.021	0.008	0.013	0.008	0.03	0.025	0.004	0.013	0.017	0.013	0	0.021	0.038	0.017	0.03	0.008	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0
