Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48
Unknown	0.007	0.008	0.016	0.025	0.034	0.037	0.039	0.046	0.045	0.057	0.051	0.062	0.056	0.055	0.05	0.049	0.044	0.04	0.036	0.033	0.031	0.029	0.027	0.025	0.023	0.02	0.016	0.012	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.013	0.019	0.034	0.045	0.06	0.066	0.065	0.062	0.06	0.055	0.051	0.047	0.043	0.038	0.035	0.032	0.029	0.028	0.026	0.024	0.022	0.022	0.021	0.018	0.016	0.013	0.011	0.009	0.008	0.007	0.006	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Simple_repeat	0.192	0.004	0.013	0.027	0.063	0.051	0.015	0.027	0.031	0.031	0.026	0.026	0.032	0.037	0.034	0.033	0.032	0.031	0.033	0.03	0.031	0.03	0.026	0.023	0.024	0.02	0.016	0.015	0.012	0.009	0.008	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ClassII:TIR	0.004	0.009	0.015	0.026	0.033	0.036	0.036	0.037	0.039	0.037	0.038	0.036	0.037	0.04	0.04	0.042	0.043	0.044	0.045	0.045	0.046	0.044	0.041	0.036	0.033	0.03	0.024	0.019	0.015	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.001	0.004	0.002	0.005	0.007	0.012	0.014	0.016	0.024	0.031	0.043	0.039	0.047	0.058	0.066	0.059	0.065	0.057	0.059	0.061	0.052	0.047	0.049	0.039	0.03	0.028	0.025	0.018	0.013	0.009	0.007	0.005	0.003	0.002	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0
ClassI:SINE	0.002	0.001	0.006	0.012	0.022	0.039	0.048	0.057	0.05	0.053	0.053	0.051	0.049	0.054	0.054	0.051	0.053	0.051	0.045	0.041	0.038	0.035	0.03	0.024	0.02	0.017	0.013	0.01	0.008	0.007	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.004	0.004	0.011	0.017	0.027	0.052	0.055	0.056	0.044	0.039	0.039	0.037	0.043	0.042	0.046	0.049	0.043	0.041	0.041	0.04	0.042	0.036	0.034	0.031	0.023	0.021	0.017	0.014	0.015	0.01	0.007	0.006	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.006	0.008	0.009	0.01	0.009	0.009	0.013	0.015	0.02	0.032	0.038	0.041	0.043	0.037	0.037	0.038	0.031	0.03	0.033	0.036	0.04	0.042	0.047	0.05	0.053	0.051	0.05	0.045	0.041	0.031	0.02	0.015	0.01	0.005	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Retroposon/L1	0.004	0.008	0.004	0.012	0.008	0.021	0.004	0.021	0.009	0.021	0.014	0.026	0.021	0.031	0.027	0.039	0.03	0.046	0.061	0.056	0.06	0.078	0.076	0.084	0.065	0.051	0.042	0.028	0.02	0.011	0.01	0.005	0.002	0.003	0.002	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0.002	0.005	0.005	0.021	0.048	0.053	0.044	0.051	0.039	0.039	0.046	0.067	0.101	0.087	0.129	0.124	0.051	0.025	0.018	0.023	0.005	0.016	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
