Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46
ClassI:LTR	0.013	0.004	0.011	0.008	0.012	0.015	0.02	0.026	0.032	0.037	0.042	0.047	0.051	0.056	0.059	0.061	0.061	0.059	0.056	0.051	0.047	0.041	0.036	0.031	0.028	0.024	0.019	0.016	0.012	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0
Unknown	0.004	0.003	0.007	0.009	0.011	0.018	0.019	0.023	0.028	0.031	0.038	0.041	0.046	0.05	0.052	0.053	0.053	0.055	0.056	0.055	0.053	0.049	0.044	0.04	0.035	0.031	0.026	0.02	0.015	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0
Simple_repeat	0.134	0.002	0.009	0.021	0.04	0.025	0.016	0.026	0.032	0.032	0.027	0.028	0.036	0.04	0.037	0.037	0.041	0.038	0.04	0.038	0.039	0.038	0.034	0.03	0.033	0.027	0.021	0.02	0.015	0.012	0.01	0.007	0.005	0.003	0.003	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.003	0.002	0.005	0.007	0.01	0.017	0.022	0.03	0.039	0.043	0.048	0.05	0.051	0.053	0.053	0.053	0.054	0.054	0.054	0.051	0.051	0.045	0.04	0.035	0.029	0.026	0.02	0.016	0.012	0.01	0.007	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0
ClassII:Rolling_Circle	0.009	0.009	0.024	0.024	0.025	0.036	0.03	0.039	0.046	0.041	0.046	0.04	0.041	0.046	0.05	0.045	0.046	0.048	0.043	0.041	0.047	0.039	0.038	0.033	0.024	0.024	0.018	0.012	0.011	0.007	0.006	0.004	0.003	0.002	0.0	0.001	0.0	0	0.0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.003	0.002	0.002	0.007	0.012	0.012	0.015	0.023	0.031	0.039	0.038	0.046	0.061	0.063	0.064	0.06	0.057	0.063	0.065	0.055	0.046	0.051	0.041	0.031	0.029	0.022	0.019	0.011	0.01	0.007	0.006	0.003	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
ClassI:LINE	0.001	0.001	0.002	0.005	0.004	0.012	0.01	0.013	0.019	0.024	0.031	0.031	0.034	0.039	0.046	0.047	0.046	0.056	0.056	0.055	0.061	0.051	0.05	0.045	0.039	0.039	0.036	0.032	0.027	0.023	0.018	0.015	0.01	0.008	0.006	0.004	0.002	0.001	0.0	0	0	0	0	0	0	0
ClassI:SINE	0.003	0.004	0.005	0.004	0.007	0.016	0.014	0.023	0.03	0.033	0.042	0.047	0.05	0.054	0.059	0.048	0.057	0.054	0.044	0.041	0.044	0.035	0.04	0.029	0.035	0.031	0.032	0.028	0.022	0.018	0.016	0.011	0.009	0.007	0.003	0.002	0.001	0.0	0.001	0	0	0	0	0	0	0
Retroposon/L1	0	0	0	0	0.005	0.005	0.023	0.014	0.027	0.045	0.041	0	0.009	0.023	0.018	0.009	0.036	0.032	0.018	0.018	0.041	0.014	0.041	0.063	0.036	0.086	0.095	0.09	0.077	0.036	0.027	0.023	0.032	0.005	0.014	0	0.005	0	0	0	0	0	0	0	0	0
Satellite	0.014	0	0.014	0.057	0.014	0.043	0.071	0.157	0.071	0.086	0.057	0.043	0.043	0	0.029	0.014	0.014	0.057	0.057	0.043	0.043	0	0	0	0.014	0.014	0.014	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0	0	0	0	0.007	0.007	0.014	0.036	0.014	0.007	0.021	0.021	0.064	0.064	0.043	0.086	0.093	0.086	0.086	0.114	0.107	0.057	0.014	0.029	0.007	0.007	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
