Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46
Simple_repeat	0.127	0.002	0.016	0.029	0.039	0.028	0.021	0.029	0.034	0.035	0.031	0.032	0.037	0.041	0.039	0.036	0.039	0.036	0.039	0.034	0.035	0.034	0.03	0.028	0.027	0.023	0.019	0.018	0.015	0.011	0.01	0.008	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unknown	0.017	0.018	0.024	0.026	0.031	0.032	0.033	0.038	0.038	0.041	0.043	0.043	0.046	0.046	0.05	0.049	0.05	0.048	0.046	0.042	0.042	0.038	0.033	0.029	0.022	0.021	0.016	0.012	0.01	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LINE	0.031	0.05	0.049	0.047	0.043	0.036	0.03	0.032	0.031	0.026	0.027	0.029	0.026	0.026	0.028	0.033	0.03	0.034	0.035	0.035	0.042	0.041	0.036	0.038	0.029	0.03	0.028	0.021	0.016	0.015	0.01	0.007	0.005	0.003	0.001	0.001	0.0	0	0.0	0	0	0	0	0	0	0
Low_complexity	0.001	0	0	0.002	0.002	0.003	0.007	0.009	0.012	0.017	0.026	0.025	0.041	0.042	0.048	0.069	0.073	0.061	0.065	0.064	0.066	0.062	0.051	0.047	0.046	0.035	0.028	0.026	0.02	0.011	0.012	0.006	0.006	0.007	0.004	0.002	0.001	0.001	0.001	0	0.001	0	0	0	0	0
ClassII:TIR	0.001	0.002	0.002	0.003	0.001	0.003	0.004	0.006	0.006	0.007	0.011	0.014	0.015	0.021	0.023	0.028	0.04	0.045	0.049	0.061	0.074	0.075	0.07	0.074	0.069	0.065	0.057	0.045	0.035	0.029	0.023	0.014	0.01	0.008	0.004	0.002	0.002	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassI:LTR	0.031	0.038	0.015	0.028	0.023	0.019	0.015	0.014	0.016	0.027	0.021	0.022	0.032	0.032	0.024	0.039	0.041	0.053	0.046	0.043	0.053	0.063	0.053	0.056	0.036	0.041	0.036	0.022	0.023	0.013	0.009	0.006	0.003	0.002	0.004	0.001	0.0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0.006	0	0.006	0	0.017	0.064	0.023	0.058	0.076	0.029	0.035	0.058	0.081	0.029	0.128	0.058	0.064	0.07	0.047	0.035	0.07	0.017	0.012	0	0.006	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.012	0	0.006	0.012	0.006	0	0.012	0.012	0.012	0.019	0.031	0.043	0.075	0.056	0.043	0.075	0.093	0.062	0.093	0.043	0.05	0.043	0.056	0.037	0.043	0.025	0.019	0.006	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.011	0	0.067	0.067	0.033	0.078	0.011	0.022	0.022	0.011	0.011	0.078	0.033	0.033	0.044	0.022	0.011	0.033	0.022	0.022	0.033	0.033	0.056	0.044	0.056	0.022	0.022	0.033	0	0.022	0	0.022	0.011	0.011	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0	0	0.028	0	0.056	0	0	0.028	0.111	0.028	0.083	0.056	0	0.028	0.028	0.111	0.028	0	0.056	0.028	0.056	0.111	0.083	0	0	0	0	0.028	0.028	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0
