Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	47-48
Simple_repeat	0.169	0.002	0.01	0.024	0.047	0.028	0.013	0.026	0.033	0.033	0.026	0.027	0.035	0.039	0.034	0.033	0.036	0.035	0.036	0.034	0.036	0.036	0.031	0.027	0.03	0.025	0.02	0.019	0.015	0.012	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LTR	0.002	0.005	0.008	0.012	0.015	0.019	0.032	0.043	0.055	0.058	0.059	0.061	0.062	0.06	0.058	0.052	0.048	0.043	0.039	0.034	0.033	0.029	0.027	0.024	0.021	0.019	0.016	0.013	0.01	0.01	0.009	0.008	0.006	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0
Unknown	0.003	0.005	0.009	0.012	0.016	0.019	0.025	0.034	0.041	0.046	0.046	0.05	0.052	0.056	0.055	0.054	0.049	0.047	0.047	0.043	0.043	0.04	0.038	0.034	0.028	0.026	0.02	0.017	0.012	0.009	0.008	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassII:TIR	0.001	0.005	0.008	0.011	0.017	0.021	0.024	0.025	0.028	0.029	0.035	0.036	0.04	0.042	0.046	0.05	0.053	0.056	0.059	0.056	0.054	0.05	0.044	0.042	0.035	0.031	0.025	0.021	0.016	0.013	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
Low_complexity	0	0	0.0	0.002	0.0	0.003	0.006	0.011	0.011	0.014	0.024	0.033	0.041	0.035	0.05	0.06	0.068	0.06	0.069	0.063	0.055	0.065	0.052	0.044	0.044	0.039	0.029	0.03	0.026	0.018	0.014	0.01	0.006	0.005	0.004	0.003	0.001	0.001	0.001	0.001	0	0	0.0	0	0	0
ClassI:LINE	0.007	0.035	0.035	0.015	0.009	0.007	0.011	0.012	0.015	0.017	0.023	0.025	0.03	0.035	0.039	0.041	0.041	0.042	0.04	0.039	0.042	0.037	0.038	0.034	0.037	0.039	0.043	0.048	0.041	0.042	0.03	0.02	0.013	0.009	0.004	0.002	0.001	0.001	0.0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0.002	0.001	0.002	0.003	0.008	0.019	0.018	0.031	0.04	0.051	0.058	0.057	0.062	0.054	0.062	0.055	0.061	0.056	0.057	0.059	0.035	0.038	0.026	0.02	0.023	0.013	0.013	0.014	0.019	0.014	0.013	0.011	0.004	0.002	0.001	0.001	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.0	0.001	0.001	0.001	0.003	0.006	0.008	0.007	0.014	0.013	0.016	0.019	0.019	0.036	0.038	0.052	0.058	0.057	0.06	0.064	0.068	0.064	0.054	0.055	0.043	0.047	0.044	0.04	0.028	0.026	0.022	0.013	0.011	0.005	0.003	0.003	0.002	0.0	0	0	0	0	0	0	0	0
Retroposon/L1	0.001	0	0.001	0.002	0.003	0.005	0.002	0.014	0.007	0.011	0.02	0.019	0.04	0.042	0.06	0.062	0.054	0.064	0.061	0.069	0.068	0.054	0.056	0.045	0.041	0.043	0.038	0.027	0.029	0.021	0.008	0.012	0.011	0.006	0.002	0.002	0.001	0	0	0	0	0	0	0	0	0
Satellite	0	0	0.003	0	0.001	0.003	0.014	0.019	0.065	0.153	0.159	0.209	0.115	0.033	0.027	0.017	0.023	0.05	0.048	0.033	0.017	0.006	0.001	0	0	0.001	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.004	0.052	0.079	0.114	0.057	0.044	0.052	0.004	0.022	0.013	0.017	0.013	0.044	0.013	0.026	0.057	0.031	0.039	0.022	0.013	0.013	0.013	0.013	0.022	0.031	0.039	0.022	0.031	0.035	0.035	0.017	0.009	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0
