Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	49-50
Low_complexity	0.0	0	0.0	0.002	0.001	0.001	0.005	0.009	0.01	0.012	0.022	0.026	0.035	0.034	0.043	0.058	0.065	0.06	0.068	0.067	0.067	0.066	0.056	0.053	0.054	0.041	0.034	0.029	0.025	0.017	0.013	0.009	0.007	0.004	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0
Unknown	0.002	0.001	0.004	0.006	0.008	0.012	0.016	0.021	0.027	0.031	0.036	0.039	0.042	0.047	0.051	0.053	0.055	0.057	0.057	0.056	0.057	0.053	0.049	0.046	0.04	0.035	0.028	0.023	0.017	0.012	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassII:TIR	0.001	0.001	0.003	0.006	0.011	0.014	0.017	0.022	0.029	0.03	0.033	0.036	0.038	0.04	0.043	0.047	0.049	0.054	0.055	0.056	0.058	0.055	0.051	0.049	0.044	0.039	0.032	0.026	0.021	0.015	0.01	0.007	0.005	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0
ClassI:LTR	0.006	0.002	0.006	0.008	0.008	0.013	0.016	0.021	0.027	0.032	0.033	0.035	0.037	0.039	0.041	0.044	0.045	0.048	0.049	0.05	0.053	0.052	0.053	0.051	0.047	0.043	0.038	0.031	0.024	0.017	0.012	0.008	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Simple_repeat	0.373	0.013	0.03	0.03	0.036	0.024	0.014	0.02	0.022	0.022	0.019	0.019	0.024	0.027	0.024	0.024	0.025	0.024	0.027	0.025	0.025	0.026	0.022	0.02	0.019	0.015	0.012	0.011	0.008	0.006	0.004	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ClassI:LINE	0.02	0.022	0.022	0.014	0.015	0.012	0.011	0.012	0.014	0.014	0.014	0.014	0.015	0.014	0.016	0.017	0.021	0.026	0.032	0.033	0.042	0.046	0.051	0.055	0.06	0.063	0.059	0.059	0.054	0.047	0.037	0.026	0.019	0.012	0.007	0.004	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0.006	0.013	0.006	0	0.006	0	0	0.013	0.013	0.037	0.062	0.062	0.056	0.05	0.069	0.069	0.069	0.125	0.062	0.087	0.025	0.031	0.037	0.019	0.037	0.013	0.019	0	0	0.006	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.025	0.014	0.023	0.038	0.032	0.037	0.045	0.027	0.031	0.023	0.051	0.048	0.052	0.062	0.055	0.058	0.045	0.045	0.039	0.035	0.045	0.035	0.018	0.023	0.014	0.018	0.011	0.013	0.01	0.006	0.011	0.004	0.001	0.001	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0
ClassI:SINE	0.013	0.004	0.027	0.021	0.015	0.033	0.013	0.015	0.021	0.031	0.027	0.021	0.013	0.019	0.019	0.019	0.017	0.023	0.021	0.067	0.027	0.038	0.046	0.054	0.044	0.065	0.046	0.069	0.067	0.021	0.04	0.01	0.023	0	0.01	0.002	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.0	0.001	0.001	0.003	0.003	0.006	0.007	0.009	0.008	0.012	0.01	0.023	0.028	0.055	0.06	0.081	0.076	0.071	0.073	0.063	0.047	0.043	0.044	0.045	0.04	0.034	0.034	0.027	0.026	0.028	0.017	0.01	0.007	0.004	0.003	0.0	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0	0	0.013	0.013	0.037	0.06	0.067	0.103	0.099	0.086	0.062	0.099	0.056	0.045	0.047	0.034	0.041	0.03	0.03	0.019	0.017	0.006	0.006	0	0.011	0.006	0.006	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0	0	0.002	0.002	0.005	0	0.004	0.007	0.005	0.012	0.005	0.027	0.042	0.058	0.072	0.087	0.133	0.101	0.118	0.104	0.078	0.069	0.032	0.011	0.018	0.007	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
