Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	46-47	50-51
Simple_repeat	0.347	0.007	0.021	0.033	0.049	0.03	0.017	0.026	0.03	0.03	0.022	0.021	0.027	0.031	0.025	0.024	0.025	0.023	0.025	0.022	0.023	0.022	0.02	0.017	0.017	0.014	0.011	0.01	0.008	0.006	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unknown	0.001	0.002	0.004	0.009	0.015	0.019	0.022	0.025	0.03	0.033	0.037	0.04	0.045	0.05	0.055	0.057	0.058	0.053	0.05	0.047	0.046	0.042	0.039	0.035	0.032	0.03	0.026	0.023	0.019	0.016	0.012	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0
ClassI:LTR	0.003	0.003	0.009	0.021	0.037	0.048	0.044	0.042	0.042	0.043	0.045	0.047	0.048	0.049	0.049	0.05	0.053	0.051	0.046	0.043	0.039	0.033	0.028	0.023	0.02	0.017	0.013	0.011	0.009	0.008	0.007	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassII:TIR	0.002	0.002	0.006	0.008	0.013	0.018	0.023	0.027	0.022	0.025	0.03	0.042	0.046	0.05	0.046	0.046	0.047	0.047	0.043	0.043	0.049	0.047	0.05	0.05	0.044	0.04	0.031	0.023	0.02	0.017	0.013	0.009	0.007	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0	0.0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.003	0.001	0.002	0.004	0.01	0.012	0.014	0.021	0.03	0.037	0.035	0.047	0.058	0.071	0.062	0.065	0.062	0.066	0.061	0.055	0.05	0.048	0.039	0.031	0.027	0.021	0.02	0.013	0.011	0.008	0.005	0.003	0.003	0.001	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0.0	0
ClassII:DNA_Polymerase	0	0	0	0.001	0	0.003	0.008	0.025	0.039	0.063	0.066	0.053	0.049	0.045	0.043	0.058	0.057	0.055	0.064	0.054	0.059	0.049	0.04	0.04	0.04	0.029	0.025	0.025	0.006	0.003	0.003	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.003	0.003	0.009	0.023	0.03	0.021	0.02	0.02	0.015	0.016	0.022	0.023	0.029	0.037	0.041	0.048	0.047	0.048	0.055	0.041	0.051	0.048	0.045	0.045	0.043	0.045	0.037	0.035	0.03	0.024	0.018	0.013	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:SINE	0.005	0.001	0.002	0.002	0.001	0.002	0.002	0.004	0.006	0.005	0.005	0.004	0.011	0.015	0.021	0.03	0.028	0.035	0.031	0.032	0.045	0.055	0.059	0.062	0.068	0.083	0.076	0.07	0.067	0.049	0.041	0.036	0.019	0.015	0.006	0.005	0.0	0.001	0.0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.003	0.005	0	0.005	0.012	0.009	0.012	0.029	0.034	0.055	0.056	0.099	0.106	0.077	0.099	0.104	0.075	0.05	0.041	0.026	0.026	0.032	0.021	0.009	0.009	0	0.005	0	0	0	0	0	0	0
Pseudogene:RNA	0.027	0.027	0.027	0.013	0.04	0.053	0	0.067	0.067	0.027	0.053	0.053	0.04	0.04	0.053	0.067	0.027	0.04	0.04	0.04	0.04	0.013	0.053	0.027	0.013	0	0.04	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0.003	0	0.003	0.003	0.01	0.02	0.01	0.02	0.014	0.01	0.034	0.112	0.119	0.153	0.075	0.051	0.034	0.027	0.017	0.037	0.024	0.02	0.02	0	0.017	0.02	0.007	0.01	0.024	0.007	0.027	0.034	0.034	0.003	0	0	0	0	0	0	0	0	0	0	0	0
