Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	51-52	52-53	54-55	68-69
Simple_repeat	0.373	0.011	0.022	0.032	0.045	0.032	0.019	0.025	0.029	0.028	0.022	0.021	0.025	0.03	0.024	0.022	0.023	0.021	0.023	0.021	0.02	0.021	0.019	0.016	0.016	0.013	0.01	0.009	0.007	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0	0.0	0
ClassI:LTR	0.009	0.006	0.013	0.022	0.026	0.033	0.033	0.035	0.038	0.042	0.045	0.047	0.051	0.056	0.058	0.057	0.056	0.053	0.049	0.043	0.038	0.031	0.027	0.023	0.018	0.015	0.014	0.012	0.012	0.009	0.008	0.006	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0.033	0.01	0.016	0.022	0.033	0.028	0.023	0.021	0.027	0.027	0.031	0.034	0.037	0.04	0.043	0.047	0.048	0.05	0.047	0.046	0.045	0.041	0.039	0.035	0.031	0.029	0.024	0.02	0.018	0.014	0.012	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.066	0.009	0.027	0.024	0.042	0.029	0.015	0.012	0.013	0.015	0.016	0.018	0.025	0.026	0.034	0.045	0.054	0.061	0.063	0.061	0.054	0.047	0.042	0.037	0.031	0.026	0.023	0.019	0.017	0.013	0.011	0.008	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.003	0.001	0.002	0.005	0.01	0.011	0.013	0.022	0.03	0.039	0.034	0.044	0.063	0.069	0.062	0.066	0.064	0.061	0.058	0.055	0.047	0.049	0.039	0.033	0.03	0.022	0.018	0.013	0.012	0.007	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ClassI:LINE	0.009	0.006	0.024	0.038	0.022	0.014	0.011	0.018	0.017	0.02	0.029	0.029	0.031	0.038	0.043	0.04	0.045	0.048	0.049	0.052	0.053	0.062	0.046	0.041	0.038	0.037	0.034	0.026	0.024	0.021	0.013	0.009	0.006	0.003	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.196	0.023	0.05	0.114	0.142	0.106	0.047	0.02	0.008	0.006	0.01	0.009	0.007	0.007	0.001	0.005	0.006	0.008	0.007	0.007	0.007	0.007	0.008	0.007	0.009	0.016	0.014	0.018	0.018	0.022	0.026	0.022	0.013	0.01	0.013	0.007	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.038	0.009	0.018	0.045	0.034	0.029	0.016	0.01	0.008	0.026	0.008	0.013	0.01	0.014	0.015	0.017	0.024	0.023	0.026	0.029	0.052	0.043	0.043	0.048	0.04	0.052	0.055	0.056	0.047	0.046	0.037	0.021	0.018	0.012	0.008	0.005	0.002	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.003	0	0.004	0	0.009	0.018	0.022	0.056	0.061	0.071	0.086	0.062	0.081	0.082	0.061	0.069	0.056	0.052	0.046	0.039	0.023	0.029	0.02	0.012	0.012	0.01	0.003	0.006	0.002	0.002	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.383	0.064	0.12	0.04	0.074	0.085	0.046	0.02	0.01	0.007	0.006	0.008	0.01	0.005	0.01	0.008	0.008	0.006	0.008	0.011	0.007	0.011	0.007	0.01	0.005	0.006	0.004	0.004	0.004	0.003	0.003	0.002	0.0	0.001	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.002	0.002	0.005	0.012	0.025	0.045	0.064	0.094	0.089	0.124	0.111	0.101	0.087	0.077	0.042	0.04	0.037	0.017	0.012	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.128	0.018	0.022	0.023	0.052	0.054	0.038	0.008	0.005	0.003	0.005	0.004	0.0	0.002	0.003	0.005	0.001	0.007	0.007	0.011	0.243	0.024	0.017	0.032	0.026	0.146	0.044	0.019	0.015	0.008	0.008	0.002	0.009	0.001	0.0	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
