Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	49-50	50-51
Simple_repeat	0.345	0.009	0.036	0.031	0.049	0.035	0.021	0.026	0.03	0.028	0.021	0.02	0.025	0.029	0.024	0.022	0.024	0.021	0.024	0.021	0.022	0.021	0.018	0.016	0.016	0.014	0.01	0.01	0.008	0.006	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ClassII:TIR	0.003	0.003	0.007	0.008	0.008	0.015	0.023	0.033	0.031	0.026	0.028	0.036	0.04	0.038	0.043	0.047	0.055	0.057	0.062	0.066	0.078	0.067	0.054	0.039	0.029	0.024	0.018	0.015	0.012	0.009	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LINE	0.014	0.036	0.059	0.05	0.03	0.022	0.014	0.014	0.021	0.03	0.033	0.035	0.036	0.035	0.035	0.039	0.043	0.039	0.04	0.034	0.037	0.04	0.038	0.039	0.034	0.034	0.031	0.027	0.021	0.014	0.01	0.007	0.004	0.003	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
Unknown	0.002	0.002	0.007	0.013	0.017	0.018	0.021	0.025	0.027	0.028	0.028	0.033	0.038	0.045	0.051	0.056	0.057	0.056	0.055	0.051	0.05	0.045	0.043	0.038	0.033	0.031	0.026	0.023	0.019	0.016	0.013	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0
ClassI:LTR	0.002	0.004	0.014	0.028	0.038	0.041	0.041	0.041	0.043	0.045	0.049	0.051	0.05	0.048	0.047	0.048	0.048	0.049	0.049	0.044	0.038	0.033	0.027	0.024	0.019	0.016	0.014	0.01	0.009	0.008	0.006	0.005	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
Low_complexity	0.0	0	0.0	0.003	0.001	0.002	0.005	0.011	0.011	0.014	0.019	0.029	0.039	0.036	0.046	0.059	0.067	0.061	0.069	0.064	0.065	0.061	0.055	0.049	0.047	0.038	0.032	0.03	0.02	0.02	0.012	0.012	0.008	0.004	0.003	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0.0
ClassI:SINE	0.001	0.005	0.007	0.002	0.006	0.01	0.01	0.015	0.016	0.019	0.023	0.025	0.022	0.022	0.032	0.027	0.034	0.032	0.036	0.035	0.041	0.045	0.05	0.046	0.049	0.061	0.052	0.057	0.05	0.044	0.038	0.021	0.027	0.018	0.012	0.004	0.002	0.002	0.0	0.0	0	0	0	0	0	0	0
ClassI:DIRS	0.001	0	0	0	0.0	0.001	0.002	0.003	0.005	0.009	0.012	0.018	0.02	0.034	0.045	0.051	0.07	0.078	0.081	0.075	0.086	0.064	0.059	0.059	0.045	0.054	0.034	0.027	0.025	0.018	0.01	0.007	0.003	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.028	0	0.014	0.025	0.017	0.019	0.03	0.047	0.099	0.149	0.069	0.08	0.072	0.03	0.017	0.025	0.033	0.055	0.05	0.019	0.03	0.017	0.011	0.008	0.006	0.006	0.017	0.008	0.008	0.003	0.003	0.003	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0.008	0	0.008	0.008	0	0.016	0.025	0.033	0.041	0.057	0.049	0.057	0.09	0.082	0.09	0.066	0.098	0.074	0.041	0.016	0.033	0.008	0.016	0.008	0.016	0.025	0.016	0.008	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.003	0.008	0.025	0.042	0.063	0.091	0.119	0.116	0.131	0.136	0.086	0.047	0.031	0.018	0.013	0.011	0.009	0.007	0.005	0.004	0.006	0.003	0.002	0.004	0.003	0.002	0.005	0.002	0.002	0.001	0.001	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0.021	0.036	0.05	0.007	0.007	0.029	0.043	0.021	0.021	0.021	0.021	0.029	0.029	0.007	0.057	0.021	0.043	0.043	0.036	0.086	0.021	0.05	0.05	0.05	0.029	0.021	0.036	0.014	0.029	0.021	0.007	0.014	0.007	0.021	0	0	0	0	0	0	0	0	0	0	0	0
