Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	50-51	53-54
ClassI:LTR	0.004	0.005	0.009	0.013	0.018	0.025	0.027	0.032	0.034	0.037	0.039	0.041	0.041	0.042	0.045	0.047	0.049	0.05	0.05	0.047	0.045	0.04	0.036	0.034	0.032	0.031	0.029	0.025	0.021	0.016	0.011	0.008	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Simple_repeat	0.258	0.006	0.015	0.029	0.05	0.033	0.018	0.029	0.036	0.036	0.028	0.027	0.035	0.04	0.033	0.03	0.03	0.028	0.029	0.027	0.027	0.025	0.023	0.02	0.02	0.015	0.012	0.011	0.008	0.006	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0
Unknown	0.014	0.02	0.026	0.026	0.03	0.032	0.034	0.038	0.044	0.047	0.05	0.052	0.052	0.053	0.052	0.051	0.049	0.047	0.043	0.039	0.038	0.032	0.027	0.024	0.019	0.016	0.012	0.009	0.007	0.005	0.004	0.003	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:TIR	0.009	0.017	0.023	0.03	0.037	0.04	0.041	0.042	0.048	0.052	0.054	0.052	0.053	0.053	0.051	0.049	0.046	0.045	0.041	0.036	0.034	0.031	0.026	0.021	0.016	0.013	0.011	0.009	0.007	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.003	0.001	0.002	0.005	0.01	0.013	0.014	0.023	0.029	0.04	0.037	0.049	0.065	0.072	0.065	0.068	0.064	0.064	0.059	0.054	0.048	0.044	0.037	0.029	0.025	0.02	0.015	0.013	0.009	0.007	0.005	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ClassI:LINE	0.01	0.008	0.011	0.017	0.019	0.022	0.02	0.021	0.02	0.021	0.021	0.022	0.022	0.026	0.027	0.027	0.03	0.03	0.03	0.03	0.034	0.036	0.042	0.044	0.051	0.061	0.064	0.063	0.056	0.043	0.03	0.02	0.012	0.007	0.004	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.041	0.019	0.017	0.019	0.025	0.035	0.023	0.022	0.024	0.02	0.03	0.027	0.031	0.033	0.039	0.055	0.059	0.071	0.07	0.086	0.088	0.066	0.043	0.022	0.013	0.007	0.004	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.013	0.017	0.028	0.033	0.041	0.043	0.047	0.043	0.041	0.039	0.043	0.038	0.037	0.033	0.037	0.035	0.035	0.032	0.037	0.033	0.033	0.03	0.027	0.029	0.027	0.025	0.021	0.023	0.02	0.016	0.015	0.009	0.007	0.005	0.004	0.002	0.001	0.001	0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0	0	0	0.001	0.005	0.004	0.005	0.007	0.008	0.008	0.007	0.02	0.017	0.038	0.044	0.071	0.145	0.158	0.144	0.102	0.076	0.05	0.03	0.007	0.014	0.009	0.002	0.004	0.006	0.003	0.006	0.005	0.003	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.042	0.016	0.019	0.032	0.031	0.032	0.055	0.04	0.059	0.056	0.054	0.058	0.055	0.046	0.048	0.04	0.035	0.032	0.032	0.03	0.036	0.03	0.025	0.02	0.017	0.019	0.014	0.01	0.004	0.004	0.004	0.001	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.033	0.272	0.375	0.219	0.056	0.014	0.008	0	0	0.002	0.008	0.006	0.002	0.004	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
