Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	62-63
ClassI:LTR	0.008	0.015	0.023	0.028	0.031	0.034	0.037	0.039	0.038	0.039	0.042	0.045	0.047	0.046	0.045	0.044	0.043	0.043	0.043	0.042	0.04	0.038	0.034	0.03	0.026	0.022	0.018	0.016	0.013	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Unknown	0.006	0.009	0.018	0.023	0.029	0.032	0.034	0.038	0.041	0.041	0.045	0.047	0.048	0.049	0.05	0.049	0.05	0.049	0.048	0.045	0.045	0.04	0.035	0.031	0.025	0.022	0.017	0.012	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0
ClassII:TIR	0.002	0.004	0.01	0.016	0.023	0.029	0.035	0.031	0.031	0.033	0.036	0.038	0.041	0.043	0.046	0.046	0.047	0.048	0.047	0.047	0.05	0.047	0.045	0.042	0.037	0.032	0.026	0.02	0.016	0.012	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0.0	0	0	0	0	0
ClassI:LINE	0.001	0.005	0.008	0.006	0.007	0.011	0.012	0.011	0.011	0.012	0.013	0.012	0.013	0.015	0.017	0.02	0.02	0.029	0.037	0.042	0.054	0.059	0.071	0.082	0.089	0.081	0.072	0.061	0.045	0.032	0.021	0.013	0.008	0.004	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.228	0.008	0.021	0.029	0.058	0.047	0.017	0.028	0.035	0.036	0.026	0.024	0.031	0.037	0.029	0.027	0.03	0.027	0.03	0.026	0.029	0.026	0.024	0.021	0.022	0.018	0.014	0.012	0.011	0.009	0.006	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
ClassII:Rolling_Circle	0.001	0.005	0.015	0.027	0.027	0.019	0.022	0.022	0.026	0.035	0.037	0.043	0.047	0.043	0.046	0.046	0.045	0.048	0.053	0.056	0.051	0.048	0.046	0.043	0.036	0.032	0.022	0.018	0.012	0.007	0.006	0.003	0.005	0.003	0.001	0.001	0.0	0	0	0.0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.001	0.001	0.004	0.01	0.011	0.014	0.023	0.028	0.035	0.038	0.046	0.058	0.067	0.059	0.068	0.066	0.061	0.058	0.055	0.048	0.05	0.039	0.034	0.029	0.025	0.019	0.016	0.01	0.01	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0.0	0
ClassI:SINE	0.008	0.005	0.003	0.011	0.014	0.019	0.022	0.024	0.026	0.025	0.033	0.034	0.038	0.041	0.051	0.058	0.066	0.062	0.062	0.07	0.078	0.06	0.046	0.042	0.028	0.022	0.016	0.01	0.011	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0.001	0.001	0.002	0.002	0.005	0.008	0.004	0.005	0.011	0.012	0.019	0.034	0.044	0.066	0.079	0.075	0.076	0.073	0.08	0.076	0.062	0.067	0.057	0.049	0.037	0.023	0.016	0.009	0.005	0.003	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0	0.001	0.004	0.001	0.005	0.007	0.014	0.013	0.006	0.01	0.01	0.014	0.028	0.026	0.03	0.042	0.055	0.067	0.071	0.07	0.093	0.089	0.072	0.072	0.057	0.05	0.032	0.032	0.017	0.007	0.005	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.002	0.004	0.006	0.005	0.007	0.007	0.013	0.006	0.008	0.015	0.014	0.021	0.034	0.051	0.09	0.097	0.114	0.103	0.098	0.092	0.056	0.049	0.044	0.028	0.015	0.009	0.007	0.005	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.012	0.014	0.004	0.006	0.015	0.013	0.009	0.02	0.019	0.016	0.026	0.024	0.025	0.032	0.066	0.048	0.046	0.055	0.055	0.061	0.065	0.048	0.067	0.055	0.051	0.045	0.035	0.027	0.015	0.014	0.006	0.005	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.026	0.008	0.025	0.017	0.026	0.023	0.023	0.038	0.072	0.059	0.053	0.07	0.055	0.059	0.047	0.038	0.042	0.04	0.038	0.021	0.038	0.015	0.034	0.03	0.021	0.025	0.009	0.011	0.011	0.017	0.006	0.004	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0	0.004	0.012	0.004	0	0.016	0.012	0.008	0.043	0	0.008	0.02	0.031	0.047	0.039	0.047	0.055	0.055	0.075	0.031	0.075	0.055	0.09	0.055	0.082	0.039	0.016	0.008	0.024	0	0	0.008	0.004	0.024	0.012	0.004	0	0	0	0	0	0	0	0
