Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	49-50	50-51	51-52
ClassI:LTR	0.003	0.006	0.013	0.02	0.033	0.045	0.052	0.058	0.058	0.056	0.053	0.05	0.045	0.041	0.039	0.038	0.037	0.037	0.036	0.035	0.035	0.033	0.029	0.025	0.022	0.02	0.017	0.015	0.012	0.01	0.008	0.006	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.171	0.003	0.014	0.025	0.045	0.041	0.019	0.029	0.034	0.037	0.027	0.028	0.035	0.044	0.034	0.032	0.036	0.032	0.037	0.032	0.034	0.032	0.028	0.024	0.026	0.02	0.017	0.015	0.012	0.009	0.007	0.006	0.005	0.003	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Low_complexity	0.0	0.0	0.0	0.003	0.001	0.003	0.005	0.01	0.011	0.014	0.027	0.028	0.037	0.034	0.047	0.062	0.072	0.061	0.073	0.067	0.064	0.063	0.053	0.047	0.048	0.04	0.028	0.027	0.021	0.015	0.013	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Unknown	0.003	0.004	0.01	0.013	0.019	0.026	0.032	0.038	0.044	0.047	0.052	0.052	0.053	0.054	0.054	0.054	0.053	0.051	0.048	0.044	0.041	0.038	0.035	0.03	0.025	0.022	0.017	0.012	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.063	0.075	0.113	0.109	0.025	0.033	0.029	0.033	0.013	0.004	0.021	0.017	0.021	0.008	0.004	0.013	0.017	0.017	0.033	0.013	0.013	0.017	0.013	0.067	0.054	0.05	0.042	0.013	0.013	0.008	0.004	0.004	0.008	0.017	0	0.008	0	0	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.003	0.009	0.013	0.013	0.018	0.02	0.025	0.031	0.032	0.038	0.043	0.047	0.048	0.048	0.043	0.04	0.041	0.042	0.043	0.042	0.04	0.037	0.036	0.036	0.034	0.037	0.035	0.03	0.025	0.019	0.013	0.009	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.002	0.007	0.017	0.008	0.01	0.008	0.006	0.007	0.01	0.012	0.015	0.018	0.023	0.027	0.032	0.036	0.038	0.04	0.04	0.044	0.048	0.056	0.064	0.073	0.079	0.076	0.066	0.052	0.037	0.023	0.014	0.006	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.001	0.001	0.002	0.005	0.023	0.052	0.083	0.083	0.109	0.099	0.083	0.068	0.051	0.044	0.033	0.027	0.028	0.032	0.032	0.038	0.027	0.025	0.024	0.013	0.009	0.004	0.001	0.003	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.0	0.0	0.003	0.006	0.01	0.03	0.049	0.041	0.051	0.055	0.056	0.04	0.035	0.035	0.042	0.037	0.029	0.027	0.026	0.023	0.026	0.031	0.032	0.033	0.032	0.034	0.029	0.031	0.029	0.03	0.031	0.025	0.018	0.013	0.006	0.003	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.001	0	0.0	0.0	0.0	0.003	0.001	0.031	0.014	0.007	0.006	0.013	0.02	0.051	0.107	0.128	0.103	0.055	0.076	0.076	0.043	0.04	0.051	0.045	0.029	0.031	0.028	0.02	0.015	0.002	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.0	0.0	0.003	0.002	0.01	0.015	0.023	0.036	0.054	0.055	0.049	0.045	0.047	0.038	0.041	0.046	0.055	0.047	0.054	0.052	0.059	0.053	0.053	0.05	0.036	0.029	0.019	0.018	0.004	0.004	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.002	0.001	0.007	0.011	0.014	0.021	0.058	0.097	0.139	0.128	0.087	0.056	0.028	0.022	0.017	0.014	0.011	0.015	0.024	0.026	0.026	0.022	0.036	0.03	0.025	0.027	0.013	0.016	0.009	0.004	0.012	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
