Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44
Unknown	0.017	0.027	0.04	0.045	0.051	0.057	0.055	0.055	0.054	0.05	0.048	0.045	0.042	0.041	0.04	0.038	0.036	0.034	0.032	0.029	0.028	0.024	0.021	0.018	0.015	0.014	0.011	0.008	0.007	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassI:LTR	0.012	0.029	0.037	0.047	0.059	0.074	0.077	0.076	0.062	0.05	0.036	0.034	0.032	0.028	0.026	0.025	0.024	0.024	0.022	0.021	0.023	0.021	0.019	0.02	0.018	0.018	0.018	0.016	0.013	0.011	0.009	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0
Simple_repeat	0.288	0.004	0.011	0.027	0.057	0.04	0.017	0.029	0.038	0.039	0.026	0.026	0.034	0.041	0.03	0.026	0.028	0.024	0.026	0.024	0.024	0.022	0.02	0.018	0.017	0.013	0.011	0.01	0.008	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0
ClassII:TIR	0.026	0.044	0.048	0.049	0.044	0.047	0.042	0.045	0.04	0.04	0.039	0.037	0.038	0.037	0.035	0.035	0.034	0.034	0.032	0.028	0.029	0.025	0.024	0.024	0.021	0.018	0.017	0.015	0.011	0.01	0.01	0.007	0.005	0.004	0.001	0.001	0.0	0.0	0	0.0	0	0	0	0
ClassI:LINE	0.008	0.035	0.038	0.032	0.03	0.025	0.024	0.026	0.025	0.022	0.024	0.023	0.024	0.027	0.027	0.027	0.028	0.029	0.027	0.029	0.038	0.036	0.036	0.042	0.042	0.047	0.047	0.043	0.038	0.034	0.022	0.017	0.011	0.007	0.004	0.002	0.001	0.0	0.0	0	0	0	0	0
Low_complexity	0.001	0	0.001	0.002	0.001	0.002	0.007	0.012	0.01	0.014	0.022	0.032	0.041	0.033	0.048	0.065	0.069	0.064	0.072	0.067	0.063	0.064	0.054	0.046	0.04	0.037	0.026	0.026	0.023	0.015	0.014	0.009	0.008	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0.0
ClassII:Rolling_Circle	0.031	0.03	0.05	0.036	0.043	0.039	0.035	0.029	0.022	0.027	0.028	0.036	0.028	0.032	0.028	0.029	0.028	0.024	0.032	0.029	0.033	0.04	0.029	0.031	0.029	0.024	0.022	0.026	0.028	0.022	0.022	0.018	0.017	0.011	0.007	0.002	0.003	0.0	0	0	0	0	0	0
ClassI:SINE	0.025	0.055	0.049	0.071	0.071	0.07	0.069	0.065	0.059	0.057	0.051	0.048	0.042	0.043	0.027	0.03	0.021	0.02	0.024	0.019	0.017	0.013	0.012	0.01	0.008	0.008	0.005	0.004	0.001	0.002	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Satellite	0.057	0.032	0.017	0.031	0.015	0.024	0.024	0.019	0.029	0.043	0.046	0.038	0.064	0.041	0.051	0.083	0.055	0.073	0.061	0.047	0.05	0.028	0.023	0.013	0.006	0.013	0.003	0.005	0.003	0.001	0.001	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.13	0.028	0.033	0.05	0.017	0.021	0.038	0.047	0.047	0.102	0.09	0.057	0.031	0.045	0.035	0.033	0.026	0.009	0.012	0.017	0.026	0.019	0.026	0.005	0.002	0.009	0.007	0.007	0.014	0.007	0.007	0	0	0	0	0	0.002	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0.011	0.023	0.034	0	0.08	0.034	0.011	0.023	0.034	0.057	0	0.011	0	0.092	0.023	0.046	0.023	0.023	0	0	0.034	0.034	0.115	0.126	0.149	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0.008	0.015	0.008	0.023	0.099	0.061	0.122	0.069	0.053	0.076	0.13	0.076	0.038	0.053	0.038	0.031	0.015	0.015	0.015	0.015	0.008	0.008	0.015	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
