Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45
Simple_repeat	0.087	0.005	0.015	0.023	0.035	0.023	0.013	0.026	0.03	0.033	0.029	0.031	0.043	0.042	0.042	0.043	0.043	0.045	0.047	0.042	0.047	0.042	0.035	0.032	0.033	0.027	0.02	0.019	0.014	0.01	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unknown	0.012	0.014	0.022	0.026	0.03	0.035	0.036	0.036	0.037	0.037	0.039	0.039	0.042	0.044	0.045	0.047	0.048	0.049	0.048	0.046	0.048	0.045	0.037	0.033	0.027	0.022	0.017	0.013	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.0	0.002	0.006	0.009	0.009	0.012	0.026	0.03	0.044	0.037	0.048	0.055	0.064	0.071	0.061	0.057	0.067	0.064	0.06	0.048	0.051	0.041	0.028	0.028	0.024	0.018	0.014	0.008	0.006	0.003	0.003	0.002	0.001	0.0	0.0	0.0	0	0.0	0.0	0.0	0
ClassII:TIR	0.008	0.015	0.019	0.021	0.023	0.028	0.03	0.027	0.031	0.033	0.034	0.033	0.035	0.036	0.037	0.039	0.041	0.043	0.044	0.043	0.047	0.045	0.043	0.043	0.037	0.034	0.03	0.026	0.024	0.016	0.014	0.009	0.006	0.004	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LTR	0.009	0.016	0.026	0.033	0.034	0.036	0.038	0.038	0.037	0.033	0.037	0.036	0.036	0.035	0.034	0.034	0.035	0.036	0.037	0.039	0.04	0.039	0.037	0.035	0.032	0.033	0.029	0.024	0.021	0.016	0.013	0.01	0.005	0.004	0.002	0.002	0.001	0.0	0.0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.057	0.064	0.065	0.046	0.028	0.025	0.018	0.02	0.016	0.015	0.009	0.016	0.018	0.019	0.025	0.021	0.028	0.035	0.033	0.032	0.047	0.037	0.037	0.043	0.045	0.041	0.031	0.033	0.025	0.023	0.018	0.01	0.007	0.004	0.005	0.003	0.0	0.0	0	0	0	0	0	0	0
ClassI:LINE	0.002	0.004	0.009	0.011	0.013	0.013	0.015	0.015	0.016	0.013	0.017	0.023	0.021	0.025	0.026	0.024	0.028	0.032	0.033	0.031	0.039	0.043	0.048	0.047	0.054	0.058	0.065	0.058	0.05	0.051	0.048	0.029	0.018	0.01	0.007	0.004	0.002	0.001	0	0	0	0	0	0	0
ClassI:PLE	0	0.006	0.003	0.017	0.03	0.025	0.028	0.019	0.048	0.048	0.027	0.034	0.05	0.028	0.044	0.031	0.025	0.022	0.039	0.036	0.042	0.047	0.067	0.064	0.039	0.061	0.041	0.03	0.017	0.017	0.008	0.005	0	0.002	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.042	0.015	0.02	0.019	0.024	0.027	0.02	0.027	0.021	0.016	0.008	0.021	0.021	0.034	0.034	0.055	0.048	0.046	0.039	0.043	0.055	0.066	0.039	0.021	0.027	0.043	0.032	0.042	0.024	0.025	0.007	0.012	0.008	0.008	0.005	0.001	0.001	0.001	0.003	0	0	0	0	0	0
Satellite	0.035	0.033	0.025	0.039	0.039	0.023	0.021	0.023	0.025	0.031	0.019	0.043	0.019	0.01	0.021	0.025	0.018	0.039	0.076	0.043	0.062	0.078	0.074	0.053	0.033	0.016	0.021	0.016	0.01	0.012	0.004	0.002	0.004	0.008	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.254	0.104	0.072	0.054	0.097	0.014	0.004	0.018	0.014	0.014	0.011	0.014	0.014	0.007	0	0.039	0.025	0.047	0.007	0.007	0.025	0.018	0.036	0.039	0.022	0.018	0.007	0.007	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.048	0.011	0	0.005	0	0	0.016	0.016	0.074	0.069	0.005	0.016	0.016	0.042	0.106	0.085	0.021	0.032	0.021	0.058	0.016	0.026	0.032	0.032	0.116	0.048	0	0.032	0.016	0.011	0.016	0.005	0	0	0.005	0	0.005	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.016	0	0.008	0.008	0.008	0.008	0.031	0.063	0.094	0.055	0.11	0.039	0.071	0.047	0.055	0.031	0.016	0.047	0.031	0.055	0.024	0.031	0.063	0.039	0.016	0.024	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0.052	0.052	0.034	0.052	0.121	0.034	0.086	0.069	0.086	0.069	0.103	0.017	0.052	0.052	0.017	0.034	0	0.052	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
