Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	49-50	50-51	51-52	52-53	53-54	54-55	55-56	57-58	58-59	60-61
Simple_repeat	0.166	0.0	0.004	0.029	0.049	0.039	0.017	0.032	0.044	0.047	0.037	0.033	0.044	0.053	0.041	0.033	0.036	0.031	0.033	0.031	0.031	0.03	0.025	0.022	0.021	0.016	0.012	0.011	0.009	0.006	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0.017	0.002	0.013	0.025	0.016	0.03	0.038	0.038	0.047	0.047	0.054	0.054	0.053	0.058	0.055	0.055	0.054	0.051	0.048	0.041	0.041	0.034	0.029	0.024	0.019	0.017	0.012	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
Low_complexity	0.0	0	0.0	0.002	0.001	0.001	0.004	0.009	0.011	0.012	0.02	0.026	0.038	0.034	0.044	0.07	0.083	0.065	0.073	0.07	0.066	0.063	0.057	0.051	0.046	0.035	0.03	0.024	0.019	0.013	0.012	0.008	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.003	0.001	0.005	0.005	0.006	0.012	0.014	0.016	0.02	0.023	0.027	0.031	0.032	0.035	0.036	0.038	0.041	0.041	0.04	0.041	0.046	0.045	0.049	0.049	0.048	0.054	0.05	0.048	0.043	0.036	0.025	0.019	0.012	0.007	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.007	0.001	0.011	0.014	0.015	0.03	0.034	0.039	0.05	0.051	0.059	0.059	0.059	0.062	0.057	0.056	0.051	0.049	0.044	0.038	0.036	0.031	0.028	0.024	0.019	0.018	0.014	0.012	0.009	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0
ClassII:TIR	0.004	0.001	0.008	0.008	0.013	0.021	0.025	0.031	0.039	0.043	0.053	0.053	0.052	0.051	0.052	0.052	0.05	0.05	0.048	0.043	0.043	0.04	0.037	0.035	0.028	0.026	0.018	0.017	0.016	0.012	0.009	0.009	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.01	0.003	0.014	0.02	0.023	0.04	0.035	0.039	0.044	0.047	0.05	0.053	0.05	0.047	0.045	0.038	0.032	0.038	0.031	0.035	0.033	0.032	0.033	0.032	0.028	0.022	0.025	0.028	0.023	0.017	0.02	0.007	0.004	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.02	0.005	0.025	0.025	0.01	0.03	0.025	0.025	0.061	0.04	0.101	0.096	0.071	0.076	0.081	0.051	0.035	0.025	0.02	0.03	0.01	0.03	0.02	0.015	0.015	0.015	0.005	0.02	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.013	0.001	0.034	0.041	0.025	0.049	0.068	0.056	0.086	0.076	0.061	0.075	0.053	0.041	0.041	0.041	0.039	0.019	0.021	0.023	0.015	0.023	0.016	0.02	0.014	0.013	0.01	0.009	0.003	0.001	0.003	0.001	0.001	0.003	0.001	0.001	0	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.031	0	0	0	0.062	0.047	0.016	0.016	0.031	0.047	0.031	0.031	0.047	0	0.016	0.047	0.031	0.062	0.016	0.031	0.078	0.078	0.047	0.016	0.016	0.062	0.031	0.016	0.062	0	0.016	0	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
