Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	55-56
ClassI:LINE	0.0	0.0	0.001	0.001	0.002	0.003	0.002	0.004	0.005	0.006	0.008	0.01	0.013	0.016	0.02	0.023	0.027	0.033	0.037	0.041	0.049	0.052	0.061	0.066	0.073	0.084	0.083	0.078	0.068	0.05	0.035	0.022	0.013	0.006	0.003	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0
Unknown	0.008	0.001	0.007	0.004	0.007	0.01	0.013	0.015	0.019	0.022	0.028	0.034	0.039	0.048	0.055	0.059	0.064	0.068	0.07	0.068	0.068	0.06	0.052	0.044	0.036	0.029	0.022	0.015	0.012	0.008	0.006	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Simple_repeat	0.196	0.002	0.014	0.027	0.045	0.035	0.017	0.028	0.037	0.041	0.029	0.029	0.04	0.049	0.036	0.032	0.035	0.03	0.035	0.032	0.032	0.031	0.028	0.023	0.022	0.017	0.013	0.012	0.01	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.001	0.001	0.002	0.004	0.006	0.009	0.011	0.015	0.018	0.022	0.028	0.034	0.043	0.054	0.065	0.073	0.078	0.077	0.072	0.066	0.059	0.049	0.043	0.036	0.03	0.026	0.021	0.016	0.013	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0
ClassI:LTR	0.002	0.002	0.006	0.008	0.01	0.015	0.017	0.02	0.024	0.027	0.031	0.033	0.036	0.04	0.043	0.046	0.048	0.05	0.052	0.052	0.053	0.05	0.046	0.043	0.04	0.039	0.035	0.03	0.027	0.022	0.018	0.013	0.009	0.006	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.0	0.002	0.005	0.008	0.009	0.012	0.019	0.025	0.032	0.033	0.039	0.064	0.076	0.062	0.073	0.071	0.07	0.068	0.059	0.051	0.047	0.038	0.03	0.027	0.023	0.016	0.011	0.009	0.006	0.004	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0
ClassII:Rolling_Circle	0	0.0	0.0	0.001	0.001	0.003	0.004	0.007	0.005	0.011	0.008	0.013	0.01	0.015	0.02	0.026	0.025	0.038	0.041	0.038	0.05	0.061	0.061	0.075	0.085	0.078	0.069	0.057	0.056	0.035	0.033	0.024	0.017	0.014	0.008	0.006	0.003	0.001	0.0	0.0	0	0	0	0	0	0	0
Pseudogene:RNA	0	0.012	0.004	0	0.004	0.004	0	0	0.004	0	0.008	0.021	0.012	0.037	0.029	0.054	0.025	0.037	0.029	0.033	0.05	0.05	0.045	0.037	0.033	0.062	0.074	0.05	0.07	0.054	0.062	0.045	0.033	0.012	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.006	0.003	0.013	0.011	0.018	0.017	0.017	0.016	0.019	0.019	0.019	0.02	0.026	0.031	0.038	0.042	0.045	0.051	0.069	0.065	0.076	0.06	0.049	0.049	0.042	0.032	0.035	0.026	0.02	0.016	0.019	0.013	0.007	0.006	0.002	0	0	0	0	0.0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0	0	0.005	0	0.005	0.01	0.005	0.005	0.01	0.005	0	0.039	0.082	0.126	0.101	0.063	0.034	0.053	0.072	0.058	0.116	0.077	0.048	0.039	0.019	0.014	0.01	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0
