Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	47-48
Simple_repeat	0.262	0.006	0.018	0.029	0.043	0.032	0.016	0.027	0.034	0.035	0.027	0.026	0.035	0.043	0.033	0.027	0.031	0.027	0.03	0.028	0.028	0.028	0.024	0.021	0.02	0.016	0.013	0.011	0.009	0.006	0.005	0.004	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.002	0.003	0.006	0.008	0.013	0.017	0.018	0.019	0.022	0.025	0.031	0.037	0.045	0.055	0.061	0.07	0.073	0.073	0.068	0.061	0.057	0.048	0.04	0.035	0.027	0.023	0.017	0.013	0.01	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.001	0.001	0.002	0.005	0.008	0.009	0.013	0.019	0.027	0.035	0.032	0.041	0.067	0.076	0.063	0.073	0.068	0.067	0.066	0.057	0.051	0.047	0.037	0.03	0.027	0.023	0.016	0.011	0.01	0.006	0.005	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LINE	0.0	0.0	0.001	0.001	0.002	0.002	0.003	0.005	0.007	0.011	0.014	0.018	0.019	0.023	0.027	0.032	0.036	0.041	0.044	0.048	0.05	0.051	0.058	0.061	0.067	0.068	0.064	0.061	0.054	0.041	0.035	0.024	0.014	0.009	0.005	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.002	0.004	0.009	0.012	0.015	0.018	0.02	0.024	0.027	0.03	0.033	0.034	0.036	0.038	0.04	0.04	0.042	0.041	0.041	0.042	0.044	0.043	0.042	0.041	0.039	0.043	0.042	0.042	0.035	0.026	0.019	0.013	0.009	0.006	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Unknown	0.004	0.004	0.007	0.009	0.011	0.013	0.015	0.018	0.02	0.023	0.029	0.035	0.04	0.046	0.05	0.054	0.057	0.06	0.061	0.06	0.062	0.06	0.052	0.044	0.037	0.032	0.024	0.019	0.015	0.012	0.009	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0.0	0.001	0.0	0.002	0.003	0.003	0.005	0.006	0.006	0.004	0.009	0.012	0.018	0.023	0.029	0.026	0.028	0.038	0.041	0.037	0.048	0.052	0.051	0.051	0.048	0.049	0.056	0.063	0.067	0.067	0.054	0.046	0.026	0.017	0.008	0.003	0.001	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:SINE	0.003	0.009	0.021	0.04	0.062	0.029	0.033	0.036	0.022	0.048	0.04	0.027	0.034	0.031	0.021	0.029	0.048	0.024	0.041	0.034	0.052	0.053	0.045	0.034	0.043	0.026	0.031	0.027	0.015	0.007	0.007	0.014	0.007	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0	0	0.008	0	0.025	0.008	0.008	0.025	0.041	0.025	0.025	0.016	0.033	0.066	0.057	0.016	0.09	0.033	0.066	0.049	0.074	0.066	0.049	0.066	0.041	0.008	0.057	0.033	0	0.008	0.008	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0.019	0.208	0.094	0.151	0.094	0.075	0.057	0.019	0.028	0.038	0.057	0.047	0	0.009	0.019	0	0.009	0	0	0.009	0	0.009	0.009	0	0.028	0	0.009	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0	0	0	0	0.009	0.009	0.018	0.009	0.096	0	0.044	0.035	0.114	0.053	0.07	0.096	0.096	0.132	0.096	0.07	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
