Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	46-47	47-48	48-49	51-52	53-54
Low_complexity	0	0	0.001	0.001	0.001	0.002	0.005	0.008	0.01	0.014	0.021	0.027	0.036	0.035	0.044	0.057	0.058	0.063	0.06	0.059	0.061	0.06	0.056	0.052	0.05	0.04	0.039	0.032	0.028	0.022	0.016	0.013	0.009	0.007	0.005	0.002	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0
Simple_repeat	0.102	0.013	0.025	0.029	0.03	0.027	0.023	0.027	0.027	0.026	0.024	0.024	0.029	0.031	0.032	0.032	0.033	0.034	0.038	0.035	0.037	0.038	0.035	0.032	0.036	0.029	0.028	0.025	0.023	0.019	0.015	0.013	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
Unknown	0.027	0.033	0.032	0.027	0.03	0.034	0.034	0.036	0.038	0.038	0.041	0.042	0.042	0.044	0.041	0.038	0.037	0.036	0.031	0.03	0.032	0.027	0.027	0.026	0.025	0.027	0.026	0.025	0.022	0.019	0.014	0.01	0.006	0.003	0.002	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.258	0	0.055	0.071	0.049	0.093	0.055	0.055	0.088	0.038	0.016	0.055	0.033	0.016	0.027	0.027	0.016	0.027	0.005	0	0	0	0	0	0	0	0	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.051	0.076	0.059	0.042	0.034	0.038	0.035	0.035	0.028	0.027	0.023	0.022	0.021	0.02	0.022	0.021	0.025	0.026	0.03	0.032	0.039	0.044	0.043	0.039	0.037	0.035	0.028	0.023	0.015	0.011	0.008	0.005	0.003	0.001	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.115	0.186	0.122	0.031	0.109	0.087	0.015	0.033	0.013	0.008	0.031	0.033	0.048	0.023	0.025	0.023	0.02	0.01	0.013	0.033	0.01	0.003	0	0.003	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.031	0.034	0.042	0.032	0.028	0.025	0.026	0.025	0.023	0.021	0.026	0.025	0.027	0.03	0.032	0.035	0.034	0.038	0.037	0.035	0.043	0.038	0.04	0.036	0.036	0.039	0.038	0.032	0.028	0.023	0.016	0.01	0.008	0.005	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.018	0.048	0.074	0.057	0.046	0.037	0.034	0.042	0.043	0.058	0.048	0.036	0.037	0.032	0.028	0.026	0.025	0.018	0.018	0.019	0.028	0.019	0.028	0.021	0.022	0.023	0.022	0.027	0.019	0.012	0.017	0.008	0.006	0.003	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.05	0.062	0.062	0.066	0.05	0.057	0.05	0.033	0.046	0.034	0.039	0.037	0.037	0.034	0.023	0.031	0.021	0.023	0.031	0.027	0.021	0.024	0.019	0.012	0.021	0.017	0.015	0.017	0.01	0.005	0.004	0.003	0.005	0.004	0.005	0.002	0.001	0.003	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0.114	0	0	0	0	0.045	0	0.114	0.091	0.023	0.068	0.045	0.023	0.023	0.068	0	0.023	0.068	0.091	0.068	0.045	0	0	0.023	0.023	0.023	0	0.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0.012	0.04	0.086	0.111	0.068	0.043	0.028	0.018	0.022	0.018	0.012	0.043	0.037	0.022	0.025	0.015	0.028	0.025	0.009	0.025	0.043	0.009	0.022	0.043	0.037	0.055	0.04	0.018	0.015	0.012	0.009	0	0.006	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.091	0.143	0	0	0.052	0.039	0.013	0.013	0.026	0.039	0.026	0.013	0.052	0.013	0	0.013	0.039	0.013	0.052	0.026	0.039	0.026	0.013	0	0.026	0.065	0.026	0.039	0.026	0	0.039	0.013	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0.001	0.001	0.006	0.003	0.009	0.007	0.013	0.019	0.021	0.019	0.028	0.032	0.02	0.035	0.052	0.047	0.053	0.061	0.068	0.085	0.075	0.077	0.053	0.067	0.046	0.034	0.028	0.014	0.009	0.008	0.003	0.002	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
