Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45
Simple_repeat	0.293	0.002	0.016	0.028	0.049	0.036	0.015	0.026	0.034	0.034	0.024	0.025	0.033	0.038	0.03	0.026	0.028	0.025	0.028	0.026	0.026	0.025	0.023	0.02	0.02	0.016	0.012	0.011	0.008	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unknown	0.003	0.003	0.005	0.007	0.01	0.014	0.018	0.024	0.028	0.033	0.039	0.042	0.047	0.049	0.053	0.055	0.058	0.059	0.059	0.056	0.057	0.051	0.047	0.041	0.032	0.03	0.023	0.017	0.013	0.009	0.007	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.0	0.001	0.004	0.008	0.007	0.01	0.019	0.022	0.031	0.026	0.037	0.066	0.074	0.058	0.074	0.067	0.066	0.068	0.057	0.054	0.049	0.042	0.033	0.031	0.025	0.02	0.013	0.011	0.007	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0.0	0
ClassII:Rolling_Circle	0.005	0.004	0.009	0.006	0.01	0.015	0.01	0.013	0.016	0.024	0.029	0.033	0.041	0.05	0.048	0.052	0.059	0.063	0.074	0.071	0.06	0.058	0.043	0.04	0.032	0.03	0.021	0.017	0.015	0.012	0.01	0.008	0.008	0.006	0.003	0.001	0.001	0.001	0	0	0	0	0	0	0
ClassII:TIR	0.003	0.003	0.005	0.007	0.013	0.017	0.017	0.021	0.027	0.032	0.037	0.044	0.053	0.057	0.058	0.057	0.054	0.054	0.051	0.051	0.05	0.047	0.044	0.038	0.034	0.031	0.025	0.02	0.016	0.012	0.008	0.005	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0
ClassI:LTR	0.007	0.009	0.017	0.023	0.032	0.044	0.052	0.062	0.064	0.063	0.06	0.056	0.051	0.047	0.043	0.039	0.034	0.03	0.028	0.025	0.023	0.022	0.022	0.02	0.019	0.019	0.018	0.017	0.016	0.013	0.009	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
Pseudogene:RNA	0.038	0.014	0.035	0.026	0.033	0.05	0.045	0.033	0.026	0.04	0.045	0.024	0.047	0.04	0.057	0.031	0.057	0.052	0.038	0.033	0.042	0.024	0.012	0.026	0.007	0.028	0.012	0.019	0.024	0	0.012	0.007	0.014	0.009	0.002	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0.007	0.003	0.019	0.012	0.021	0.015	0.013	0.035	0.041	0.054	0.05	0.049	0.047	0.047	0.044	0.044	0.035	0.059	0.056	0.05	0.053	0.057	0.038	0.026	0.032	0.015	0.025	0.013	0.009	0.01	0.009	0.006	0	0.003	0	0.001	0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.001	0.002	0.003	0.004	0.007	0.008	0.014	0.021	0.027	0.031	0.038	0.048	0.048	0.052	0.057	0.055	0.05	0.047	0.05	0.049	0.048	0.044	0.047	0.044	0.043	0.039	0.035	0.03	0.021	0.015	0.009	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0
ClassI:PLE	0	0.019	0.019	0	0	0	0	0	0.077	0.077	0.058	0.154	0.096	0.115	0.019	0.019	0.019	0.058	0.038	0.077	0.019	0.038	0.038	0	0.038	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
