Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46
Low_complexity	0.0	0	0.0	0.002	0.0	0.001	0.005	0.007	0.008	0.013	0.018	0.024	0.033	0.031	0.042	0.059	0.067	0.061	0.07	0.066	0.066	0.07	0.062	0.055	0.052	0.044	0.033	0.028	0.024	0.017	0.013	0.01	0.005	0.004	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0	0.0	0.0	0
Simple_repeat	0.172	0.002	0.014	0.027	0.042	0.033	0.015	0.025	0.033	0.034	0.026	0.026	0.035	0.043	0.034	0.033	0.036	0.034	0.039	0.037	0.038	0.038	0.034	0.03	0.029	0.023	0.018	0.015	0.012	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.002	0.004	0.007	0.01	0.012	0.018	0.025	0.032	0.036	0.038	0.038	0.041	0.042	0.045	0.049	0.054	0.057	0.056	0.056	0.052	0.052	0.048	0.047	0.04	0.034	0.029	0.021	0.016	0.012	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0
Unknown	0.002	0.003	0.005	0.008	0.011	0.016	0.021	0.029	0.033	0.035	0.039	0.041	0.047	0.052	0.054	0.059	0.061	0.061	0.057	0.054	0.051	0.045	0.04	0.036	0.029	0.025	0.02	0.016	0.013	0.01	0.007	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ClassI:LTR	0.002	0.005	0.011	0.019	0.027	0.035	0.046	0.053	0.056	0.054	0.05	0.049	0.047	0.046	0.042	0.041	0.038	0.037	0.034	0.031	0.03	0.028	0.026	0.026	0.024	0.024	0.023	0.021	0.019	0.015	0.011	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LINE	0.001	0.002	0.006	0.008	0.008	0.019	0.026	0.032	0.037	0.038	0.034	0.032	0.038	0.035	0.033	0.036	0.034	0.033	0.035	0.037	0.037	0.034	0.035	0.032	0.03	0.035	0.037	0.045	0.042	0.044	0.035	0.03	0.017	0.011	0.006	0.004	0.001	0.001	0.001	0.0	0.0	0	0	0	0	0
ClassI:SINE	0	0	0	0	0	0	0	0	0	0.008	0.008	0.008	0.033	0.016	0.033	0.02	0.061	0.073	0.106	0.086	0.082	0.057	0.061	0.053	0.065	0.065	0.049	0.02	0.02	0.02	0.012	0.024	0.004	0.008	0	0.004	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.0	0	0.001	0.001	0.005	0.003	0.007	0.01	0.019	0.025	0.045	0.071	0.079	0.092	0.096	0.086	0.082	0.073	0.063	0.045	0.041	0.032	0.03	0.026	0.013	0.011	0.007	0.007	0.009	0.007	0.004	0.003	0.0	0.003	0.002	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.005	0.007	0.009	0.057	0.026	0.04	0.014	0.012	0.014	0.014	0.026	0.04	0.033	0.021	0.024	0.033	0.007	0.026	0.026	0.038	0.031	0.019	0.026	0.031	0.017	0.026	0.054	0.019	0.017	0.045	0.054	0.05	0.061	0.059	0.021	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0	0.011	0.021	0.011	0.021	0.096	0.149	0.117	0.138	0.106	0.085	0.096	0.053	0.021	0.032	0.021	0.011	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
