Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	47-48
ClassII:TIR	0.001	0.003	0.004	0.007	0.007	0.01	0.014	0.018	0.024	0.031	0.037	0.04	0.045	0.05	0.051	0.049	0.053	0.052	0.051	0.052	0.055	0.051	0.048	0.044	0.039	0.037	0.029	0.024	0.021	0.017	0.014	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
Unknown	0.002	0.002	0.003	0.005	0.007	0.01	0.015	0.018	0.024	0.029	0.033	0.038	0.042	0.046	0.049	0.052	0.054	0.057	0.057	0.056	0.059	0.055	0.05	0.048	0.041	0.037	0.03	0.024	0.018	0.013	0.01	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.006	0.005	0.005	0.008	0.011	0.016	0.019	0.022	0.026	0.03	0.036	0.041	0.042	0.046	0.049	0.051	0.055	0.053	0.052	0.049	0.048	0.045	0.043	0.041	0.038	0.036	0.031	0.027	0.022	0.017	0.012	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Simple_repeat	0.173	0.001	0.008	0.027	0.061	0.037	0.015	0.032	0.04	0.038	0.028	0.029	0.038	0.042	0.035	0.035	0.036	0.031	0.035	0.032	0.03	0.032	0.027	0.024	0.025	0.018	0.015	0.014	0.011	0.008	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ClassI:LINE	0.0	0.0	0.001	0.001	0.002	0.002	0.003	0.005	0.006	0.008	0.011	0.014	0.017	0.022	0.023	0.027	0.028	0.028	0.032	0.06	0.042	0.045	0.052	0.055	0.06	0.068	0.066	0.072	0.068	0.059	0.048	0.033	0.02	0.011	0.005	0.003	0.001	0.0	0.0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.001	0.002	0.006	0.01	0.01	0.014	0.022	0.031	0.042	0.036	0.05	0.06	0.062	0.061	0.067	0.064	0.057	0.063	0.055	0.049	0.049	0.041	0.03	0.032	0.023	0.018	0.015	0.01	0.006	0.003	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0.0	0
ClassII:Circular_dsDNA	0	0	0	0	0	0	0	0.006	0.012	0.012	0.047	0.047	0.023	0.023	0.082	0.064	0.035	0.07	0.047	0.058	0.088	0.07	0.076	0.053	0.047	0.012	0.029	0.029	0.006	0.006	0.018	0	0.012	0.006	0.012	0.006	0.006	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0.002	0.013	0.031	0.004	0.004	0.009	0.009	0.022	0.066	0.018	0.081	0.015	0.009	0.026	0.013	0.044	0.02	0.037	0.101	0.055	0.059	0.116	0.086	0.04	0.035	0.02	0.022	0.02	0.013	0.007	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.06	0.018	0.012	0.024	0.018	0.039	0.03	0.066	0.03	0.036	0.039	0.045	0.021	0.027	0.033	0.048	0.054	0.051	0.036	0.045	0.036	0.042	0.033	0.03	0.018	0.027	0.015	0.012	0.012	0.021	0.012	0	0.006	0.003	0	0	0.003	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0.037	0.012	0.01	0.012	0.007	0.007	0.007	0.01	0.01	0.018	0.022	0.025	0.026	0.028	0.03	0.033	0.029	0.025	0.035	0.051	0.037	0.041	0.027	0.042	0.053	0.055	0.057	0.053	0.049	0.035	0.044	0.029	0.023	0.009	0.006	0.004	0.001	0	0	0	0	0	0	0	0	0
Satellite	0	0.002	0	0	0.023	0.043	0.01	0.002	0.019	0.021	0.012	0.031	0.027	0.014	0.025	0.037	0.039	0.057	0.07	0.043	0.078	0.08	0.062	0.051	0.041	0.06	0.058	0.049	0.021	0.01	0	0.004	0.004	0.004	0.002	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0	0	0	0	0	0	0.012	0.012	0	0.012	0	0.012	0.012	0.024	0.012	0.012	0.024	0.037	0.085	0.11	0.134	0.11	0.061	0.049	0.085	0.073	0.037	0.061	0.012	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0.016	0.016	0.033	0.082	0.098	0.131	0.18	0.098	0.148	0.066	0.016	0	0.049	0	0.016	0.033	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
