Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	49-50	52-53
Low_complexity	0.0	0	0.0	0.002	0.001	0.001	0.004	0.008	0.01	0.011	0.018	0.026	0.034	0.034	0.045	0.06	0.071	0.058	0.069	0.067	0.066	0.065	0.058	0.049	0.051	0.04	0.03	0.03	0.025	0.02	0.014	0.01	0.009	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0
Simple_repeat	0.306	0.002	0.011	0.024	0.044	0.032	0.013	0.024	0.03	0.033	0.023	0.023	0.032	0.04	0.029	0.027	0.029	0.025	0.029	0.027	0.028	0.026	0.024	0.021	0.021	0.017	0.013	0.012	0.01	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ClassI:LINE	0.037	0.052	0.025	0.014	0.013	0.013	0.016	0.015	0.018	0.019	0.024	0.026	0.03	0.027	0.033	0.032	0.037	0.037	0.031	0.032	0.035	0.036	0.038	0.04	0.039	0.044	0.038	0.037	0.034	0.034	0.028	0.019	0.015	0.014	0.009	0.006	0.002	0.001	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.0	0.0	0.0	0.001	0.001	0.002	0.005	0.008	0.013	0.02	0.028	0.038	0.045	0.052	0.057	0.059	0.056	0.055	0.055	0.054	0.058	0.062	0.067	0.064	0.056	0.044	0.032	0.024	0.017	0.011	0.007	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0
Unknown	0.001	0.002	0.004	0.006	0.007	0.009	0.01	0.013	0.014	0.015	0.02	0.024	0.03	0.036	0.042	0.049	0.055	0.06	0.062	0.062	0.064	0.062	0.06	0.055	0.049	0.047	0.039	0.029	0.022	0.016	0.011	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.002	0.006	0.013	0.018	0.023	0.029	0.029	0.031	0.031	0.03	0.035	0.038	0.04	0.04	0.04	0.043	0.047	0.047	0.049	0.051	0.049	0.048	0.045	0.04	0.04	0.033	0.028	0.021	0.017	0.011	0.008	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.177	0.108	0.015	0.069	0.031	0.015	0.023	0.015	0.023	0.015	0.023	0.008	0.015	0.008	0.015	0.023	0.015	0.023	0.023	0.046	0.031	0.015	0.023	0.008	0.023	0.023	0.069	0.023	0.038	0.015	0	0.015	0.015	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.001	0.003	0.007	0.014	0.018	0.023	0.025	0.026	0.03	0.031	0.033	0.035	0.036	0.038	0.039	0.038	0.038	0.043	0.043	0.044	0.045	0.046	0.045	0.043	0.041	0.04	0.037	0.032	0.028	0.023	0.018	0.013	0.009	0.006	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.006	0.013	0.017	0.022	0.023	0.022	0.024	0.021	0.022	0.025	0.025	0.032	0.034	0.038	0.045	0.049	0.052	0.052	0.053	0.055	0.056	0.05	0.05	0.042	0.037	0.03	0.026	0.022	0.015	0.012	0.01	0.008	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Satellite	0.0	0	0.0	0.0	0.0	0.0	0.001	0.003	0.007	0.012	0.022	0.039	0.053	0.078	0.086	0.111	0.105	0.093	0.084	0.078	0.055	0.044	0.025	0.019	0.013	0.016	0.016	0.007	0.003	0.003	0.005	0.007	0.006	0.005	0.002	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0.005	0	0	0.005	0.036	0.051	0.097	0.062	0.015	0.036	0.031	0.026	0.021	0.051	0.062	0.103	0.118	0.097	0.082	0.051	0.021	0.005	0.01	0.01	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
