Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	49-50	50-51	52-53
Simple_repeat	0.272	0.001	0.008	0.024	0.059	0.041	0.013	0.026	0.036	0.038	0.026	0.025	0.033	0.041	0.031	0.028	0.03	0.027	0.03	0.026	0.026	0.026	0.023	0.02	0.02	0.016	0.013	0.011	0.008	0.007	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0
Low_complexity	0.0	0	0.0	0.001	0.001	0.001	0.006	0.009	0.009	0.012	0.021	0.027	0.037	0.029	0.044	0.063	0.075	0.064	0.067	0.067	0.067	0.065	0.056	0.046	0.049	0.039	0.032	0.029	0.023	0.018	0.012	0.011	0.007	0.005	0.003	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0
ClassI:LINE	0.0	0.002	0.004	0.007	0.009	0.01	0.01	0.011	0.011	0.014	0.016	0.019	0.022	0.026	0.028	0.034	0.036	0.038	0.042	0.046	0.047	0.052	0.053	0.048	0.048	0.053	0.053	0.053	0.051	0.045	0.04	0.029	0.021	0.012	0.006	0.003	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.005	0.01	0.018	0.025	0.038	0.043	0.036	0.031	0.029	0.031	0.032	0.03	0.031	0.032	0.032	0.035	0.041	0.045	0.046	0.046	0.047	0.042	0.042	0.039	0.034	0.031	0.026	0.023	0.021	0.019	0.016	0.011	0.008	0.005	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0.006	0.004	0.008	0.011	0.02	0.022	0.016	0.014	0.016	0.017	0.019	0.022	0.025	0.03	0.036	0.044	0.05	0.058	0.061	0.063	0.067	0.064	0.06	0.055	0.046	0.043	0.034	0.027	0.02	0.014	0.01	0.007	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.005	0.008	0.043	0.108	0.107	0.055	0.026	0.023	0.022	0.022	0.025	0.028	0.033	0.036	0.038	0.041	0.041	0.042	0.04	0.038	0.037	0.032	0.028	0.025	0.022	0.018	0.015	0.012	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.003	0.004	0.007	0.01	0.013	0.011	0.012	0.009	0.011	0.01	0.01	0.014	0.018	0.027	0.022	0.034	0.035	0.039	0.044	0.055	0.052	0.054	0.065	0.066	0.051	0.069	0.056	0.06	0.046	0.032	0.024	0.016	0.012	0.006	0.002	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0.0	0.001	0.002	0.005	0.002	0.006	0.002	0.007	0.013	0.016	0.026	0.043	0.06	0.096	0.093	0.112	0.103	0.092	0.085	0.062	0.051	0.043	0.027	0.019	0.012	0.009	0.005	0.005	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.001	0.003	0.007	0.009	0.013	0.011	0.012	0.016	0.018	0.019	0.027	0.034	0.031	0.033	0.043	0.044	0.062	0.065	0.062	0.057	0.053	0.043	0.041	0.043	0.034	0.032	0.027	0.026	0.022	0.024	0.023	0.019	0.017	0.012	0.007	0.003	0.003	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.023	0.017	0.017	0.017	0.017	0	0.04	0.006	0.006	0.017	0.023	0.04	0.051	0.062	0.023	0.062	0.023	0.068	0.08	0.074	0.068	0.045	0	0.034	0.057	0.045	0.045	0.034	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0.004	0.008	0.015	0.019	0.015	0.035	0.035	0.062	0.058	0.062	0.054	0.062	0.05	0.042	0.031	0.019	0.023	0.008	0.019	0.015	0.027	0.023	0.035	0.038	0.019	0.035	0.031	0.031	0.038	0.031	0.015	0.027	0.012	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0	0.005	0	0	0.005	0.014	0.005	0.005	0.009	0.023	0.036	0.068	0.032	0.068	0.077	0.077	0.059	0.036	0.036	0.023	0.027	0.077	0.059	0.045	0.063	0.036	0.068	0.018	0.018	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
