Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	48-49
Low_complexity	0.0	0	0.0	0.001	0.0	0.002	0.004	0.008	0.009	0.012	0.02	0.025	0.034	0.032	0.044	0.055	0.064	0.058	0.068	0.065	0.068	0.067	0.06	0.057	0.051	0.043	0.034	0.031	0.025	0.018	0.013	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0
Simple_repeat	0.141	0.003	0.013	0.022	0.034	0.023	0.015	0.024	0.029	0.031	0.026	0.028	0.036	0.042	0.038	0.036	0.04	0.039	0.043	0.04	0.041	0.041	0.038	0.033	0.032	0.026	0.02	0.018	0.014	0.011	0.007	0.005	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ClassI:LTR	0.004	0.008	0.02	0.032	0.045	0.053	0.054	0.053	0.054	0.052	0.048	0.045	0.043	0.042	0.04	0.038	0.037	0.035	0.035	0.033	0.032	0.03	0.027	0.024	0.021	0.019	0.017	0.015	0.012	0.01	0.007	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Unknown	0.002	0.003	0.008	0.011	0.016	0.022	0.027	0.031	0.036	0.038	0.041	0.047	0.05	0.054	0.055	0.058	0.059	0.06	0.058	0.054	0.051	0.044	0.038	0.032	0.026	0.022	0.016	0.013	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
ClassII:TIR	0.001	0.002	0.003	0.005	0.007	0.011	0.014	0.018	0.022	0.026	0.027	0.032	0.036	0.043	0.046	0.049	0.052	0.054	0.055	0.053	0.053	0.05	0.047	0.045	0.042	0.039	0.034	0.029	0.026	0.022	0.018	0.014	0.01	0.007	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
ClassI:LINE	0.007	0.012	0.015	0.016	0.011	0.013	0.011	0.013	0.016	0.015	0.019	0.022	0.021	0.022	0.023	0.027	0.034	0.041	0.04	0.041	0.042	0.042	0.043	0.045	0.047	0.052	0.05	0.056	0.052	0.046	0.038	0.027	0.019	0.011	0.007	0.003	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.0	0.001	0.002	0.003	0.005	0.01	0.013	0.016	0.016	0.022	0.025	0.03	0.028	0.03	0.035	0.029	0.03	0.03	0.034	0.038	0.052	0.056	0.064	0.065	0.061	0.067	0.048	0.044	0.034	0.029	0.022	0.018	0.014	0.01	0.008	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.004	0.012	0.013	0.022	0.041	0.057	0.039	0.036	0.033	0.03	0.026	0.025	0.021	0.024	0.024	0.024	0.025	0.028	0.031	0.035	0.035	0.032	0.04	0.036	0.042	0.039	0.043	0.042	0.041	0.034	0.025	0.019	0.011	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0.001	0.004	0.001	0.001	0.006	0.018	0.046	0.065	0.043	0.044	0.049	0.02	0.035	0.052	0.059	0.059	0.052	0.072	0.052	0.046	0.044	0.049	0.026	0.023	0.022	0.026	0.022	0.011	0.025	0.009	0.009	0.005	0.004	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0.008	0.021	0.004	0.019	0.011	0.021	0.029	0.046	0.051	0.078	0.095	0.109	0.082	0.074	0.055	0.074	0.059	0.029	0.027	0.044	0.017	0.032	0.002	0.008	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
